t_s,thumb_yaw_deg,thumb_mcp_deg,thumb_pip_deg,index_yaw_deg,index_mcp_deg,index_pip_deg,middle_yaw_deg,middle_mcp_deg,middle_pip_deg,palm_z_mm
0.0,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.02,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.04,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.06,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.08,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.1,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.12,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.14,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.16,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.18,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.2,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.22,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.24,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.26,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.28,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.3,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.32,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.34,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.36,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.38,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.4,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.42,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.44,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.46,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.48,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.5,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.52,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.54,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.56,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.58,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.6,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.62,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.64,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.66,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.68,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.7,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.72,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.74,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.76,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.78,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.8,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.82,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.84,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.86,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.88,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.9,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.92,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.94,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.96,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
0.98,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.0,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.02,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.04,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.06,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.08,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.1,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.12,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.14,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.16,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.18,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.2,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.22,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.24,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.26,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.28,-10.206,25.208,0.0,1.871,25.569,0.004,16.581,24.506,0.0,0.0
1.3,-10.412,25.164,0.001,1.396,25.36,0.004,17.708,24.05,0.891,0.0
1.32,-10.619,25.119,0.001,0.922,25.152,0.004,18.835,23.594,1.781,0.0
1.34,-10.825,25.075,0.001,0.447,24.943,0.004,19.963,23.138,2.672,0.0
1.36,-11.031,25.03,0.001,-0.028,24.734,0.004,21.09,22.682,3.563,0.0
1.38,-11.237,24.986,0.001,-0.503,24.526,0.005,22.217,22.226,4.454,0.0
1.4,-11.443,24.942,0.001,-0.977,24.317,0.005,23.344,21.77,5.344,0.0
1.42,-11.65,24.897,0.002,-1.452,24.109,0.005,24.471,21.314,6.235,0.0
1.44,-11.856,24.853,0.002,-1.927,23.9,0.005,25.599,20.858,7.126,0.0
1.46,-12.062,24.809,0.002,-2.402,23.691,0.005,26.726,20.402,8.016,0.0
1.48,-12.268,24.764,0.002,-2.876,23.483,0.005,27.853,19.946,8.907,0.0
1.5,-12.475,24.72,0.002,-3.351,23.274,0.005,28.98,19.49,9.798,0.0
1.52,-12.681,24.676,0.002,-3.826,23.065,0.005,30.108,19.034,10.688,0.0
1.54,-12.887,24.631,0.003,-4.3,22.857,0.005,31.235,18.578,11.579,0.0
1.56,-13.093,24.587,0.003,-4.775,22.648,0.005,32.362,18.122,12.47,0.0
1.58,-13.299,24.543,0.003,-5.25,22.44,0.005,33.489,17.666,13.36,0.0
1.6,-13.506,24.498,0.003,-5.725,22.231,0.005,34.617,17.21,14.251,0.0
1.62,-13.712,24.454,0.003,-6.199,22.022,0.005,35.744,16.754,15.142,0.0
