t_s,thumb_yaw_deg,thumb_mcp_deg,thumb_pip_deg,index_yaw_deg,index_mcp_deg,index_pip_deg,middle_yaw_deg,middle_mcp_deg,middle_pip_deg,palm_z_mm
0.0,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.02,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.04,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.06,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.08,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.1,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.12,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.14,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.16,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.18,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.2,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.22,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.24,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.26,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.28,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.3,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.32,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.34,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.36,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.38,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.4,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.42,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.44,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.46,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.48,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.5,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.52,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.54,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.56,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.58,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.6,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.62,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.64,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.66,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.68,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.7,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.72,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.74,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.76,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.78,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.8,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.82,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.84,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.86,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.88,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.9,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.92,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.94,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.96,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
0.98,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
1.0,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
1.02,4.323,28.872,0.02,-14.811,26.65,0.001,18.977,28.16,0.0,0.0
