t_s,thumb_yaw_deg,thumb_mcp_deg,thumb_pip_deg,index_yaw_deg,index_mcp_deg,index_pip_deg,middle_yaw_deg,middle_mcp_deg,middle_pip_deg,palm_z_mm
0.0,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.02,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.04,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.06,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.08,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.1,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.12,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.14,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.16,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.18,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.2,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.22,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.24,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.26,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.28,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.3,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.32,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.34,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.36,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.38,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.4,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.42,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.44,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.46,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.48,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.5,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.52,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.54,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.56,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.58,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.6,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.62,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.64,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.66,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.68,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.7,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.72,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.74,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.76,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.78,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.8,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.82,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.84,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.86,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.88,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.9,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.92,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.94,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.96,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
0.98,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
1.0,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
1.02,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
1.04,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
1.06,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
1.08,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
1.1,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
1.12,2.563,27.363,15.714,-12.425,37.893,0.075,19.106,29.9,2.451,0.0
