t_s,thumb_yaw_deg,thumb_mcp_deg,thumb_pip_deg,index_yaw_deg,index_mcp_deg,index_pip_deg,middle_yaw_deg,middle_mcp_deg,middle_pip_deg,palm_z_mm
0.0,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.02,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.04,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.06,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.08,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.1,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.12,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.14,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.16,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.18,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.2,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.22,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.24,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.26,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.28,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.3,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.32,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.34,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.36,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.38,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.4,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.42,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.44,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.46,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.48,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.5,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.52,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.54,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.56,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.58,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.6,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.62,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.64,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.66,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.68,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.7,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.72,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.74,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.76,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.78,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.8,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.82,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.84,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.86,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.88,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.9,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.92,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.94,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
0.96,-11.363,29.143,0.011,4.549,27.78,0.69,23.574,28.272,0.0,0.0
