t_s,thumb_yaw_deg,thumb_mcp_deg,thumb_pip_deg,index_yaw_deg,index_mcp_deg,index_pip_deg,middle_yaw_deg,middle_mcp_deg,middle_pip_deg,palm_z_mm
0.0,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.02,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.04,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.06,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.08,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.1,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.12,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.14,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.16,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.18,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.2,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.22,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.24,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.26,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.28,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.3,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.32,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.34,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.36,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.38,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.4,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.42,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.44,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.46,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.48,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.5,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.52,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.54,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.56,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.58,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.6,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.62,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.64,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.66,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.68,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.7,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.72,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.74,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.76,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
0.78,32.504,39.579,0.004,-23.154,32.248,18.871,-0.608,24.918,40.676,0.0
