t_s,thumb_yaw_deg,thumb_mcp_deg,thumb_pip_deg,index_yaw_deg,index_mcp_deg,index_pip_deg,middle_yaw_deg,middle_mcp_deg,middle_pip_deg,palm_z_mm
0.0,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.02,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.04,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.06,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.08,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.1,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.12,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.14,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.16,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.18,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.2,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.22,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.24,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.26,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.28,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.3,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.32,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.34,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.36,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.38,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.4,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.42,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.44,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.46,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.48,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.5,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.52,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.54,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.56,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.58,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.6,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.62,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.64,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.66,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.68,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.7,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.72,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.74,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.76,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.78,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.8,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.82,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.84,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.86,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.88,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.9,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.92,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.94,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.96,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
0.98,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.0,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.02,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.04,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.06,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.08,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.1,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.12,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.14,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.16,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.18,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.2,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.22,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.24,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.26,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.28,5.768,30.006,0.0,10.024,22.921,0.016,-7.196,35.851,0.0,0.0
1.3,5.681,29.965,0.0,9.725,22.764,0.015,-6.471,35.608,1.673,0.0
1.32,5.595,29.925,0.0,9.425,22.607,0.015,-5.746,35.365,3.346,0.0
1.34,5.508,29.884,0.0,9.125,22.45,0.015,-5.021,35.122,5.019,0.0
1.36,5.422,29.844,0.001,8.825,22.293,0.015,-4.296,34.879,6.691,0.0
1.38,5.335,29.803,0.001,8.525,22.136,0.015,-3.572,34.637,8.364,0.0
1.4,5.249,29.763,0.001,8.225,21.979,0.015,-2.847,34.394,10.037,0.0
1.42,5.163,29.722,0.001,7.925,21.822,0.014,-2.122,34.151,11.71,0.0
1.44,5.076,29.682,0.001,7.625,21.665,0.014,-1.397,33.908,13.383,0.0
1.46,4.99,29.641,0.001,7.325,21.508,0.014,-0.672,33.665,15.056,0.0
1.48,4.903,29.601,0.002,7.025,21.351,0.014,0.053,33.422,16.728,0.0
1.5,4.817,29.56,0.002,6.725,21.194,0.014,0.778,33.18,18.401,0.0
1.52,4.73,29.52,0.002,6.425,21.036,0.014,1.503,32.937,20.074,0.0
1.54,4.644,29.479,0.002,6.125,20.879,0.013,2.228,32.694,21.747,0.0
1.56,4.557,29.439,0.002,5.825,20.722,0.013,2.953,32.451,23.42,0.0
1.58,4.471,29.398,0.002,5.525,20.565,0.013,3.678,32.208,25.093,0.0
1.6,4.384,29.358,0.002,5.226,20.408,0.013,4.403,31.965,26.766,0.0
1.62,4.298,29.317,0.003,4.926,20.251,0.013,5.128,31.723,28.438,0.0
1.64,4.211,29.277,0.003,4.626,20.094,0.013,5.853,31.48,30.111,0.0
1.66,4.125,29.236,0.003,4.326,19.937,0.012,6.578,31.237,31.784,0.0
1.68,4.038,29.196,0.003,4.026,19.78,0.012,7.303,30.994,33.457,0.0
1.7,3.952,29.155,0.003,3.726,19.623,0.012,8.028,30.751,35.13,0.0
1.72,3.865,29.115,0.003,3.426,19.466,0.012,8.753,30.508,36.803,0.0
1.74,3.779,29.074,0.004,3.126,19.309,0.012,9.478,30.266,38.476,0.0
1.76,3.692,29.034,0.004,2.826,19.152,0.012,10.202,30.023,40.148,0.0
1.78,3.606,28.993,0.004,2.526,18.995,0.011,10.927,29.78,41.821,0.0
1.8,3.519,28.953,0.004,2.226,18.838,0.011,11.652,29.537,43.494,0.0
1.82,3.433,28.912,0.004,1.926,18.681,0.011,12.377,29.294,45.167,0.0
1.84,3.346,28.872,0.004,1.626,18.524,0.011,13.102,29.051,46.84,0.0
1.86,3.26,28.831,0.004,1.326,18.367,0.011,13.827,28.809,48.513,0.0
1.88,3.174,28.791,0.005,1.026,18.21,0.011,14.552,28.566,48.701,0.0
1.9,3.087,28.75,0.005,0.726,18.053,0.01,15.277,28.323,48.701,0.0
1.92,3.001,28.71,0.005,0.427,17.896,0.01,16.002,28.08,48.701,0.0
1.94,2.914,28.669,0.005,0.127,17.739,0.01,16.727,27.837,48.701,0.0
1.96,2.828,28.629,0.005,-0.173,17.582,0.01,17.452,27.594,48.701,0.0
1.98,2.741,28.588,0.005,-0.473,17.424,0.01,18.177,27.351,48.701,0.0
2.0,2.655,28.548,0.005,-0.773,17.267,0.01,18.902,27.109,48.701,0.0
2.02,2.568,28.507,0.006,-1.073,17.11,0.009,19.627,26.866,48.701,0.0
2.04,2.482,28.467,0.006,-1.373,16.953,0.009,20.352,26.623,48.701,0.0
2.06,2.395,28.426,0.006,-1.673,16.796,0.009,21.077,26.38,48.701,0.0
2.08,2.309,28.386,0.006,-1.973,16.639,0.009,21.802,26.137,48.701,0.0
2.1,2.222,28.345,0.006,-2.273,16.482,0.009,22.527,25.894,48.701,0.0
2.12,2.136,28.305,0.006,-2.573,16.325,0.009,23.251,25.652,48.701,0.0
2.14,2.049,28.264,0.007,-2.873,16.168,0.008,23.976,25.409,48.701,0.0
2.16,1.963,28.224,0.007,-3.173,16.011,0.008,24.701,25.166,48.701,0.0
2.18,1.876,28.183,0.007,-3.473,15.854,0.008,25.426,24.923,48.701,0.0
2.2,1.79,28.143,0.007,-3.773,15.697,0.008,26.151,24.68,48.701,0.0
2.22,1.703,28.102,0.007,-4.072,15.54,0.008,26.876,24.437,48.701,0.0
2.24,1.617,28.062,0.007,-4.372,15.383,0.008,27.601,24.195,48.701,0.0
2.26,1.53,28.021,0.007,-4.672,15.226,0.007,28.326,23.952,48.701,0.0
2.28,1.444,27.981,0.008,-4.972,15.069,0.007,29.051,23.709,48.701,0.0
2.3,1.357,27.94,0.008,-5.272,14.912,0.007,29.776,23.466,48.701,0.0
2.32,1.271,27.9,0.008,-5.572,14.755,0.007,30.501,23.223,48.701,0.0
2.34,1.185,27.859,0.008,-5.872,14.598,0.007,31.226,22.98,48.701,0.0
2.36,1.098,27.819,0.008,-6.172,14.441,0.007,31.951,22.738,48.701,0.0
2.38,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.4,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.42,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.44,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.46,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.48,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.5,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.52,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.54,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.56,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.58,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.6,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.62,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.64,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.66,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.68,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.7,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.72,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.74,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.76,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.78,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.8,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.82,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.84,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.86,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.88,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.9,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.92,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.94,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.96,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
2.98,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.0,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.02,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.04,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.06,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.08,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.1,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.12,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.14,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.16,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.18,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.2,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.22,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.24,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.26,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.28,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.3,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.32,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.34,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.36,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.38,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.4,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.42,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.44,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.46,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.48,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.5,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.52,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.54,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.56,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.58,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.6,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.62,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.64,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.66,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.68,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
3.7,1.012,27.778,0.008,-6.472,14.284,0.006,32.676,22.495,48.701,0.0
