step,cos,z,f_thumb,f_index,f_middle
0,0.0032,0.0122,4.553,4.201,0.75
1,0.0076,0.012,4.537,3.872,1.275
2,0.0089,0.0119,4.171,3.743,1.065
3,0.0113,0.0119,4.306,3.616,1.277
4,0.013,0.0118,4.426,3.769,1.236
5,0.0152,0.0118,4.489,3.653,1.428
6,0.0158,0.0117,4.442,3.906,1.25
7,0.0174,0.0116,4.623,3.875,1.698
8,0.0191,0.0116,4.799,3.928,1.87
9,0.0204,0.0115,4.557,3.731,1.776
10,0.0207,0.0114,4.643,4.064,1.622
11,0.0224,0.0114,4.936,4.114,2.131
12,0.0237,0.0113,5.048,4.021,2.213
13,0.0229,0.0112,4.962,3.646,2.01
14,0.0214,0.0112,4.964,3.952,1.941
15,0.0212,0.0112,5.096,4.21,2.049
16,0.0217,0.0111,5.357,4.227,2.443
17,0.0218,0.0111,5.023,4.213,1.9
18,0.0217,0.011,5.212,4.357,2.044
19,0.0216,0.011,5.242,4.321,2.165
20,0.0212,0.0109,4.505,1.138,2.736
21,0.0196,0.0109,5.49,4.068,2.339
22,0.0181,0.0109,5.335,3.544,2.127
23,0.0166,0.0109,5.598,3.418,2.414
24,0.0185,0.0147,3.416,1.965,1.503
25,0.0217,0.0242,2.929,1.58,1.582
26,0.0259,0.0355,2.539,1.421,1.652
27,0.0316,0.0476,2.738,1.293,2.033
28,0.0369,0.0599,2.764,1.484,1.906
29,0.0407,0.0723,2.776,1.372,1.879
30,0.0472,0.0847,2.829,1.526,2.176
31,0.0547,0.0972,3.385,1.515,2.858
32,0.0604,0.1052,4.118,1.994,3.292
33,0.0652,0.1078,4.385,2.058,3.306
34,0.0698,0.1087,4.418,2.029,3.468
35,0.0746,0.109,4.281,1.761,3.517
36,0.0801,0.1091,4.158,2.055,3.316
37,0.0863,0.1091,4.28,1.716,3.699
38,0.0923,0.1091,4.129,1.629,3.579
39,0.0985,0.1091,4.086,1.575,3.542
40,0.1049,0.109,4.039,1.606,3.501
41,0.1114,0.109,3.921,1.759,3.383
42,0.1183,0.109,3.917,1.659,3.387
43,0.125,0.1091,3.87,1.531,3.364
44,0.1324,0.1091,3.965,1.576,3.443
45,0.1397,0.1091,3.969,1.713,3.435
46,0.1472,0.1092,3.984,1.653,3.451
47,0.1546,0.1092,3.952,1.563,3.303
48,0.162,0.1093,3.975,1.777,3.347
49,0.1692,0.1093,3.943,1.588,3.146
50,0.1765,0.1094,3.974,1.557,3.123
51,0.1845,0.1095,3.913,1.624,3.164
52,0.1924,0.1096,4.001,1.652,3.164
53,0.2003,0.1096,3.866,1.702,2.927
54,0.2063,0.1097,3.883,1.575,2.646
55,0.2134,0.1098,3.91,1.554,2.8
56,0.2215,0.1099,3.896,1.727,2.71
57,0.2292,0.11,4.011,1.655,2.849
58,0.2368,0.1101,3.932,1.636,2.635
59,0.2442,0.1103,3.943,1.739,2.531
60,0.2514,0.1104,4.003,1.79,2.607
61,0.2593,0.1105,4.048,1.788,2.616
62,0.2662,0.1106,4.024,1.825,2.404
63,0.2724,0.1107,4.094,1.804,2.426
64,0.279,0.1109,4.142,1.786,2.401
65,0.2856,0.111,4.182,1.781,2.428
66,0.2919,0.1111,4.218,1.888,2.422
67,0.2976,0.1112,4.367,1.982,2.515
68,0.3026,0.1113,4.387,1.933,2.457
69,0.308,0.1114,4.449,1.905,2.606
70,0.3134,0.1115,4.55,2.025,2.564
71,0.3186,0.1116,4.5,2.092,2.477
72,0.3231,0.1117,4.672,2.083,2.553
73,0.3279,0.1118,4.713,2.037,2.633
74,0.3329,0.1119,4.785,2.121,2.673
75,0.3373,0.112,4.942,2.265,2.755
76,0.3419,0.1121,4.946,2.252,2.676
77,0.3461,0.1122,4.983,2.22,2.726
78,0.35,0.1122,5.113,2.342,2.792
79,0.3536,0.1123,5.225,2.4,2.838
80,0.3568,0.1124,5.303,2.38,2.912
81,0.3603,0.1125,5.307,2.372,2.894
82,0.3631,0.1125,5.455,2.47,2.961
83,0.3657,0.1126,5.503,2.515,2.941
84,0.3683,0.1127,5.5,2.475,2.973
85,0.3709,0.1127,5.682,2.525,3.118
86,0.3736,0.1128,5.584,2.424,3.098
87,0.3748,0.1128,5.934,2.736,3.207
88,0.3766,0.1128,5.965,2.677,3.259
89,0.3786,0.1129,5.976,2.689,3.252
90,0.3812,0.1129,5.929,2.668,3.205
91,0.3836,0.113,5.909,2.709,3.167
92,0.3859,0.113,5.813,2.642,3.163
93,0.3872,0.113,6.042,2.727,3.264
94,0.3884,0.1131,6.146,2.847,3.288
95,0.3906,0.1131,6.04,2.757,3.246
96,0.3925,0.1131,6.043,2.752,3.286
97,0.394,0.1132,5.92,2.601,3.249
98,0.3956,0.1132,6.026,2.643,3.316
99,0.3976,0.1132,5.906,2.597,3.24
100,0.3984,0.1133,6.12,2.75,3.305
101,0.3993,0.1133,6.141,2.72,3.362
102,0.4011,0.1133,6.16,2.814,3.327
103,0.4024,0.1133,6.212,2.859,3.346
104,0.4031,0.1133,6.165,2.808,3.33
105,0.4042,0.1134,6.23,2.799,3.387
106,0.4053,0.1134,6.284,2.848,3.39
107,0.406,0.1134,6.312,2.822,3.424
108,0.4069,0.1134,6.365,2.869,3.431
109,0.408,0.1134,6.368,2.874,3.445
110,0.4092,0.1134,6.313,2.764,3.483
111,0.4103,0.1135,6.473,2.91,3.517
112,0.4111,0.1135,6.41,2.88,3.464
113,0.4124,0.1135,6.481,2.95,3.497
114,0.413,0.1135,6.452,2.947,3.449
115,0.4137,0.1135,6.371,2.86,3.454
116,0.414,0.1135,6.608,2.965,3.579
117,0.415,0.1135,6.365,2.817,3.488
118,0.4159,0.1135,6.387,2.843,3.488
119,0.4175,0.1136,6.409,2.957,3.432
120,0.418,0.1136,6.337,2.816,3.458
121,0.4195,0.1136,6.294,2.811,3.439
122,0.4201,0.1136,6.411,2.924,3.422
123,0.4209,0.1136,6.416,2.854,3.49
124,0.4214,0.1136,6.272,2.713,3.483
125,0.4219,0.1136,6.294,2.762,3.458
126,0.4223,0.1136,6.549,2.916,3.56
127,0.4234,0.1137,6.4,2.924,3.435
128,0.4238,0.1137,6.502,2.869,3.562
129,0.4244,0.1137,6.61,2.968,3.582
130,0.4252,0.1137,6.445,2.946,3.465
131,0.4257,0.1137,6.374,2.794,3.509
132,0.4257,0.1137,6.597,2.95,3.582
133,0.4258,0.1137,6.578,3.003,3.536
