step,cos,z,f_thumb,f_index,f_middle
0,0.0028,0.0121,2.834,2.808,0.0
1,0.0058,0.0119,3.891,3.19,1.801
2,0.0085,0.012,4.865,2.146,2.871
3,0.0017,0.0123,5.362,2.149,3.961
4,-0.0004,0.0125,4.772,1.974,3.713
5,0.009,0.0126,6.156,2.371,4.768
6,0.0151,0.0129,7.286,1.819,5.725
7,0.017,0.0132,6.906,3.733,5.087
8,0.0261,0.0136,8.469,2.682,6.692
9,0.0332,0.0139,9.18,2.566,7.062
10,0.0402,0.0142,9.682,2.976,7.153
11,0.0476,0.0145,10.145,3.669,6.933
12,0.0549,0.0148,10.858,3.806,7.603
13,0.062,0.015,11.102,4.085,7.151
14,0.0686,0.0153,11.752,4.307,7.781
15,0.0749,0.0155,12.068,4.572,7.598
16,0.0807,0.0158,12.087,4.47,7.182
17,0.0864,0.016,12.224,4.652,7.034
18,0.0911,0.0162,12.486,4.742,7.916
19,0.0972,0.0165,12.725,5.311,6.696
20,0.1029,0.0167,12.63,5.103,6.724
21,0.1073,0.0169,12.434,5.179,6.566
22,0.1109,0.0171,12.28,5.397,6.286
23,0.1152,0.0173,12.326,5.64,5.771
24,0.1261,0.0216,10.762,7.413,3.686
25,0.1357,0.0314,10.516,7.742,3.492
26,0.1453,0.043,10.313,7.586,3.185
27,0.1525,0.0552,9.817,7.263,3.056
28,0.1586,0.0677,9.108,6.752,3.289
29,0.1681,0.0804,9.667,7.3,2.638
30,0.1789,0.0931,9.844,7.469,2.474
31,0.1864,0.1058,9.287,7.139,2.419
32,0.1962,0.1141,9.328,7.373,2.328
33,0.2069,0.1171,9.417,7.622,2.185
34,0.2165,0.1183,9.498,7.79,2.151
35,0.2255,0.1189,9.437,7.805,2.049
36,0.2343,0.1192,9.382,7.808,1.938
37,0.243,0.1195,9.353,7.825,1.832
38,0.2518,0.1198,9.345,7.856,1.738
39,0.2606,0.12,9.353,7.896,1.655
40,0.2694,0.1203,9.373,7.945,1.583
41,0.2783,0.1206,9.401,7.997,1.52
42,0.2869,0.1208,9.297,7.97,1.487
43,0.2948,0.1211,8.946,7.777,1.57
44,0.3019,0.1213,8.443,7.431,1.693
45,0.3094,0.1216,8.821,7.744,1.286
46,0.3171,0.1219,8.851,7.798,1.223
47,0.3242,0.122,7.69,6.913,1.836
48,0.3305,0.1223,7.389,6.716,1.753
49,0.3369,0.1224,6.675,6.087,2.15
50,0.3432,0.1227,6.826,6.319,1.759
51,0.3499,0.1229,6.636,6.151,2.124
52,0.3545,0.1232,6.935,6.435,2.395
53,0.3581,0.1235,7.19,6.692,2.42
54,0.3653,0.1237,6.061,5.649,2.02
55,0.3624,0.1239,6.704,5.821,2.972
56,0.3603,0.1242,7.331,5.753,3.829
57,0.3585,0.1244,7.519,6.329,3.534
58,0.3563,0.1247,7.72,6.499,3.611
59,0.3559,0.125,8.053,6.201,4.453
60,0.3553,0.1253,8.352,6.451,4.651
61,0.3544,0.1256,8.585,6.657,4.807
62,0.3535,0.1259,8.972,6.525,5.49
63,0.352,0.1261,9.223,6.618,5.78
64,0.3503,0.1264,9.438,6.706,6.03
65,0.3482,0.1266,9.61,6.772,6.248
66,0.3471,0.1269,9.885,6.561,6.806
67,0.3459,0.127,9.989,6.589,6.948
68,0.347,0.1271,10.158,6.324,7.381
69,0.3512,0.127,9.991,5.435,7.712
70,0.355,0.127,10.744,4.881,8.352
71,0.3582,0.1269,10.984,4.593,8.511
72,0.3584,0.1269,10.989,5.767,8.707
73,0.3622,0.1266,10.173,4.262,7.786
74,0.3666,0.1262,10.207,3.522,7.593
75,0.37,0.1258,9.106,4.502,7.212
76,0.3729,0.1257,10.255,4.338,8.218
77,0.3747,0.1257,10.154,5.51,8.181
78,0.378,0.1255,10.154,4.12,7.996
79,0.3805,0.1253,10.31,5.309,8.484
80,0.3852,0.1251,9.207,4.402,7.795
81,0.387,0.125,10.241,3.486,9.018
82,0.389,0.1251,10.024,4.877,8.441
83,0.3915,0.125,10.232,4.871,8.657
84,0.3952,0.1248,10.006,4.818,8.416
85,0.3974,0.1248,10.32,4.435,9.0
86,0.3972,0.1248,10.663,4.498,9.343
87,0.3981,0.1247,10.895,4.402,9.598
88,0.4012,0.1246,10.849,4.352,9.573
89,0.4014,0.1245,10.789,4.099,9.622
90,0.4042,0.1242,10.275,3.841,9.188
91,0.4052,0.1238,9.295,2.4,8.703
92,0.4081,0.1236,8.924,3.663,7.731
93,0.4094,0.1235,9.769,3.139,8.908
94,0.4119,0.1233,9.541,2.578,8.894
95,0.4128,0.1229,8.643,1.99,8.179
96,0.4171,0.1224,6.095,1.018,5.855
97,0.4234,0.1222,7.498,1.621,7.116
98,0.4457,0.122,7.325,0.0,7.267
99,0.4928,0.1214,7.619,0.0,7.558
100,0.5601,0.1208,7.545,0.0,7.477
101,0.6433,0.1197,5.07,0.0,4.981
102,0.7354,0.1184,2.48,0.0,2.38
103,0.8258,0.1162,0.0,0.0,0.0
104,0.8995,0.1104,0.0,0.0,0.0
105,0.9526,0.1008,0.0,0.0,0.0
106,0.9838,0.0872,0.0,0.0,0.0
107,0.9911,0.0708,0.0,0.0,0.0
108,0.9919,0.0512,0.0,0.0,0.0
109,0.9928,0.043,0.0,0.0,0.0
110,0.9942,0.0453,0.0,0.0,0.0
111,0.9949,0.0477,0.0,0.0,0.0
112,0.9947,0.0492,0.0,0.0,0.0
113,0.9938,0.0501,0.0,0.0,0.0
114,0.9924,0.0505,0.0,0.0,0.0
115,0.9907,0.0508,0.0,0.0,0.0
116,0.9888,0.0509,0.0,0.0,0.0
117,0.9869,0.051,0.0,0.0,0.0
118,0.9851,0.051,0.0,0.0,0.0
119,0.9834,0.0511,0.0,0.0,0.0
120,0.9818,0.0511,0.0,0.0,0.0
121,0.9804,0.0511,0.0,0.0,0.0
122,0.979,0.0511,0.0,0.0,0.0
123,0.9777,0.0511,0.0,0.0,0.0
124,0.9765,0.0512,0.0,0.0,0.0
125,0.9752,0.0512,0.0,0.0,0.0
126,0.9739,0.0512,0.0,0.0,0.0
127,0.9725,0.0512,0.0,0.0,0.0
128,0.9709,0.0512,0.0,0.0,0.0
129,0.9691,0.0512,0.0,0.0,0.0
