step,cos,z,f_thumb,f_index,f_middle
0,0.004,0.0122,4.119,3.819,0.426
1,0.0062,0.012,3.664,3.506,0.522
2,0.0076,0.0118,3.362,3.259,0.566
3,0.0086,0.0118,3.171,3.115,0.588
4,0.0095,0.0117,3.069,3.075,0.603
5,0.0103,0.0116,3.067,3.146,0.617
6,0.0111,0.0115,3.117,3.265,0.627
7,0.0119,0.0115,3.179,3.39,0.631
8,0.0127,0.0114,3.229,3.5,0.63
9,0.0134,0.0113,3.272,3.601,0.628
10,0.0141,0.0113,3.303,3.691,0.625
11,0.0148,0.0112,3.342,3.78,0.624
12,0.0155,0.0111,3.37,3.862,0.621
13,0.0161,0.0111,3.391,3.937,0.618
14,0.0167,0.011,3.412,4.008,0.615
15,0.0173,0.011,3.436,4.073,0.612
16,0.0178,0.011,3.452,4.133,0.608
17,0.0183,0.0109,3.465,4.195,0.605
18,0.0188,0.0109,3.478,4.254,0.602
19,0.0193,0.0108,3.504,4.307,0.608
20,0.0196,0.0108,3.519,4.359,0.61
21,0.0199,0.0108,3.527,4.408,0.601
22,0.0202,0.0107,3.54,4.454,0.601
23,0.0205,0.0107,3.555,4.498,0.602
24,0.0214,0.0144,2.303,1.706,0.719
25,0.0224,0.0238,1.675,1.1,0.672
26,0.0234,0.0352,1.466,0.946,0.548
27,0.0246,0.0473,1.532,0.96,0.574
28,0.0258,0.0596,1.65,1.031,0.613
29,0.027,0.072,1.747,1.107,0.63
30,0.0282,0.0844,1.816,1.162,0.643
31,0.0293,0.0968,1.855,1.195,0.646
32,0.0315,0.1048,2.601,2.005,0.776
33,0.034,0.1075,2.697,2.259,0.476
34,0.036,0.1084,2.55,2.106,0.422
35,0.0377,0.1087,2.318,1.876,0.427
36,0.0392,0.1088,2.128,1.682,0.437
37,0.0405,0.1088,2.012,1.558,0.448
38,0.0416,0.1088,1.95,1.481,0.463
39,0.0427,0.1087,1.915,1.432,0.477
40,0.0438,0.1087,1.897,1.399,0.491
41,0.0447,0.1086,1.886,1.374,0.505
42,0.0457,0.1086,1.882,1.348,0.528
43,0.0465,0.1086,1.877,1.332,0.538
44,0.0474,0.1085,1.869,1.336,0.525
45,0.0482,0.1085,1.869,1.319,0.542
46,0.0489,0.1085,1.866,1.312,0.545
47,0.0497,0.1084,1.863,1.305,0.549
48,0.0504,0.1084,1.86,1.297,0.554
49,0.051,0.1084,1.853,1.305,0.539
50,0.0517,0.1084,1.853,1.296,0.547
51,0.0524,0.1083,1.852,1.284,0.559
52,0.053,0.1083,1.847,1.279,0.558
53,0.0536,0.1083,1.845,1.269,0.566
54,0.0542,0.1082,1.838,1.275,0.554
55,0.0547,0.1082,1.837,1.271,0.557
56,0.0552,0.1082,1.837,1.255,0.572
57,0.0557,0.1082,1.833,1.254,0.568
58,0.0728,0.1082,3.05,1.348,1.792
59,0.087,0.1082,2.876,1.543,1.652
60,0.1005,0.1082,2.979,1.585,1.706
61,0.1139,0.1082,2.91,1.607,1.694
62,0.1278,0.1083,3.715,1.72,2.187
63,0.1429,0.1085,5.092,3.904,3.472
64,0.1577,0.1087,5.57,3.74,4.13
65,0.1727,0.109,6.005,3.543,4.541
66,0.1878,0.1092,6.096,3.727,4.155
67,0.2029,0.1094,6.103,3.921,3.616
