step,cos,z,f_thumb,f_index,f_middle
0,0.004,0.0122,4.116,3.821,0.426
1,0.0062,0.012,3.663,3.508,0.522
2,0.0076,0.0118,3.361,3.259,0.567
3,0.0086,0.0118,3.171,3.115,0.588
4,0.0095,0.0117,3.068,3.075,0.603
5,0.0103,0.0116,3.066,3.146,0.617
6,0.0111,0.0115,3.116,3.266,0.627
7,0.0119,0.0115,3.174,3.388,0.63
8,0.0127,0.0114,3.229,3.5,0.63
9,0.0134,0.0113,3.272,3.601,0.628
10,0.0141,0.0113,3.304,3.692,0.625
11,0.0148,0.0112,3.343,3.78,0.624
12,0.0155,0.0111,3.366,3.86,0.621
13,0.0161,0.0111,3.393,3.937,0.618
14,0.0167,0.011,3.412,4.008,0.615
15,0.0173,0.011,3.436,4.073,0.612
16,0.0178,0.011,3.451,4.135,0.608
17,0.0183,0.0109,3.465,4.196,0.605
18,0.0188,0.0109,3.478,4.25,0.602
19,0.0193,0.0108,3.505,4.308,0.609
20,0.0196,0.0108,3.519,4.359,0.61
21,0.0199,0.0108,3.526,4.409,0.601
22,0.0202,0.0107,3.54,4.454,0.601
23,0.0205,0.0107,3.554,4.499,0.603
24,0.0214,0.0144,2.303,1.706,0.719
25,0.0224,0.0238,1.675,1.1,0.672
26,0.0235,0.0352,1.465,0.946,0.548
27,0.0246,0.0473,1.532,0.96,0.575
28,0.0258,0.0596,1.65,1.032,0.613
29,0.027,0.072,1.747,1.107,0.63
30,0.0282,0.0844,1.816,1.162,0.643
31,0.0297,0.0968,0.556,0.0,0.385
32,0.0327,0.1048,2.729,2.128,0.761
33,0.0353,0.1075,2.755,2.321,0.467
34,0.0373,0.1084,2.565,2.138,0.406
35,0.0391,0.1087,2.326,1.903,0.409
36,0.0405,0.1088,2.132,1.698,0.427
37,0.0418,0.1088,2.015,1.566,0.443
38,0.043,0.1087,1.949,1.489,0.456
39,0.0441,0.1087,1.914,1.439,0.47
40,0.0451,0.1087,1.895,1.405,0.485
41,0.0461,0.1086,1.885,1.379,0.501
42,0.047,0.1086,1.878,1.36,0.512
43,0.0479,0.1086,1.875,1.344,0.524
44,0.0487,0.1085,1.874,1.324,0.542
45,0.0495,0.1085,1.866,1.328,0.531
46,0.0503,0.1085,1.866,1.318,0.54
47,0.051,0.1084,1.863,1.309,0.545
48,0.0517,0.1084,1.86,1.303,0.548
49,0.0524,0.1084,1.851,1.315,0.529
50,0.0531,0.1083,1.852,1.302,0.541
51,0.0537,0.1083,1.853,1.281,0.562
52,0.0543,0.1083,1.849,1.273,0.567
53,0.0549,0.1083,1.845,1.274,0.561
54,0.0555,0.1082,1.837,1.28,0.548
55,0.056,0.1082,1.838,1.27,0.558
56,0.0565,0.1082,1.837,1.257,0.57
57,0.057,0.1082,1.833,1.258,0.565
58,0.0745,0.1081,3.087,1.238,1.886
59,0.0873,0.1082,4.383,0.975,3.378
60,0.1007,0.1082,3.858,1.03,2.854
61,0.1143,0.1083,4.65,1.068,3.541
62,0.1275,0.1084,4.779,0.991,3.74
63,0.1411,0.1085,4.642,0.941,3.649
64,0.1549,0.1087,4.945,0.986,3.901
65,0.1681,0.1089,4.018,1.049,3.311
66,0.183,0.1091,4.419,0.951,3.616
67,0.1984,0.1093,4.054,1.019,3.358
68,0.2127,0.1096,4.775,1.373,3.854
69,0.2277,0.1098,4.745,1.021,3.698
70,0.243,0.1102,4.862,1.536,4.042
71,0.2581,0.1105,4.947,1.496,3.816
72,0.2728,0.1108,5.183,1.59,3.6
73,0.2871,0.1112,5.415,1.842,3.478
74,0.3014,0.1115,5.131,1.756,3.317
75,0.3153,0.1119,5.281,1.935,3.266
76,0.3291,0.1123,4.922,1.831,3.006
77,0.3418,0.1128,5.434,2.256,3.137
78,0.3544,0.1132,5.533,2.468,3.18
79,0.3666,0.1136,5.403,2.407,3.074
80,0.3782,0.1141,5.534,2.548,3.131
81,0.3897,0.1146,5.582,2.565,3.115
82,0.4005,0.115,5.647,2.751,3.229
83,0.4105,0.1155,5.675,2.763,3.238
84,0.4213,0.116,6.211,2.475,3.941
85,0.4313,0.1164,6.334,2.549,4.009
86,0.4401,0.1169,6.41,2.353,4.105
87,0.4486,0.1173,6.355,2.361,4.05
88,0.4572,0.1178,6.456,2.573,4.066
89,0.4645,0.1182,6.531,2.41,4.158
90,0.4714,0.1186,6.582,2.317,4.241
91,0.4769,0.1189,6.307,2.502,3.958
92,0.4828,0.1192,6.423,2.404,4.061
93,0.4884,0.1195,6.575,2.285,4.242
94,0.4929,0.1198,6.832,2.156,4.547
95,0.4976,0.12,6.576,2.306,4.158
96,0.5021,0.1202,7.021,2.038,4.861
97,0.5064,0.1204,6.79,2.138,4.521
98,0.5103,0.1205,6.867,2.158,4.573
99,0.5146,0.1207,6.686,2.054,4.508
100,0.518,0.1209,6.687,2.252,4.305
101,0.5219,0.121,6.835,2.191,4.532
102,0.5255,0.1212,6.526,2.066,4.331
103,0.53,0.1214,7.396,2.113,5.136
104,0.5342,0.1216,7.436,2.115,5.176
105,0.5381,0.1218,7.64,2.222,5.275
106,0.5419,0.1219,7.725,2.499,5.098
107,0.5454,0.122,7.061,2.44,4.531
108,0.5492,0.1221,7.531,2.558,4.877
109,0.5528,0.1223,7.1,2.486,4.595
110,0.5567,0.1224,7.573,2.413,5.027
111,0.56,0.1225,7.171,2.51,4.585
112,0.5633,0.1226,7.143,2.54,4.493
113,0.5672,0.1227,7.492,2.529,4.881
114,0.5709,0.1228,7.43,2.511,4.852
115,0.5749,0.123,7.813,2.364,5.315
116,0.5787,0.1231,7.916,2.38,5.394
117,0.5819,0.1232,7.589,2.708,4.895
118,0.5858,0.1233,8.052,2.387,5.53
119,0.589,0.1234,7.658,2.52,5.026
120,0.5918,0.1235,7.545,2.754,4.71
121,0.5958,0.1237,8.007,2.416,5.455
122,0.5984,0.1237,7.317,2.646,4.587
123,0.6016,0.1237,8.066,2.238,5.712
124,0.6048,0.1238,7.618,2.424,5.08
125,0.607,0.1239,7.114,2.711,4.296
126,0.6104,0.124,8.171,2.483,5.556
127,0.6127,0.1241,7.375,2.797,4.485
128,0.6158,0.1242,7.555,2.428,5.036
129,0.6177,0.1242,7.387,3.21,4.191
130,0.6211,0.1244,7.873,3.267,4.577
131,0.6235,0.1245,7.453,3.005,4.32
132,0.6262,0.1246,8.07,3.167,4.776
133,0.6296,0.1248,8.199,2.492,5.616
134,0.6322,0.125,8.063,2.77,5.136
135,0.6346,0.1251,8.076,2.907,5.015
136,0.6363,0.1252,7.623,2.964,4.553
137,0.6383,0.1254,8.013,3.385,4.547
138,0.6406,0.1255,7.714,3.166,4.663
139,0.6431,0.1255,8.284,2.822,5.884
140,0.6456,0.1256,8.474,2.761,6.108
141,0.6476,0.1258,8.012,2.985,4.967
142,0.6482,0.1258,7.485,3.911,3.491
143,0.6501,0.1259,8.38,3.385,5.045
144,0.6524,0.1261,8.624,3.288,5.449
145,0.6546,0.1261,8.128,3.757,5.547
146,0.6571,0.1262,8.771,2.925,6.021
147,0.6581,0.1263,7.937,3.68,4.213
148,0.6594,0.1264,8.511,3.642,4.962
149,0.6609,0.1266,8.678,3.641,5.161
150,0.6628,0.1267,8.854,3.458,5.65
151,0.6642,0.1268,8.861,3.541,5.444
152,0.6654,0.1269,8.867,3.632,5.234
153,0.6662,0.127,8.891,3.765,5.021
154,0.667,0.1272,8.769,3.827,5.148
155,0.667,0.1273,8.563,4.063,4.343
156,0.6671,0.1275,8.53,4.069,4.299
157,0.669,0.1276,8.729,3.674,5.36
158,0.6694,0.1277,8.521,3.997,4.729
159,0.6712,0.1278,8.3,4.165,5.062
160,0.6709,0.1279,8.458,4.19,4.337
161,0.6708,0.1281,8.585,4.21,4.597
162,0.6705,0.1282,8.733,4.226,4.455
163,0.6698,0.1283,8.681,4.272,4.519
164,0.6698,0.1283,8.073,5.222,3.31
165,0.6702,0.1285,8.585,4.213,4.833
166,0.6708,0.1285,7.803,4.959,2.915
167,0.6695,0.1286,8.5,4.404,4.281
168,0.6691,0.1288,8.442,4.306,4.166
169,0.67,0.1288,8.083,4.628,4.098
170,0.6681,0.129,8.563,4.404,4.319
171,0.6691,0.1289,7.971,5.159,3.598
172,0.6673,0.1291,9.171,3.14,6.123
173,0.6674,0.1292,9.37,3.407,5.878
174,0.6676,0.1294,9.792,3.259,6.52
175,0.6673,0.1296,9.839,3.58,6.223
176,0.667,0.1298,10.313,3.489,6.987
177,0.6663,0.13,10.578,3.361,7.121
178,0.6651,0.1302,10.768,3.55,7.284
179,0.6631,0.1304,10.668,4.212,6.352
180,0.6633,0.1305,10.878,3.633,7.165
181,0.6631,0.1305,10.322,4.094,6.698
182,0.6613,0.1308,11.064,3.72,7.392
183,0.6631,0.1308,10.468,3.831,6.714
184,0.6608,0.1309,10.898,3.917,6.936
185,0.6595,0.1312,11.222,3.814,7.483
186,0.6582,0.1313,11.033,3.999,7.25
187,0.6599,0.1313,10.866,3.896,6.96
188,0.6566,0.1314,10.975,4.625,6.476
189,0.6552,0.1315,11.441,3.897,7.666
190,0.6536,0.1316,11.21,4.424,6.858
191,0.6501,0.1318,11.663,4.097,7.897
192,0.6482,0.1318,11.422,4.42,7.107
193,0.6459,0.132,11.751,4.141,7.971
194,0.648,0.1319,11.347,3.909,7.674
195,0.6513,0.1318,10.725,4.528,6.324
196,0.6492,0.1317,10.76,4.804,6.015
197,0.6487,0.1318,11.275,3.93,7.462
