step,cos,z,f_thumb,f_index,f_middle
0,0.004,0.0122,4.116,3.822,0.427
1,0.0062,0.012,3.662,3.508,0.522
2,0.0076,0.0118,3.36,3.259,0.567
3,0.0086,0.0118,3.17,3.116,0.588
4,0.0095,0.0117,3.067,3.076,0.603
5,0.0103,0.0116,3.065,3.146,0.617
6,0.0111,0.0115,3.115,3.266,0.627
7,0.0119,0.0115,3.174,3.389,0.63
8,0.0127,0.0114,3.228,3.501,0.63
9,0.0134,0.0113,3.272,3.601,0.628
10,0.0141,0.0113,3.304,3.692,0.625
11,0.0148,0.0112,3.341,3.781,0.624
12,0.0155,0.0111,3.366,3.86,0.621
13,0.0161,0.0111,3.391,3.937,0.618
14,0.0167,0.011,3.411,4.007,0.615
15,0.0173,0.011,3.436,4.073,0.612
16,0.0178,0.011,3.452,4.137,0.608
17,0.0183,0.0109,3.465,4.197,0.605
18,0.0188,0.0109,3.476,4.253,0.602
19,0.0193,0.0108,3.504,4.307,0.608
20,0.0196,0.0108,3.518,4.362,0.609
21,0.0199,0.0108,3.526,4.41,0.601
22,0.0202,0.0107,3.54,4.453,0.601
23,0.0205,0.0107,3.554,4.499,0.602
24,0.0214,0.0144,2.303,1.706,0.719
25,0.0224,0.0238,1.675,1.1,0.672
26,0.0234,0.0352,1.465,0.945,0.548
27,0.0246,0.0473,1.532,0.96,0.575
28,0.0258,0.0596,1.65,1.031,0.613
29,0.027,0.072,1.747,1.107,0.631
30,0.0282,0.0844,1.816,1.162,0.643
31,0.0297,0.0968,0.556,0.0,0.385
32,0.0327,0.1048,2.729,2.128,0.761
33,0.0353,0.1075,2.755,2.321,0.467
34,0.0373,0.1084,2.565,2.138,0.406
35,0.039,0.1087,2.326,1.903,0.409
36,0.0405,0.1088,2.132,1.697,0.427
37,0.0418,0.1088,2.015,1.567,0.443
38,0.043,0.1087,1.949,1.489,0.456
39,0.0441,0.1087,1.914,1.439,0.47
40,0.0451,0.1087,1.895,1.405,0.485
41,0.0461,0.1086,1.887,1.372,0.51
42,0.047,0.1086,1.878,1.36,0.512
43,0.0479,0.1086,1.875,1.344,0.524
44,0.0487,0.1085,1.873,1.325,0.541
45,0.0495,0.1085,1.866,1.327,0.531
46,0.0503,0.1085,1.866,1.317,0.54
47,0.051,0.1084,1.863,1.31,0.544
48,0.0517,0.1084,1.86,1.304,0.548
49,0.0524,0.1084,1.858,1.294,0.555
50,0.0531,0.1083,1.853,1.295,0.55
51,0.0537,0.1083,1.852,1.281,0.562
52,0.0543,0.1083,1.85,1.274,0.567
53,0.0549,0.1083,1.846,1.269,0.568
54,0.0554,0.1082,1.837,1.28,0.548
55,0.056,0.1082,1.838,1.269,0.56
56,0.0565,0.1082,1.837,1.258,0.57
57,0.057,0.1082,1.832,1.26,0.561
58,0.0755,0.1081,2.323,1.511,1.59
59,0.09,0.1081,2.563,1.682,1.779
60,0.1041,0.1081,2.659,1.751,1.891
61,0.118,0.1082,2.685,1.751,1.895
62,0.1323,0.1082,2.682,1.433,1.419
63,0.1469,0.1083,2.892,1.7,1.219
64,0.1622,0.1084,3.389,2.727,0.696
65,0.1784,0.1085,3.616,2.958,0.71
66,0.1943,0.1086,3.466,2.536,0.918
67,0.21,0.1088,3.0,2.214,0.777
68,0.2244,0.109,2.19,1.411,1.573
69,0.2395,0.1093,3.352,1.939,2.517
70,0.2551,0.1097,5.328,1.998,4.046
71,0.2703,0.1101,5.693,2.226,4.033
72,0.2854,0.1104,5.854,2.369,3.908
73,0.3003,0.1108,5.912,2.461,3.743
74,0.3149,0.1112,5.896,2.519,3.565
75,0.3291,0.1116,5.836,2.549,3.386
76,0.3429,0.112,5.754,2.568,3.213
77,0.3562,0.1124,5.659,2.579,3.055
78,0.3691,0.1129,5.562,2.587,2.915
79,0.3815,0.1134,5.464,2.591,2.793
80,0.3933,0.1138,5.371,2.588,2.692
81,0.4046,0.1143,5.282,2.589,2.606
82,0.4153,0.1149,5.201,2.587,2.537
83,0.4256,0.1154,5.481,2.357,3.058
84,0.4366,0.1159,5.739,2.46,3.188
85,0.4471,0.1165,5.785,2.526,3.183
86,0.4569,0.117,5.744,2.644,3.063
87,0.4656,0.1175,5.72,2.825,2.941
88,0.4732,0.118,5.822,3.081,2.871
89,0.4803,0.1185,5.654,3.026,2.735
90,0.4862,0.119,5.719,3.567,2.147
91,0.4924,0.1193,6.611,4.717,1.889
92,0.5039,0.1196,6.391,4.721,1.732
93,0.5152,0.1196,0.706,0.0,0.315
94,0.5197,0.1197,5.477,4.258,1.349
95,0.5244,0.1196,5.061,4.008,1.774
96,0.528,0.1195,5.148,4.014,2.499
97,0.5326,0.1195,5.084,4.054,2.487
98,0.5385,0.1194,5.115,3.796,3.255
99,0.5419,0.1196,5.315,4.017,3.318
100,0.5488,0.1196,5.206,3.954,3.225
101,0.5529,0.1199,5.537,4.28,3.354
102,0.5608,0.1199,5.206,4.037,3.13
103,0.5649,0.1203,4.347,3.975,0.0
104,0.5727,0.1205,5.903,4.494,3.61
105,0.578,0.1207,6.201,4.836,3.716
106,0.5859,0.1209,5.821,4.534,3.492
107,0.5947,0.1211,5.606,4.295,3.445
