step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0031,0.0124,10.999,10.139,2.51,60.35,3.326
1,0.0008,0.0124,3.514,4.011,0.0,60.36,4.08
2,0.0009,0.0124,2.981,4.038,0.0,60.37,5.74
3,0.0008,0.0124,2.299,4.179,0.0,60.38,6.744
4,0.0008,0.0124,2.136,4.193,0.226,60.39,7.682
5,0.0009,0.0124,2.45,4.447,0.317,60.4,8.323
6,0.001,0.0124,2.77,4.759,0.368,60.4,8.788
7,0.001,0.0124,3.056,5.059,0.455,60.41,9.172
8,0.0011,0.0124,3.309,5.336,0.504,60.42,9.514
9,0.0011,0.0124,3.554,5.618,0.546,60.43,9.842
10,0.0011,0.0124,3.795,5.907,0.58,60.44,10.139
11,0.0012,0.0124,4.031,6.194,0.615,60.45,10.392
12,0.0012,0.0124,4.264,6.486,0.645,60.46,10.583
13,0.0012,0.0124,4.482,6.766,0.669,60.47,10.733
14,0.0012,0.0124,4.69,7.064,0.687,60.47,10.863
15,0.0012,0.0124,4.905,7.322,0.715,60.48,10.988
16,0.0012,0.0124,5.095,7.594,0.724,60.49,11.112
17,0.0012,0.0124,5.271,7.857,0.729,60.5,11.239
18,0.0012,0.0124,5.431,8.107,0.717,60.5,11.369
19,0.0013,0.0123,5.615,8.344,0.746,60.51,11.502
20,0.0012,0.0123,5.766,8.559,0.738,60.51,11.633
21,0.0012,0.0123,5.873,8.731,0.707,60.52,11.758
22,0.0012,0.0123,6.0,8.784,0.661,60.51,11.883
23,0.0011,0.0123,6.095,8.311,0.548,60.49,12.011
24,-0.0001,0.0143,2.162,1.685,0.636,60.52,12.141
25,0.0016,0.0224,1.796,1.314,0.554,60.51,12.127
26,0.0033,0.0332,1.891,1.317,0.575,60.5,12.079
27,0.005,0.045,2.015,1.371,0.634,60.51,12.153
28,0.0067,0.0572,2.07,1.41,0.648,60.51,12.281
29,0.0084,0.0696,2.091,1.421,0.661,60.52,12.428
30,0.0101,0.082,2.091,1.421,0.662,60.53,12.579
31,0.0117,0.0944,2.087,1.404,0.675,60.54,12.721
32,0.0136,0.1035,2.725,1.935,0.868,60.58,12.851
33,0.0156,0.107,2.411,1.817,0.586,60.62,13.186
34,0.0174,0.1082,2.164,1.647,0.511,60.64,13.365
35,0.0191,0.1086,2.074,1.552,0.524,60.65,13.385
36,0.0205,0.1087,2.037,1.498,0.538,60.66,13.341
37,0.0219,0.1087,2.018,1.48,0.536,60.67,13.286
38,0.0233,0.1087,2.011,1.456,0.553,60.67,13.22
39,0.0245,0.1087,2.008,1.434,0.572,60.68,13.15
40,0.0258,0.1086,2.003,1.422,0.579,60.69,13.087
41,0.0269,0.1086,2.0,1.403,0.595,60.69,13.048
42,0.028,0.1085,1.997,1.388,0.606,60.7,13.026
43,0.0291,0.1085,1.993,1.374,0.617,60.7,13.022
44,0.0301,0.1084,1.989,1.361,0.625,60.71,13.034
45,0.031,0.1084,1.985,1.35,0.632,60.71,13.054
46,0.0319,0.1083,1.979,1.345,0.632,60.72,13.08
47,0.0328,0.1083,1.974,1.336,0.636,60.72,13.108
48,0.0337,0.1082,1.969,1.328,0.64,60.73,13.138
49,0.0345,0.1082,1.965,1.321,0.642,60.73,13.17
50,0.0353,0.1082,1.96,1.315,0.644,60.74,13.202
51,0.0361,0.1081,1.955,1.318,0.635,60.74,13.234
52,0.0368,0.1081,1.942,1.327,0.615,60.75,13.266
53,0.0376,0.1081,1.941,1.319,0.621,60.75,13.298
54,0.0383,0.108,1.946,1.289,0.655,60.76,13.331
55,0.039,0.108,1.941,1.285,0.654,60.76,13.365
56,0.0397,0.108,1.93,1.302,0.627,60.76,13.397
57,0.0403,0.1079,1.929,1.289,0.638,60.77,13.427
58,0.0544,0.1078,2.883,1.77,1.755,60.83,13.458
59,0.0681,0.1077,2.843,1.835,1.852,60.83,13.076
60,0.082,0.1077,2.69,1.537,1.64,60.82,14.09
61,0.0964,0.1077,3.131,2.511,0.962,60.72,14.76
62,0.1119,0.1078,0.464,0.0,0.139,60.25,14.842
63,0.1291,0.1078,3.937,3.07,0.987,59.4,14.735
64,0.1464,0.1078,1.67,1.49,0.0,58.54,14.386
65,0.1626,0.1078,3.184,2.438,1.53,57.8,13.587
66,0.1771,0.108,1.451,0.0,1.161,57.18,12.64
67,0.1918,0.1082,5.322,2.05,4.368,56.66,11.772
68,0.2063,0.1085,7.159,2.861,5.525,56.39,10.934
69,0.2211,0.1087,6.978,2.813,5.211,56.2,10.059
70,0.2359,0.109,6.771,2.752,4.882,56.02,9.535
71,0.2507,0.1093,6.584,2.716,4.573,55.84,9.288
72,0.2654,0.1097,6.394,2.678,4.267,55.66,9.146
73,0.2799,0.1101,6.214,2.65,3.979,55.49,9.051
74,0.2942,0.1105,6.038,2.623,3.707,55.33,8.983
75,0.3082,0.1109,5.872,2.606,3.461,55.19,8.929
76,0.3217,0.1113,5.72,2.591,3.237,55.05,8.88
77,0.3349,0.1118,5.577,2.58,3.037,54.93,8.832
78,0.3476,0.1123,5.446,2.569,2.861,54.81,8.776
79,0.3598,0.1128,5.331,2.564,2.715,54.71,8.708
80,0.3714,0.1133,5.232,2.564,2.596,54.57,8.618
81,0.3825,0.1138,5.137,2.561,2.494,54.36,8.502
82,0.3932,0.1144,5.995,2.497,3.46,54.06,8.372
83,0.4046,0.1149,6.124,2.606,3.429,53.69,8.244
84,0.4156,0.1154,5.932,2.585,3.256,53.25,8.056
85,0.426,0.116,5.824,2.595,3.151,52.72,7.893
86,0.4357,0.1166,5.678,2.626,3.005,52.13,7.836
87,0.4444,0.1171,5.453,2.764,2.74,51.5,7.83
88,0.4521,0.1177,5.617,3.221,2.442,50.89,8.082
89,0.4604,0.1181,6.989,4.738,2.233,50.37,8.448
90,0.4719,0.1183,1.123,0.0,1.05,49.86,8.91
91,0.4795,0.1185,8.301,6.327,2.027,49.32,9.232
92,0.487,0.1186,7.659,6.0,1.775,48.83,9.776
