step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0029,0.0124,10.564,9.726,2.447,60.35,3.326
1,0.0008,0.0124,3.312,3.902,0.0,60.36,4.102
2,0.0008,0.0124,0.0,3.914,0.0,60.37,5.792
3,0.0006,0.0124,0.0,3.706,0.0,60.37,6.762
4,0.0006,0.0124,0.0,3.653,0.0,60.38,7.492
5,0.0006,0.0124,0.0,3.654,0.0,60.39,8.062
6,0.0006,0.0124,0.488,3.49,0.319,60.39,8.448
7,0.0006,0.0124,0.677,3.486,0.382,60.39,8.76
8,0.0006,0.0124,0.851,3.555,0.38,60.38,9.026
9,0.0006,0.0124,1.02,3.669,0.351,60.38,9.262
10,0.0007,0.0124,1.181,3.799,0.339,60.38,9.485
11,0.0007,0.0124,1.347,3.901,0.344,60.37,9.697
12,0.0007,0.0124,1.539,3.9,0.303,60.37,9.887
13,0.0007,0.0124,1.685,3.796,0.334,60.36,10.056
14,0.0007,0.0124,1.828,3.8,0.358,60.35,10.194
15,0.0007,0.0124,1.98,3.837,0.36,60.34,10.302
16,0.0007,0.0124,2.124,3.858,0.361,60.33,10.396
17,0.0007,0.0124,2.278,3.857,0.359,60.32,10.482
18,0.0007,0.0124,2.405,3.795,0.384,60.31,10.568
19,0.0007,0.0124,2.526,3.714,0.43,60.3,10.654
20,0.0007,0.0124,2.64,3.679,0.455,60.29,10.74
21,0.0006,0.0124,2.754,3.637,0.481,60.28,10.825
22,0.0006,0.0124,2.867,3.471,0.585,60.27,10.91
23,0.0005,0.0124,2.96,3.333,0.676,60.26,10.997
24,-0.0025,0.015,0.602,0.502,0.0,60.29,11.082
25,-0.0065,0.0234,0.635,0.43,0.263,60.35,10.975
26,-0.0069,0.0344,0.759,0.51,0.305,60.37,10.866
27,-0.006,0.0463,0.889,0.587,0.324,60.37,10.873
28,-0.0049,0.0586,0.964,0.631,0.346,60.38,10.956
29,-0.0049,0.0709,1.105,0.692,0.429,60.39,11.077
30,-0.004,0.0833,1.096,0.717,0.386,60.4,11.21
31,-0.003,0.0958,1.037,0.684,0.364,60.41,11.355
32,-0.0016,0.1049,1.756,1.215,0.623,60.45,11.487
33,-0.0001,0.1084,1.508,1.139,0.363,60.49,11.836
34,0.0012,0.1096,1.221,0.95,0.291,60.51,12.093
35,0.0024,0.1101,1.074,0.842,0.263,60.52,12.237
36,0.0035,0.1102,1.009,0.788,0.245,60.53,12.32
37,0.0045,0.1102,0.982,0.764,0.24,60.54,12.369
38,0.0055,0.1102,0.971,0.753,0.239,60.55,12.404
39,0.0065,0.1101,0.964,0.746,0.24,60.55,12.431
40,0.0071,0.1101,1.047,0.806,0.267,60.57,12.451
41,0.0081,0.11,0.985,0.759,0.246,60.58,12.464
42,0.0091,0.11,0.963,0.738,0.247,60.58,12.47
43,0.01,0.1099,0.952,0.73,0.246,60.59,12.473
44,0.0109,0.1099,0.949,0.724,0.249,60.59,12.477
45,0.0118,0.1099,0.946,0.727,0.243,60.6,12.483
46,0.0127,0.1098,0.939,0.727,0.24,60.6,12.492
47,0.0136,0.1098,0.937,0.727,0.238,60.61,12.502
48,0.0145,0.1097,0.937,0.722,0.242,60.61,12.512
49,0.0153,0.1097,0.935,0.716,0.246,60.62,12.521
50,0.0162,0.1097,0.933,0.712,0.248,60.62,12.53
51,0.017,0.1096,0.932,0.71,0.249,60.63,12.533
52,0.0178,0.1096,0.93,0.705,0.252,60.63,12.532
53,0.0186,0.1096,0.927,0.702,0.253,60.64,12.527
54,0.0193,0.1095,0.923,0.702,0.251,60.64,12.518
55,0.0201,0.1095,0.923,0.698,0.252,60.65,12.51
56,0.0208,0.1095,0.921,0.694,0.255,60.65,12.504
57,0.0216,0.1094,0.92,0.689,0.258,60.66,12.502
58,0.0358,0.1093,3.868,2.284,2.051,60.82,12.504
59,0.0486,0.1092,4.168,2.227,2.431,60.85,12.572
60,0.0597,0.1092,4.29,2.216,2.078,60.81,13.497
61,0.0709,0.1092,4.309,2.481,1.879,60.74,13.925
62,0.0822,0.1092,4.284,2.715,1.821,60.64,13.984
63,0.0936,0.1092,0.99,0.0,0.716,60.53,13.899
64,0.1056,0.1093,4.408,3.234,2.15,60.38,13.694
65,0.1171,0.1093,4.125,3.266,2.367,60.24,13.439
66,0.1287,0.1094,4.036,3.156,2.736,60.02,12.923
67,0.1403,0.1095,4.019,3.044,2.863,59.75,12.179
68,0.1519,0.1096,4.536,2.858,3.518,59.47,11.417
69,0.1636,0.1098,5.701,2.967,4.473,59.26,10.619
70,0.1751,0.1099,6.849,3.108,5.157,59.08,9.822
71,0.1866,0.1101,7.724,3.218,5.675,58.9,9.164
72,0.1982,0.1104,7.695,3.141,5.585,58.71,8.768
73,0.2099,0.1106,7.556,3.094,5.381,58.53,8.605
74,0.2216,0.1108,7.418,3.046,5.18,58.35,8.501
75,0.2333,0.1111,7.277,2.998,4.98,58.17,8.428
76,0.245,0.1114,7.137,2.961,4.784,57.99,8.385
77,0.2565,0.1117,6.951,2.897,4.572,57.82,8.358
78,0.268,0.112,6.801,2.85,4.381,57.65,8.336
79,0.2792,0.1123,6.665,2.814,4.2,57.49,8.311
80,0.2903,0.1127,6.533,2.785,4.026,57.33,8.28
81,0.3011,0.113,6.415,2.764,3.867,57.18,8.243
82,0.3117,0.1134,6.297,2.741,3.715,57.04,8.241
83,0.322,0.1138,6.182,2.719,3.574,56.9,8.242
84,0.332,0.1142,6.077,2.699,3.445,56.78,8.241
85,0.3417,0.1146,5.98,2.682,3.328,56.65,8.237
86,0.351,0.115,5.888,2.667,3.221,56.48,8.233
87,0.36,0.1154,5.779,2.66,3.093,56.27,8.226
88,0.3686,0.1158,6.516,2.47,4.124,56.01,8.218
89,0.3777,0.1162,6.614,2.567,4.05,55.71,8.203
90,0.3865,0.1166,6.389,2.565,3.795,55.36,8.176
91,0.3949,0.117,6.232,2.588,3.593,54.97,8.15
92,0.4028,0.1174,6.088,2.621,3.4,54.55,8.125
93,0.4104,0.1177,5.959,2.659,3.224,54.09,8.099
94,0.4175,0.1181,5.842,2.703,3.064,53.61,8.072
95,0.4241,0.1185,5.751,2.765,2.921,53.11,8.085
96,0.4302,0.1189,5.685,2.847,2.799,52.6,8.264
97,0.4359,0.1193,5.913,3.163,2.748,52.08,8.524
98,0.4411,0.1196,6.402,3.723,2.69,51.6,8.912
99,0.4461,0.1199,6.835,4.415,2.41,51.21,9.386
100,0.4504,0.1201,7.178,5.083,2.094,50.94,9.779
101,0.4534,0.1203,7.51,5.99,1.683,50.84,10.019
102,0.4563,0.1204,7.48,5.993,1.655,50.78,10.095
103,0.4588,0.1205,7.434,6.272,1.543,50.74,9.995
104,0.461,0.1206,7.001,6.379,2.246,50.72,9.577
105,0.4631,0.1206,7.272,5.512,2.951,50.68,9.372
106,0.4657,0.1206,6.948,4.622,3.333,50.26,9.349
107,0.467,0.1206,3.166,0.0,2.768,49.74,9.31
108,0.4694,0.1206,6.955,4.744,3.674,49.21,9.216
109,0.4727,0.1206,6.995,4.53,3.91,48.69,9.254
110,0.4744,0.1206,6.882,4.674,3.818,48.14,9.247
111,0.4782,0.1205,7.037,4.436,4.305,47.6,9.215
112,0.4802,0.1205,6.991,4.525,4.221,47.01,9.206
113,0.4832,0.1205,6.571,4.507,4.237,46.44,9.168
114,0.4869,0.1205,7.057,4.428,4.52,45.87,9.129
115,0.49,0.1205,6.544,4.411,4.436,45.3,9.124
116,0.4939,0.1205,7.104,4.427,4.672,44.74,9.068
117,0.4984,0.1205,5.149,0.0,4.702,44.2,9.055
118,0.5012,0.1206,7.1,4.494,4.707,43.63,9.024
119,0.5061,0.1206,7.205,4.329,5.037,43.09,9.249
120,0.5092,0.1207,7.004,4.546,4.723,42.54,9.449
121,0.5143,0.1207,7.271,4.408,5.075,42.01,9.602
122,0.5181,0.1207,6.75,4.402,4.915,41.47,9.796
