step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0029,0.0124,10.932,10.078,2.532,60.35,3.326
1,0.0001,0.0124,3.523,4.124,0.0,60.35,4.075
2,0.0006,0.0124,3.065,3.922,0.375,60.35,5.734
3,0.0007,0.0124,2.668,4.273,0.249,60.35,6.735
4,0.0008,0.0124,2.605,4.43,0.261,60.35,7.701
5,0.0008,0.0124,2.776,4.622,0.287,60.36,8.361
6,0.0009,0.0124,3.064,4.843,0.0,60.36,8.828
7,0.0009,0.0124,3.339,5.132,0.0,60.37,9.215
8,0.001,0.0124,3.672,5.557,0.476,60.38,9.56
9,0.001,0.0124,3.922,5.871,0.55,60.39,9.886
10,0.001,0.0124,4.164,6.174,0.592,60.4,10.18
11,0.0011,0.0124,4.398,6.468,0.627,60.41,10.43
12,0.0011,0.0124,4.628,6.762,0.655,60.42,10.618
13,0.0011,0.0124,4.706,6.816,0.0,60.43,10.763
14,0.0011,0.0124,5.028,7.326,0.635,60.44,10.895
15,0.0012,0.0124,5.239,7.659,0.711,60.45,11.028
16,0.0012,0.0124,5.425,7.94,0.719,60.46,11.154
17,0.0012,0.0124,5.604,8.208,0.731,60.47,11.276
18,0.0012,0.0124,5.77,8.477,0.739,60.48,11.4
19,0.0012,0.0124,5.926,8.727,0.725,60.49,11.526
20,0.0012,0.0124,6.041,8.901,0.693,60.5,11.654
21,0.0012,0.0124,6.131,9.034,0.657,60.5,11.781
22,0.0012,0.0124,6.258,9.076,0.627,60.49,11.909
23,0.0012,0.0124,6.281,9.173,0.623,60.48,12.039
24,-0.001,0.0143,2.112,1.669,0.596,60.52,12.162
25,0.0003,0.0222,1.761,1.335,0.508,60.53,12.123
26,0.0021,0.033,1.864,1.35,0.514,60.52,12.079
27,0.0039,0.0449,1.989,1.417,0.556,60.52,12.155
28,0.0057,0.0571,2.051,1.441,0.594,60.53,12.286
29,0.0075,0.0694,2.072,1.44,0.617,60.54,12.435
30,0.0091,0.0818,2.074,1.429,0.633,60.54,12.587
31,0.0108,0.0942,2.069,1.411,0.646,60.55,12.73
32,0.0128,0.1033,2.708,1.967,0.828,60.59,12.861
33,0.0148,0.1068,2.377,1.817,0.55,60.63,13.196
34,0.0166,0.1081,2.149,1.635,0.506,60.66,13.381
35,0.0182,0.1085,2.055,1.548,0.508,60.67,13.411
36,0.0197,0.1086,2.021,1.496,0.522,60.68,13.369
37,0.021,0.1086,2.008,1.47,0.532,60.69,13.315
38,0.0224,0.1086,1.997,1.46,0.531,60.69,13.256
39,0.0236,0.1085,1.993,1.441,0.547,60.7,13.19
40,0.0248,0.1085,1.99,1.422,0.562,60.7,13.129
41,0.026,0.1084,1.986,1.406,0.575,60.71,13.086
42,0.0271,0.1084,1.983,1.391,0.587,60.72,13.063
43,0.0281,0.1083,1.98,1.377,0.598,60.72,13.055
44,0.0291,0.1083,1.976,1.364,0.607,60.73,13.062
45,0.0301,0.1082,1.973,1.345,0.623,60.73,13.08
46,0.031,0.1082,1.968,1.342,0.621,60.74,13.104
47,0.0319,0.1081,1.964,1.332,0.628,60.74,13.131
48,0.0327,0.1081,1.959,1.324,0.631,60.75,13.16
49,0.0335,0.1081,1.955,1.318,0.632,60.75,13.191
