step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0031,0.0124,10.991,10.136,2.507,60.35,3.326
1,0.0008,0.0124,3.509,4.011,0.0,60.36,4.08
2,0.0009,0.0124,2.978,4.038,0.0,60.37,5.739
3,0.0008,0.0124,2.318,4.163,0.0,60.38,6.744
4,0.0008,0.0124,2.135,4.194,0.227,60.39,7.681
5,0.0009,0.0124,2.451,4.448,0.318,60.4,8.322
6,0.001,0.0124,2.776,4.781,0.401,60.4,8.787
7,0.001,0.0124,3.056,5.062,0.455,60.41,9.171
8,0.0011,0.0124,3.308,5.337,0.504,60.42,9.513
9,0.0011,0.0124,3.553,5.619,0.545,60.43,9.841
10,0.0011,0.0124,3.794,5.907,0.58,60.44,10.139
11,0.0012,0.0124,4.036,6.198,0.623,60.45,10.392
12,0.0012,0.0124,4.263,6.488,0.644,60.46,10.583
13,0.0012,0.0124,4.476,6.781,0.665,60.47,10.733
14,0.0012,0.0124,4.695,7.047,0.691,60.47,10.863
15,0.0012,0.0124,4.904,7.321,0.714,60.48,10.988
16,0.0012,0.0124,5.092,7.596,0.721,60.49,11.112
17,0.0012,0.0124,5.261,7.87,0.723,60.5,11.239
18,0.0012,0.0124,5.429,8.11,0.717,60.5,11.369
19,0.0013,0.0123,5.615,8.344,0.746,60.51,11.502
20,0.0012,0.0123,5.767,8.556,0.739,60.51,11.633
21,0.0012,0.0123,5.872,8.732,0.706,60.52,11.758
22,0.0012,0.0123,6.0,8.781,0.662,60.51,11.884
23,0.0011,0.0123,6.105,8.43,0.527,60.49,12.012
24,0.0011,0.0144,2.154,1.657,0.63,60.52,12.143
25,0.0028,0.0224,1.779,1.305,0.551,60.51,12.129
26,0.0045,0.0332,1.892,1.306,0.588,60.51,12.081
27,0.0062,0.0451,2.015,1.361,0.643,60.51,12.157
28,0.008,0.0573,2.065,1.419,0.635,60.52,12.284
29,0.0097,0.0696,2.087,1.43,0.648,60.52,12.432
30,0.0113,0.082,2.092,1.419,0.665,60.53,12.582
31,0.0129,0.0944,2.085,1.4,0.678,60.54,12.724
32,0.0149,0.1035,2.726,1.942,0.863,60.58,12.854
33,0.0169,0.107,2.41,1.822,0.58,60.62,13.188
34,0.0187,0.1082,2.163,1.649,0.507,60.64,13.366
35,0.0203,0.1087,2.073,1.553,0.522,60.65,13.385
36,0.0218,0.1088,2.036,1.501,0.535,60.66,13.34
37,0.0232,0.1088,2.017,1.48,0.536,60.67,13.284
38,0.0246,0.1087,2.011,1.455,0.553,60.68,13.218
39,0.0258,0.1087,2.006,1.438,0.566,60.68,13.147
40,0.0271,0.1086,2.004,1.419,0.582,60.69,13.084
41,0.0282,0.1086,2.0,1.402,0.596,60.69,13.045
42,0.0293,0.1085,1.996,1.387,0.607,60.7,13.024
43,0.0303,0.1085,1.992,1.373,0.617,60.7,13.02
44,0.0313,0.1085,1.988,1.36,0.626,60.71,13.032
45,0.0323,0.1084,1.982,1.354,0.626,60.71,13.053
46,0.0332,0.1084,1.978,1.345,0.631,60.72,13.078
47,0.0341,0.1083,1.973,1.336,0.635,60.72,13.106
48,0.035,0.1083,1.968,1.328,0.639,60.73,13.137
49,0.0358,0.1082,1.964,1.321,0.641,60.73,13.168
50,0.0366,0.1082,1.959,1.315,0.642,60.74,13.2
51,0.0374,0.1082,1.946,1.332,0.614,60.74,13.232
52,0.0382,0.1081,1.943,1.326,0.616,60.75,13.264
53,0.0389,0.1081,1.945,1.308,0.635,60.75,13.296
54,0.0396,0.1081,1.943,1.295,0.646,60.76,13.33
55,0.0403,0.108,1.931,1.307,0.623,60.76,13.363
56,0.041,0.108,1.929,1.301,0.627,60.76,13.394
57,0.0416,0.108,1.93,1.289,0.639,60.77,13.426
58,0.0558,0.1078,2.885,1.773,1.763,60.83,13.458
59,0.0695,0.1078,2.844,1.835,1.859,60.83,13.074
60,0.0835,0.1078,2.688,1.538,1.648,60.81,14.087
61,0.0979,0.1078,3.135,2.511,0.96,60.71,14.759
62,0.1135,0.1078,0.466,0.0,0.14,60.24,14.841
63,0.1306,0.1078,3.947,3.078,0.988,59.39,14.734
64,0.1477,0.1078,0.45,0.0,0.14,58.54,14.384
65,0.1644,0.1079,3.231,2.484,1.521,57.77,13.6
66,0.1791,0.108,1.147,0.886,0.0,57.16,12.656
67,0.1934,0.1082,5.105,2.104,4.031,56.67,11.806
68,0.2085,0.1085,6.912,2.759,5.381,56.39,10.896
69,0.2234,0.1088,7.002,2.817,5.216,56.2,10.017
70,0.2384,0.1091,6.771,2.743,4.878,56.01,9.528
71,0.2532,0.1094,6.581,2.706,4.565,55.82,9.284
72,0.268,0.1098,6.394,2.67,4.26,55.64,9.143
73,0.2826,0.1102,6.209,2.64,3.969,55.47,9.049
74,0.2969,0.1106,6.033,2.615,3.697,55.3,8.982
75,0.3109,0.111,5.868,2.598,3.451,55.15,8.928
76,0.3245,0.1114,5.717,2.584,3.228,55.01,8.88
77,0.3377,0.1119,5.574,2.573,3.03,54.88,8.832
78,0.3504,0.1124,5.442,2.563,2.856,54.76,8.776
79,0.3626,0.1129,5.327,2.558,2.711,54.66,8.708
80,0.3743,0.1134,5.227,2.558,2.593,54.52,8.617
81,0.3854,0.1139,5.135,2.555,2.495,54.3,8.5
82,0.3961,0.1145,5.954,2.479,3.432,54.0,8.369
83,0.4076,0.115,6.109,2.594,3.424,53.63,8.24
84,0.4186,0.1155,5.928,2.578,3.26,53.18,8.053
85,0.429,0.1161,5.817,2.587,3.154,52.66,7.874
86,0.4387,0.1167,5.66,2.627,2.993,52.07,7.816
87,0.4474,0.1172,5.457,2.772,2.75,51.44,7.822
88,0.4551,0.1177,5.632,3.254,2.415,50.84,8.081
89,0.4633,0.1182,7.055,4.838,2.198,50.33,8.451
