step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0001,0.0124,8.489,7.628,0.0,59.9,3.326
1,0.0002,0.0124,3.777,3.694,0.0,59.89,4.444
2,0.0002,0.0124,3.307,3.747,0.0,59.89,5.941
3,0.0002,0.0124,2.964,3.813,0.0,59.89,6.802
4,0.0002,0.0124,2.949,3.726,0.127,59.89,7.517
5,0.0002,0.0124,3.236,3.743,0.24,59.88,8.136
6,0.0002,0.0124,3.584,4.111,0.352,59.88,8.58
7,0.0003,0.0124,3.87,4.442,0.459,59.88,8.945
8,0.0003,0.0124,4.129,4.748,0.523,59.88,9.261
9,0.0003,0.0124,4.393,5.053,0.569,59.89,9.555
10,0.0003,0.0124,4.629,5.362,0.604,59.91,9.848
11,0.0003,0.0124,4.87,5.644,0.646,59.92,10.12
12,0.0003,0.0124,5.118,5.916,0.692,59.93,10.363
13,0.0003,0.0124,5.35,6.204,0.72,59.94,10.565
14,0.0003,0.0124,5.569,6.478,0.728,59.95,10.729
15,0.0003,0.0124,5.753,6.646,0.702,59.96,10.873
16,0.0003,0.0124,6.003,6.86,0.72,59.97,11.01
17,0.0003,0.0124,6.174,6.979,0.687,59.97,11.147
18,0.0003,0.0124,6.348,7.065,0.663,59.97,11.277
19,0.0002,0.0124,6.513,7.102,0.639,59.96,11.411
20,0.0002,0.0124,6.669,7.016,0.621,59.94,11.549
21,0.0001,0.0124,6.812,6.821,0.657,59.93,11.687
22,-0.0,0.0124,6.947,6.663,0.734,59.91,11.825
23,-0.0001,0.0124,7.068,6.518,0.834,59.89,11.958
24,0.0013,0.0145,2.231,1.484,0.988,59.88,12.089
25,0.0027,0.0225,1.922,1.22,0.774,59.86,12.093
26,0.0042,0.0334,1.976,1.224,0.768,59.85,12.048
27,0.0057,0.0452,2.061,1.27,0.795,59.85,12.118
28,0.0071,0.0574,2.103,1.301,0.808,59.86,12.246
29,0.0093,0.0697,2.211,1.437,0.809,59.88,12.397
30,0.0109,0.0821,2.201,1.363,0.839,59.89,12.547
31,0.0122,0.0945,2.126,1.319,0.813,59.9,12.708
32,0.0133,0.1036,2.895,1.781,1.147,59.95,12.843
33,0.0151,0.1071,2.468,1.648,0.813,59.99,13.186
34,0.0166,0.1083,2.212,1.517,0.698,60.02,13.388
35,0.018,0.1087,2.112,1.45,0.671,60.03,13.446
36,0.0193,0.1088,2.071,1.415,0.665,60.04,13.417
37,0.0205,0.1088,2.054,1.386,0.675,60.05,13.366
38,0.0217,0.1088,2.034,1.386,0.655,60.05,13.317
39,0.0228,0.1088,2.036,1.361,0.681,60.06,13.26
40,0.0239,0.1087,2.028,1.351,0.688,60.07,13.205
41,0.025,0.1086,2.017,1.356,0.669,60.08,13.156
42,0.026,0.1086,2.008,1.355,0.661,60.08,13.128
43,0.027,0.1085,2.001,1.351,0.658,60.09,13.114
44,0.0279,0.1085,1.996,1.334,0.67,60.09,13.115
45,0.0289,0.1084,1.995,1.315,0.689,60.1,13.127
46,0.0297,0.1084,1.991,1.298,0.7,60.11,13.148
47,0.0305,0.1083,1.986,1.284,0.71,60.11,13.174
48,0.0313,0.1083,1.979,1.287,0.7,60.12,13.203
49,0.0321,0.1083,1.97,1.299,0.68,60.12,13.233
50,0.0329,0.1082,1.965,1.283,0.692,60.13,13.264
51,0.0336,0.1082,1.961,1.281,0.689,60.13,13.297
52,0.0343,0.1081,1.955,1.285,0.68,60.14,13.331
53,0.035,0.1081,1.949,1.283,0.676,60.14,13.364
54,0.0357,0.1081,1.944,1.282,0.672,60.15,13.396
55,0.0363,0.108,1.939,1.28,0.669,60.15,13.429
56,0.037,0.108,1.934,1.279,0.665,60.16,13.461
57,0.0376,0.108,1.931,1.274,0.667,60.16,13.493
58,0.0524,0.1078,2.84,1.768,1.728,60.23,13.525
59,0.0661,0.1078,2.859,1.864,1.872,60.23,13.155
60,0.08,0.1077,2.741,1.488,1.564,60.21,14.16
61,0.0943,0.1078,3.168,2.43,1.007,60.05,14.776
62,0.1104,0.1078,3.831,2.964,1.052,59.45,14.844
63,0.1273,0.1078,3.82,3.146,0.923,58.59,14.696
64,0.1444,0.1078,3.688,2.876,0.909,57.75,14.264
65,0.1605,0.1079,2.857,2.399,1.593,57.0,13.448
66,0.1748,0.108,1.709,0.0,1.493,56.38,12.443
67,0.1895,0.1083,5.807,2.304,4.609,55.91,11.607
68,0.2045,0.1086,7.063,2.827,5.471,55.67,10.705
69,0.2193,0.1088,7.014,2.82,5.235,55.48,9.902
70,0.2341,0.1091,6.798,2.755,4.904,55.29,9.463
71,0.2488,0.1095,6.613,2.72,4.593,55.11,9.242
72,0.2635,0.1098,6.424,2.684,4.286,54.94,9.107
73,0.278,0.1102,6.235,2.652,3.994,54.77,9.014
74,0.2922,0.1106,6.06,2.627,3.721,54.62,8.945
75,0.3061,0.111,5.896,2.612,3.474,54.47,8.889
76,0.3197,0.1115,5.742,2.597,3.249,54.34,8.836
77,0.3328,0.1119,5.597,2.585,3.047,54.22,8.782
78,0.3454,0.1124,5.464,2.575,2.87,54.11,8.72
79,0.3575,0.1129,5.348,2.57,2.723,54.02,8.645
80,0.3697,0.1135,5.157,2.395,2.977,53.89,8.546
81,0.3799,0.114,5.358,2.652,2.617,53.68,8.411
82,0.3905,0.1145,6.068,2.521,3.483,53.39,8.287
83,0.4019,0.115,6.122,2.601,3.427,53.03,8.141
84,0.4128,0.1156,5.949,2.59,3.266,52.58,7.948
85,0.4231,0.1161,5.84,2.601,3.161,52.05,7.895
86,0.4327,0.1167,5.663,2.648,2.973,51.46,7.837
