step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,-0.0002,0.0124,9.326,10.023,0.0,55.19,2.0
1,0.0004,0.0124,3.197,5.599,0.0,55.18,2.0
2,0.0005,0.0124,2.874,5.487,0.0,55.19,2.0
3,0.0005,0.0124,2.697,5.503,0.0,55.2,2.0
4,0.0005,0.0124,2.671,5.58,0.0,55.22,2.0
5,0.0005,0.0124,2.804,5.794,0.0,55.23,2.0
6,0.0006,0.0124,2.887,6.017,0.0,55.24,2.0
7,0.0006,0.0124,2.948,6.229,0.0,55.25,2.0
8,0.0006,0.0124,2.998,6.447,0.0,55.25,2.0
9,0.0006,0.0124,3.042,6.672,0.0,55.26,2.0
10,0.0007,0.0124,3.083,6.904,0.0,55.27,2.0
11,0.0007,0.0124,3.122,7.143,0.0,55.28,2.0
12,0.0008,0.0124,3.32,7.512,0.452,55.29,2.0
13,0.0008,0.0124,3.405,7.815,0.461,55.29,2.0
14,0.0009,0.0124,3.46,8.065,0.506,55.29,2.0
15,0.0009,0.0124,3.481,8.316,0.516,55.3,2.0
16,0.0009,0.0124,3.392,8.619,0.49,55.3,2.0
17,0.001,0.0124,3.39,8.856,0.48,55.31,2.0
18,0.001,0.0124,3.413,9.076,0.512,55.31,2.0
19,0.001,0.0124,3.409,9.289,0.501,55.31,2.0
20,0.001,0.0124,3.427,9.485,0.531,55.32,2.0
21,0.0011,0.0124,3.432,9.667,0.546,55.32,2.0
22,0.0011,0.0124,3.426,9.839,0.547,55.32,2.0
23,0.0011,0.0124,3.414,9.994,0.549,55.33,2.0
24,-0.0029,0.0146,1.948,1.45,0.523,55.34,2.0
25,-0.0016,0.0228,1.654,1.169,0.534,55.34,2.0
26,-0.0003,0.0337,1.69,1.147,0.568,55.33,2.0
27,0.001,0.0456,1.745,1.165,0.607,55.32,2.0
28,0.0021,0.0579,1.772,1.178,0.626,55.31,2.0
29,0.0033,0.0703,1.781,1.183,0.633,55.31,2.0
30,0.0044,0.0827,1.781,1.184,0.632,55.3,2.0
31,0.0055,0.0952,1.776,1.182,0.63,55.3,2.0
32,0.0065,0.1043,2.392,1.457,0.937,55.3,2.0
33,0.0076,0.1079,2.009,1.372,0.648,55.3,2.0
34,0.0088,0.1092,1.828,1.303,0.568,55.29,2.0
35,0.01,0.1096,1.755,1.269,0.538,55.29,2.0
36,0.0111,0.1098,1.731,1.253,0.529,55.28,2.0
37,0.0121,0.1098,1.723,1.247,0.525,55.28,2.0
38,0.0132,0.1098,1.719,1.246,0.522,55.27,2.0
39,0.0142,0.1098,1.714,1.242,0.52,55.27,2.0
40,0.0152,0.1098,1.709,1.239,0.518,55.26,2.0
41,0.0162,0.1098,1.705,1.235,0.516,55.26,2.0
42,0.0172,0.1097,1.7,1.232,0.515,55.25,2.0
43,0.0181,0.1097,1.696,1.229,0.513,55.25,2.0
44,0.019,0.1097,1.692,1.226,0.512,55.25,2.0
45,0.0199,0.1097,1.688,1.223,0.51,55.24,2.0
46,0.0207,0.1097,1.684,1.221,0.509,55.24,2.0
47,0.0216,0.1097,1.68,1.218,0.508,55.23,2.0
48,0.0224,0.1096,1.677,1.215,0.507,55.23,2.0
49,0.0232,0.1096,1.673,1.213,0.506,55.23,2.0
50,0.024,0.1096,1.67,1.21,0.504,55.22,2.0
51,0.0247,0.1096,1.667,1.208,0.503,55.22,2.0
52,0.0255,0.1096,1.664,1.206,0.502,55.22,2.0
53,0.0262,0.1096,1.661,1.204,0.501,55.21,2.0
54,0.0269,0.1096,1.658,1.201,0.5,55.21,2.0
55,0.0276,0.1095,1.655,1.199,0.499,55.21,2.0
56,0.0283,0.1095,1.649,1.198,0.495,55.2,2.0
57,0.0289,0.1095,1.648,1.197,0.495,55.2,2.0
58,0.0426,0.1096,4.834,2.209,2.894,55.02,2.0
59,0.0587,0.1097,3.997,3.135,1.994,54.6,2.0
60,0.0769,0.1098,4.551,3.038,1.979,54.09,2.0
61,0.0973,0.1099,4.871,3.382,1.505,53.58,2.0
62,0.1206,0.1099,5.272,4.404,1.422,53.07,2.0
63,0.1434,0.11,5.585,4.157,2.535,52.58,2.0
64,0.1653,0.1101,6.411,3.615,3.966,52.14,2.0
65,0.1869,0.1102,7.256,3.271,4.874,51.72,2.0
66,0.2085,0.1104,7.926,3.106,5.441,51.3,2.0
67,0.2277,0.1106,10.063,4.101,6.819,50.92,2.0
68,0.2443,0.1107,10.127,4.54,6.987,50.59,2.0
69,0.2611,0.1108,8.543,3.869,6.07,50.24,2.0
70,0.278,0.111,7.578,3.96,4.949,49.85,2.0
71,0.2952,0.1112,7.799,3.702,5.22,49.44,2.0
72,0.3125,0.1115,7.562,3.624,4.913,49.02,2.0
73,0.3297,0.1117,7.256,3.572,4.522,48.57,2.0
74,0.3469,0.112,7.056,3.492,4.264,48.11,2.0
75,0.3639,0.1123,6.831,3.432,3.978,47.63,2.0
76,0.3808,0.1126,6.994,3.527,3.914,47.13,2.0
77,0.3974,0.113,6.472,3.339,3.5,46.62,2.0
78,0.4136,0.1134,6.307,3.292,3.297,46.11,2.0
79,0.4291,0.1138,6.223,3.209,3.143,45.6,2.0
80,0.4434,0.1142,6.05,3.167,2.894,45.09,2.0
81,0.4568,0.1145,6.677,3.552,3.125,44.58,2.0
82,0.4696,0.1149,6.679,3.591,3.114,44.07,2.0
83,0.4802,0.1153,7.512,4.18,3.404,43.6,2.0
84,0.4883,0.1156,10.049,5.787,4.4,43.18,2.0
85,0.4972,0.1159,9.856,5.146,5.018,42.77,2.0
86,0.5114,0.1161,6.932,3.517,3.978,42.25,2.0
87,0.5278,0.1164,6.762,3.338,3.523,41.66,2.0
88,0.5416,0.1168,9.248,4.644,4.64,41.12,2.0
89,0.5535,0.1171,9.524,4.538,5.039,40.63,2.0
90,0.5599,0.1174,10.992,5.696,5.553,40.28,2.0
91,0.5657,0.1172,7.968,4.201,4.327,40.11,2.0
92,0.5724,0.117,5.987,3.334,3.638,39.98,2.0
93,0.5772,0.1169,6.167,3.132,3.973,39.84,2.0
94,0.5823,0.1169,6.979,3.716,3.772,39.68,2.0
95,0.5886,0.117,6.154,3.182,3.263,39.45,2.0
96,0.5953,0.1171,7.176,3.466,3.713,39.21,2.0
97,0.5996,0.1173,11.211,5.737,5.48,39.04,2.0
98,0.6012,0.1174,11.241,6.092,5.505,38.93,2.0
99,0.6028,0.1173,7.555,4.061,4.003,38.86,2.0
100,0.6046,0.1171,6.53,3.745,2.987,38.8,2.0
101,0.61,0.1171,4.353,2.308,2.482,38.64,2.0
102,0.6137,0.1172,8.447,4.402,4.045,38.54,2.0
103,0.6145,0.1172,10.483,5.71,4.787,38.54,2.0
104,0.6142,0.1172,10.19,5.83,4.474,38.55,2.0
105,0.6147,0.117,7.378,4.195,3.436,38.53,2.0
106,0.6173,0.1168,5.153,2.813,2.659,38.48,2.0
107,0.6198,0.1169,6.69,3.585,3.418,38.4,2.0
108,0.6213,0.1169,8.8,4.721,4.336,38.36,2.0
109,0.6213,0.1168,10.173,5.553,4.81,38.36,2.0
110,0.6203,0.1168,11.196,6.501,4.808,38.39,2.0
111,0.6197,0.1167,9.005,5.248,4.022,38.39,2.0
112,0.6215,0.1165,5.374,2.936,2.868,38.37,2.0
113,0.6225,0.1165,7.35,4.104,3.645,38.33,2.0
114,0.6233,0.1165,8.789,4.852,4.397,38.29,2.0
115,0.6237,0.1164,9.023,4.961,4.682,38.25,2.0
116,0.624,0.1164,9.061,4.982,4.71,38.21,2.0
117,0.6243,0.1163,9.072,5.001,4.681,38.16,2.0
118,0.6247,0.1163,9.071,5.028,4.648,38.11,2.0
119,0.6247,0.1162,8.994,5.029,4.499,38.05,2.0
120,0.6245,0.1162,8.909,5.017,4.376,38.01,2.0
121,0.6241,0.1161,8.876,5.023,4.316,37.97,2.0
122,0.6236,0.1161,8.876,5.043,4.284,37.92,2.0
123,0.6232,0.1161,8.891,5.067,4.266,37.88,2.0
124,0.6224,0.116,9.002,5.442,4.028,37.84,2.0
125,0.6214,0.116,2.598,2.243,0.0,37.81,2.0
126,0.622,0.1158,9.874,5.909,4.627,37.82,2.0
127,0.6214,0.1158,9.312,5.558,4.492,37.78,2.0
128,0.6208,0.1158,9.315,5.571,4.416,37.73,2.0
129,0.6203,0.1157,9.315,5.577,4.378,37.68,2.0
130,0.6198,0.1157,9.348,5.598,4.386,37.63,2.0
131,0.6193,0.1157,9.411,5.633,4.422,37.57,2.0
132,0.619,0.1157,9.491,5.677,4.472,37.52,2.0
133,0.6187,0.1158,9.59,5.731,4.537,37.46,2.0
134,0.6184,0.1158,9.697,5.791,4.611,37.39,2.0
135,0.6183,0.1158,9.799,5.847,4.685,37.33,2.0
136,0.6181,0.1158,9.885,5.896,4.736,37.26,2.0
137,0.618,0.1158,9.965,5.94,4.786,37.19,2.0
138,0.6179,0.1159,10.006,5.945,4.759,37.1,2.0
139,0.6177,0.1159,10.012,5.915,4.63,37.0,2.0
140,0.6173,0.1159,10.013,5.881,4.533,36.89,2.0
141,0.6168,0.1159,10.002,5.826,4.425,36.77,2.0
142,0.6161,0.116,9.994,5.76,4.354,36.63,2.0
143,0.6153,0.116,9.993,5.695,4.329,36.49,2.0
144,0.6144,0.116,10.012,5.642,4.357,36.34,2.0
145,0.6134,0.116,10.043,5.6,4.42,36.18,2.0
146,0.6124,0.1161,10.517,5.951,4.588,36.01,2.0
147,0.6113,0.1161,11.117,6.481,4.686,35.86,2.0
148,0.6107,0.1161,11.37,6.775,4.599,35.73,2.0
149,0.6105,0.1162,11.509,6.953,4.566,35.62,2.0
150,0.6106,0.1162,11.617,7.058,4.619,35.54,2.0
151,0.6109,0.1162,11.688,7.109,4.679,35.46,2.0
152,0.6113,0.1163,11.729,7.125,4.708,35.39,2.0
153,0.6116,0.1164,11.744,7.115,4.706,35.32,2.0
154,0.6118,0.1164,11.741,7.079,4.7,35.24,2.0
155,0.6119,0.1165,11.717,7.024,4.7,35.15,2.0
156,0.6119,0.1165,11.698,6.953,4.746,35.06,2.0
157,0.6117,0.1166,11.689,6.896,4.822,34.95,2.0
158,0.6114,0.1166,11.669,6.824,4.931,34.83,2.0
159,0.611,0.1166,11.673,6.769,5.056,34.71,2.0
160,0.6107,0.1167,11.692,6.727,5.174,34.58,2.0
161,0.6104,0.1167,11.72,6.697,5.271,34.45,2.0
162,0.6101,0.1168,11.751,6.678,5.347,34.33,2.0
163,0.6099,0.1168,11.779,6.662,5.406,34.21,2.0
164,0.6098,0.1169,11.809,6.651,5.459,34.1,2.0
165,0.6098,0.1169,11.84,6.641,5.51,33.99,2.0
166,0.6098,0.1169,11.868,6.624,5.565,33.88,2.0
167,0.6098,0.117,11.902,6.613,5.622,33.77,2.0
168,0.6099,0.117,11.932,6.595,5.682,33.67,2.0
169,0.61,0.1171,11.944,6.562,5.738,33.57,2.0
170,0.6102,0.1171,11.968,6.536,5.801,33.48,2.0
171,0.6104,0.1171,11.992,6.507,5.873,33.38,2.0
172,0.6106,0.1172,12.024,6.481,5.947,33.29,2.0
173,0.6108,0.1172,12.057,6.46,6.016,33.2,2.0
174,0.6111,0.1172,12.101,6.449,6.083,33.12,2.0
