step,cos,z,f_thumb,f_index,f_middle
0,0.0001,0.0122,0.977,0.93,0.93
1,0.0003,0.0121,0.969,0.786,0.784
2,0.0004,0.012,0.97,0.739,0.747
3,0.0004,0.012,1.028,0.768,0.77
4,0.0005,0.012,1.131,0.825,0.818
5,0.0006,0.012,1.256,0.894,0.87
6,0.0007,0.012,1.376,0.964,0.905
7,0.0008,0.012,1.469,1.023,0.923
8,0.001,0.012,1.533,1.067,0.928
9,0.0011,0.0121,1.574,1.097,0.927
10,0.0013,0.0121,1.601,1.115,0.922
11,0.0014,0.0121,1.616,1.127,0.915
12,0.0016,0.0121,1.628,1.135,0.908
13,0.0017,0.0121,1.635,1.141,0.899
14,0.0018,0.0121,1.64,1.146,0.891
15,0.0019,0.0121,1.644,1.149,0.883
16,0.002,0.0121,1.647,1.152,0.875
17,0.0021,0.0121,1.65,1.154,0.868
18,0.0022,0.0121,1.652,1.156,0.861
19,0.0023,0.0121,1.654,1.158,0.855
20,0.0024,0.0121,1.655,1.159,0.848
21,0.0025,0.0121,1.656,1.16,0.842
22,0.0025,0.0121,1.658,1.161,0.836
23,0.0026,0.0121,1.658,1.162,0.83
24,0.0024,0.0164,1.209,0.676,0.612
25,0.0006,0.026,0.778,0.552,0.354
26,-0.004,0.0373,0.891,0.58,0.374
27,-0.0038,0.0495,0.987,0.657,0.382
28,-0.0034,0.0619,1.088,0.744,0.395
29,-0.0031,0.0744,1.188,0.826,0.413
30,-0.0027,0.0869,1.271,0.891,0.43
31,-0.0024,0.0994,1.332,0.938,0.443
32,-0.0012,0.1075,2.268,1.655,0.611
33,-0.0006,0.1102,2.621,1.793,0.836
34,-0.0002,0.1111,2.427,1.602,0.837
35,0.0001,0.1114,2.129,1.37,0.774
36,0.0003,0.1116,1.914,1.214,0.715
37,0.0005,0.1116,1.782,1.123,0.674
38,0.0006,0.1116,1.7,1.069,0.646
39,0.0007,0.1116,1.649,1.036,0.628
40,0.0009,0.1116,1.615,1.015,0.616
41,0.001,0.1116,1.593,1.001,0.608
42,0.0011,0.1116,1.58,0.993,0.602
43,0.0012,0.1116,1.569,0.986,0.598
44,0.0013,0.1116,1.562,0.982,0.595
45,0.0014,0.1116,1.557,0.98,0.592
46,0.0015,0.1116,1.554,0.977,0.591
47,0.0016,0.1116,1.551,0.976,0.59
48,0.0017,0.1116,1.549,0.974,0.588
49,0.0017,0.1116,1.548,0.974,0.588
50,0.0018,0.1116,1.546,0.974,0.586
51,0.0019,0.1116,1.545,0.973,0.586
52,0.002,0.1116,1.545,0.973,0.585
53,0.002,0.1116,1.544,0.973,0.585
54,0.0021,0.1116,1.543,0.973,0.584
55,0.0022,0.1116,1.542,0.972,0.583
56,0.0025,0.1116,1.531,1.027,0.525
57,0.0025,0.1116,1.647,1.086,0.571
58,0.018,0.1119,4.002,1.214,2.773
59,0.0342,0.1125,2.101,0.959,1.168
60,0.0499,0.1131,2.45,1.092,1.384
61,0.0654,0.1136,2.662,1.219,1.477
62,0.0806,0.1142,2.726,1.299,1.479
63,0.0954,0.1147,2.732,1.352,1.46
64,0.1142,0.1153,2.24,1.023,1.321
65,0.1365,0.1158,2.676,2.48,1.369
66,0.1594,0.1163,3.244,3.354,1.132
67,0.1823,0.1168,3.237,3.222,1.214
68,0.2053,0.1174,3.396,3.471,0.955
69,0.2279,0.1179,3.215,3.279,0.981
70,0.2502,0.1185,3.281,3.388,0.73
71,0.2722,0.1191,3.014,3.101,0.818
72,0.294,0.1197,3.142,3.094,0.536
