step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0001,0.0124,6.289,2.479,2.93,58.9,2.0
1,0.0003,0.0124,2.049,1.101,1.211,58.9,2.0
2,0.0003,0.0124,1.837,1.453,0.0,58.9,2.0
3,0.0003,0.0125,1.527,1.024,0.0,58.9,2.0
4,0.0002,0.0125,1.412,0.487,0.451,58.9,2.0
5,0.0003,0.0125,1.503,0.534,0.465,58.9,2.0
6,0.0003,0.0125,1.642,0.646,0.56,58.9,2.0
7,0.0003,0.0125,1.73,0.732,0.635,58.9,2.0
8,0.0003,0.0125,1.792,0.807,0.694,58.9,2.0
9,0.0003,0.0125,1.845,0.876,0.754,58.9,2.0
10,0.0003,0.0125,1.894,0.946,0.808,58.9,2.0
11,0.0003,0.0125,1.979,0.98,0.935,58.9,2.0
12,0.0003,0.0125,1.995,1.041,0.955,58.9,2.0
13,0.0003,0.0125,2.013,1.1,0.985,58.9,2.0
14,0.0003,0.0125,2.038,1.156,1.026,58.9,2.0
15,0.0003,0.0125,2.063,1.206,1.07,58.9,2.0
16,0.0003,0.0125,2.084,1.253,1.112,58.9,2.0
17,0.0003,0.0125,2.1,1.296,1.149,58.9,2.0
18,0.0003,0.0125,2.111,1.335,1.184,58.9,2.0
19,0.0003,0.0125,2.117,1.37,1.216,58.9,2.0
20,0.0003,0.0125,2.119,1.4,1.243,58.9,2.0
21,0.0003,0.0125,2.116,1.426,1.269,58.9,2.0
22,0.0003,0.0125,2.107,1.449,1.288,58.9,2.0
23,0.0003,0.0125,2.094,1.465,1.309,58.9,2.0
24,-0.0026,0.0154,0.0,0.158,0.0,58.9,2.0
25,-0.0064,0.024,1.3,0.801,0.607,58.9,2.0
26,-0.0062,0.0351,1.359,0.894,0.509,58.9,2.0
27,-0.0057,0.0471,1.447,0.973,0.514,58.9,2.0
28,-0.0053,0.0595,1.513,1.02,0.531,58.9,2.0
29,-0.0049,0.0719,1.546,1.042,0.541,58.9,2.0
30,-0.0044,0.0844,1.56,1.047,0.548,58.9,2.0
31,-0.004,0.0969,1.564,1.047,0.551,58.9,2.0
32,-0.0031,0.1061,2.539,1.77,0.762,58.9,2.0
33,-0.0024,0.1096,2.291,1.517,0.781,58.9,2.0
34,-0.002,0.1109,1.929,1.237,0.707,58.9,2.0
35,-0.0017,0.1114,1.74,1.105,0.654,58.9,2.0
36,-0.0014,0.1116,1.658,1.052,0.625,58.9,2.0
37,-0.0011,0.1116,1.624,1.03,0.614,58.9,2.0
38,-0.0009,0.1117,1.611,1.022,0.609,58.9,2.0
39,-0.0007,0.1117,1.605,1.019,0.606,58.9,2.0
40,-0.0004,0.1117,1.603,1.018,0.604,58.9,2.0
41,-0.0002,0.1117,1.602,1.017,0.604,58.9,2.0
42,0.0,0.1117,1.601,1.017,0.603,58.9,2.0
43,0.0003,0.1117,1.6,1.017,0.602,58.9,2.0
44,0.0005,0.1117,1.6,1.017,0.602,58.9,2.0
45,0.0007,0.1117,1.599,1.017,0.601,58.9,2.0
46,0.0009,0.1117,1.598,1.016,0.6,58.9,2.0
47,0.0011,0.1117,1.597,1.016,0.599,58.9,2.0
48,0.0013,0.1117,1.596,1.016,0.598,58.9,2.0
49,0.0015,0.1117,1.596,1.016,0.598,58.9,2.0
50,0.0017,0.1117,1.595,1.016,0.597,58.9,2.0
51,0.0019,0.1117,1.595,1.016,0.596,58.9,2.0
52,0.0021,0.1117,1.596,1.014,0.598,58.9,2.0
53,0.0023,0.1117,1.595,1.014,0.598,58.9,2.0
54,0.0024,0.1117,1.594,1.013,0.597,58.9,2.0
55,0.0026,0.1117,1.594,1.013,0.597,58.9,2.0
56,0.0028,0.1117,1.593,1.013,0.596,58.9,2.0
57,0.003,0.1117,1.593,1.013,0.595,58.9,2.0
58,0.0148,0.112,0.712,0.347,0.0,58.9,2.0
59,0.0283,0.1125,3.073,1.4,1.715,58.89,2.0
60,0.0438,0.113,3.023,1.472,1.622,58.85,2.0
61,0.0594,0.1135,2.884,1.477,1.524,58.78,2.0
62,0.076,0.114,2.745,1.202,1.53,58.62,2.0
63,0.0941,0.1145,2.588,1.804,1.701,58.34,2.0
64,0.1141,0.115,2.952,2.92,1.582,57.85,2.0
65,0.1362,0.1155,3.05,2.886,0.0,57.19,2.0
66,0.1582,0.116,3.497,3.342,1.648,56.47,2.0
67,0.1804,0.1164,3.251,3.401,1.63,55.75,2.0
68,0.2025,0.117,3.404,3.433,1.208,55.04,2.0
69,0.2247,0.1175,3.411,3.481,0.953,54.33,2.0
70,0.2465,0.1181,3.325,3.414,0.824,53.62,2.0
71,0.2683,0.1186,3.466,2.833,0.714,52.91,2.0
72,0.2899,0.1192,0.331,0.0,0.173,52.03,2.0
73,0.3115,0.1198,0.314,0.0,0.357,51.13,2.0
74,0.3335,0.1204,2.866,2.268,0.637,50.23,2.0
75,0.3545,0.1209,2.634,2.115,0.564,49.35,2.0
76,0.3739,0.1215,3.876,3.155,0.783,48.45,2.0
77,0.3906,0.1219,5.968,4.966,1.133,47.55,2.0
78,0.4037,0.1223,0.746,0.0,0.47,46.66,2.0
79,0.4154,0.1226,5.544,4.811,0.901,45.74,2.0
80,0.4274,0.1229,4.044,3.671,0.0,44.81,2.0
