step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0005,0.0125,1.508,0.0,0.0,59.76,2.0
1,0.0001,0.0125,0.0,0.442,0.0,59.78,2.0
2,-0.0,0.0125,0.0,0.0,0.0,59.8,2.0
3,-0.0,0.0125,0.0,0.0,0.0,59.81,2.0
4,-0.0,0.0125,0.0,0.0,0.0,59.83,2.0
5,0.0,0.0125,0.0,0.0,0.0,59.85,2.0
6,0.0,0.0125,0.0,0.062,0.0,59.86,2.0
7,-0.0001,0.0125,0.635,0.573,0.0,59.88,2.0
8,-0.0001,0.0125,0.873,0.473,0.477,59.9,2.0
9,-0.0,0.0125,0.941,0.537,0.523,59.9,2.0
10,-0.0,0.0125,0.997,0.611,0.565,59.9,2.0
11,-0.0,0.0125,1.056,0.683,0.61,59.9,2.0
12,0.0,0.0125,1.109,0.75,0.655,59.9,2.0
13,0.0,0.0125,1.155,0.811,0.699,59.9,2.0
14,0.0002,0.0125,1.258,0.949,0.749,59.9,2.0
15,0.0001,0.0125,1.26,0.934,0.789,59.9,2.0
16,0.0001,0.0125,1.275,0.974,0.81,59.9,2.0
17,0.0001,0.0125,1.3,1.016,0.842,59.9,2.0
18,0.0001,0.0125,1.325,1.046,0.877,59.91,2.0
19,0.0,0.0125,1.346,1.064,0.913,59.91,2.0
20,-0.0,0.0125,1.363,1.071,0.948,59.91,2.0
21,-0.0001,0.0125,1.375,1.064,0.985,59.91,2.0
22,-0.0003,0.0125,1.444,0.608,1.307,59.91,2.0
23,-0.0005,0.0125,1.474,0.621,1.319,59.91,2.0
24,-0.002,0.0156,1.285,0.486,0.655,59.94,2.0
25,-0.0019,0.0243,1.226,0.543,0.698,59.96,2.0
26,-0.002,0.0355,1.257,0.527,0.729,59.96,2.0
27,-0.0022,0.0475,1.374,0.581,0.787,59.95,2.0
28,-0.0023,0.0599,1.443,0.615,0.822,59.95,2.0
29,-0.0026,0.0723,1.475,0.631,0.838,59.95,2.0
30,-0.0028,0.0848,1.488,0.637,0.845,59.95,2.0
31,-0.003,0.0973,1.492,0.64,0.847,59.95,2.0
32,-0.0034,0.1064,2.397,0.987,1.428,59.97,2.0
33,-0.004,0.11,2.198,0.965,1.233,59.99,2.0
34,-0.0042,0.1113,1.89,1.071,0.831,60.0,2.0
35,-0.0041,0.1118,1.691,0.966,0.745,60.01,2.0
36,-0.0041,0.1119,1.603,0.876,0.743,60.01,2.0
37,-0.004,0.112,1.569,0.844,0.738,60.01,2.0
38,-0.004,0.112,1.558,0.804,0.765,60.01,2.0
39,-0.004,0.112,1.552,0.804,0.759,60.01,2.0
40,-0.004,0.112,1.548,0.801,0.759,60.01,2.0
41,-0.004,0.112,1.547,0.805,0.754,60.01,2.0
42,-0.004,0.112,1.547,0.809,0.75,60.01,2.0
43,-0.004,0.112,1.547,0.812,0.746,60.01,2.0
44,-0.004,0.112,1.546,0.816,0.742,60.01,2.0
45,-0.0039,0.112,1.544,0.819,0.738,60.01,2.0
46,-0.0039,0.112,1.544,0.797,0.757,60.01,2.0
47,-0.0039,0.112,1.544,0.825,0.731,60.01,2.0
48,-0.0038,0.112,1.544,0.824,0.731,60.01,2.0
49,-0.0038,0.112,1.544,0.817,0.738,60.01,2.0
50,-0.0038,0.112,1.547,0.8,0.754,60.01,2.0
51,-0.0038,0.112,1.545,0.799,0.754,60.01,2.0
52,-0.0038,0.112,1.546,0.803,0.751,60.01,2.0
53,-0.0038,0.112,1.544,0.8,0.752,60.01,2.0
54,-0.0038,0.112,1.544,0.803,0.749,60.01,2.0
55,-0.0038,0.112,1.544,0.8,0.751,60.01,2.0
56,-0.0038,0.112,1.543,0.802,0.748,60.01,2.0
57,-0.0037,0.112,1.543,0.803,0.747,60.01,2.0
58,0.002,0.112,4.166,1.043,3.141,60.15,2.0
59,0.0133,0.112,3.833,1.497,2.344,60.08,2.0
60,0.026,0.1119,1.482,0.827,0.743,59.41,2.0
61,0.0356,0.112,1.343,0.0,0.946,58.23,2.0
62,0.0457,0.1121,3.722,2.106,1.742,56.94,2.0
63,0.0563,0.1122,1.076,0.0,0.738,55.67,2.0
64,0.0682,0.1124,3.825,2.412,1.622,54.44,2.0
65,0.0811,0.1126,1.215,0.0,0.815,53.28,2.0
66,0.0947,0.1128,6.244,3.713,2.584,52.21,2.0
67,0.1091,0.113,6.754,4.012,2.738,51.2,2.0
68,0.1246,0.1132,6.679,4.042,2.609,50.25,2.0
69,0.1403,0.1134,6.595,3.91,2.775,49.41,2.0
70,0.157,0.1136,6.937,3.258,4.614,48.85,2.0
71,0.1729,0.1139,7.97,2.843,5.639,48.33,2.0
72,0.1894,0.1141,7.96,2.874,5.622,47.86,2.0
73,0.2063,0.1144,7.914,2.895,5.54,47.46,2.0
74,0.2233,0.1146,7.806,2.908,5.267,47.08,2.0
75,0.2404,0.115,7.632,2.915,4.96,46.69,2.0
76,0.2574,0.1153,7.433,2.904,4.658,46.29,2.0
77,0.2744,0.1156,7.251,2.908,4.382,45.9,2.0
78,0.2911,0.116,7.093,2.926,4.143,45.49,2.0
