step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,-0.0,0.0125,0.0,0.0,0.0,59.77,2.0
1,-0.0,0.0125,0.0,0.0,0.0,59.79,2.0
2,-0.0,0.0125,0.0,0.0,0.0,59.81,2.0
3,-0.0,0.0125,0.0,0.0,0.0,59.82,2.0
4,-0.0,0.0125,0.075,0.0,0.0,59.84,2.0
5,0.0,0.0125,0.468,0.467,0.0,59.86,2.0
6,-0.0,0.0125,0.55,0.524,0.0,59.88,2.0
7,-0.0001,0.0125,0.656,0.409,0.0,59.9,2.0
8,-0.0001,0.0125,0.877,0.459,0.461,59.91,2.0
9,-0.0,0.0125,0.948,0.531,0.504,59.91,2.0
10,-0.0,0.0125,1.01,0.61,0.547,59.91,2.0
11,-0.0,0.0125,1.065,0.685,0.591,59.91,2.0
12,0.0,0.0125,1.117,0.751,0.637,59.91,2.0
13,0.0,0.0125,1.165,0.812,0.683,59.91,2.0
14,0.0,0.0125,1.206,0.868,0.725,59.91,2.0
15,0.0,0.0125,1.244,0.92,0.765,59.91,2.0
16,0.0,0.0125,1.277,0.963,0.804,59.91,2.0
17,0.0,0.0125,1.307,0.996,0.843,59.91,2.0
18,-0.0,0.0125,1.333,1.018,0.881,59.91,2.0
19,-0.0,0.0125,1.355,1.028,0.92,59.91,2.0
20,-0.0001,0.0125,1.429,0.612,1.207,59.91,2.0
21,0.0002,0.0125,1.724,1.095,0.981,59.91,2.0
22,0.0001,0.0125,1.557,1.134,0.923,59.91,2.0
23,0.0001,0.0125,1.48,1.124,0.911,59.92,2.0
24,-0.0011,0.0155,1.284,0.487,0.634,59.94,2.0
25,-0.0003,0.0243,1.243,0.543,0.712,59.96,2.0
26,-0.0005,0.0355,1.266,0.527,0.737,59.96,2.0
27,-0.0007,0.0475,1.378,0.579,0.791,59.95,2.0
28,-0.0009,0.0598,1.443,0.612,0.825,59.95,2.0
29,-0.0011,0.0723,1.473,0.626,0.841,59.95,2.0
30,-0.0013,0.0848,1.484,0.63,0.846,59.96,2.0
31,-0.0016,0.0972,1.49,0.635,0.849,59.96,2.0
32,-0.002,0.1064,2.386,0.976,1.428,59.97,2.0
33,-0.0026,0.11,2.187,0.95,1.237,60.0,2.0
34,-0.003,0.1113,1.846,0.856,0.993,60.01,2.0
35,-0.0031,0.1117,1.676,0.865,0.826,60.01,2.0
36,-0.0032,0.1119,1.599,0.837,0.776,60.01,2.0
37,-0.0031,0.112,1.567,0.826,0.755,60.01,2.0
38,-0.0031,0.112,1.554,0.823,0.745,60.01,2.0
39,-0.0031,0.112,1.549,0.824,0.739,60.01,2.0
40,-0.003,0.112,1.551,0.792,0.769,60.01,2.0
41,-0.003,0.112,1.549,0.794,0.765,60.01,2.0
42,-0.003,0.112,1.547,0.795,0.763,60.01,2.0
43,-0.003,0.112,1.546,0.808,0.749,60.01,2.0
44,-0.003,0.112,1.546,0.81,0.748,60.01,2.0
45,-0.003,0.112,1.544,0.808,0.747,60.01,2.0
46,-0.0025,0.112,1.706,0.855,0.855,60.02,2.0
47,-0.0026,0.112,1.606,0.832,0.783,60.02,2.0
48,-0.0026,0.112,1.56,0.818,0.752,60.02,2.0
49,-0.0026,0.112,1.548,0.811,0.747,60.02,2.0
50,-0.0026,0.112,1.545,0.808,0.746,60.02,2.0
51,-0.0025,0.112,1.545,0.807,0.747,60.02,2.0
52,-0.0025,0.112,1.545,0.806,0.748,60.02,2.0
53,-0.0025,0.112,1.544,0.808,0.745,60.02,2.0
54,-0.0025,0.112,1.544,0.8,0.752,60.02,2.0
55,-0.0025,0.112,1.544,0.801,0.751,60.02,2.0
56,-0.0025,0.112,1.544,0.802,0.749,60.02,2.0
57,-0.0025,0.112,1.543,0.804,0.747,60.02,2.0
58,0.0082,0.112,0.75,0.294,0.0,58.92,2.0
59,0.0167,0.112,4.656,2.392,2.664,57.55,2.0
60,0.0242,0.1121,4.363,2.232,2.306,56.2,2.0
61,0.0322,0.1122,4.051,2.376,2.026,54.84,2.0
62,0.0416,0.1123,4.235,2.305,2.017,53.52,2.0
63,0.0523,0.1124,3.964,2.454,1.761,52.24,2.0
64,0.0646,0.1126,4.055,2.427,1.708,51.0,2.0
65,0.0784,0.1127,4.036,2.416,1.627,49.81,2.0
66,0.0935,0.1129,4.008,2.431,1.559,48.67,2.0
67,0.109,0.1131,0.637,0.0,0.289,47.6,2.0
68,0.125,0.1132,0.62,0.0,0.278,46.6,2.0
69,0.1413,0.1134,3.675,2.173,1.633,45.72,2.0
70,0.1586,0.1136,3.918,1.934,2.472,45.01,2.0
71,0.1757,0.1137,4.238,1.858,2.815,44.4,2.0
72,0.1927,0.114,4.865,1.582,3.433,43.8,2.0
73,0.2099,0.1142,5.182,1.536,3.701,43.24,2.0
74,0.2273,0.1145,5.166,1.542,3.686,42.74,2.0
75,0.2449,0.1148,5.123,1.548,3.642,42.31,2.0
76,0.2626,0.1151,5.635,1.902,3.796,41.97,2.0
77,0.28,0.1154,6.491,2.508,3.997,41.64,2.0
78,0.2968,0.1158,7.054,2.936,4.084,41.32,2.0
79,0.313,0.1161,7.706,3.607,4.119,41.01,2.0
80,0.3286,0.1165,7.958,3.923,4.04,40.7,2.0
81,0.3438,0.1169,8.06,4.086,3.953,40.39,2.0
82,0.3585,0.1173,8.211,4.283,3.894,40.04,2.0
83,0.3725,0.1177,8.375,4.477,3.857,39.65,2.0
84,0.3859,0.118,8.583,4.691,3.848,39.23,2.0
85,0.3987,0.1184,8.769,4.88,3.847,38.79,2.0
86,0.4112,0.1188,10.053,4.797,5.309,38.34,2.0
87,0.4241,0.1192,10.47,5.129,5.381,37.89,2.0
88,0.4363,0.1195,10.468,5.155,5.318,37.42,2.0
89,0.448,0.1199,10.481,5.185,5.279,36.93,2.0
90,0.4591,0.1202,10.494,5.214,5.249,36.43,2.0
91,0.4695,0.1206,10.526,5.248,5.243,35.91,2.0
92,0.4793,0.121,10.528,5.27,5.224,35.38,2.0
93,0.4885,0.1213,10.41,5.364,5.028,34.85,2.0
94,0.4963,0.1216,9.213,5.238,3.959,34.34,2.0
95,0.5046,0.1216,7.14,4.098,3.016,33.69,2.0
96,0.5139,0.1213,5.109,3.145,2.187,32.93,2.0
97,0.5263,0.121,4.591,3.011,1.713,31.95,2.0
98,0.5395,0.1206,1.741,0.0,1.437,30.76,2.0
99,0.5541,0.1203,1.927,0.0,1.583,29.49,2.0
100,0.5698,0.1199,4.117,2.753,1.599,28.19,2.0
101,0.5847,0.1196,4.003,2.863,1.313,26.86,2.0
102,0.601,0.1193,2.691,0.0,2.246,25.53,2.0
103,0.6145,0.1192,5.014,2.958,2.724,24.24,2.0
104,0.6264,0.1192,5.329,0.0,4.97,23.02,2.0
105,0.6306,0.1193,7.915,4.928,3.763,21.84,2.0
106,0.6351,0.1195,8.163,4.292,4.648,20.66,2.0
107,0.6365,0.1197,8.481,5.356,4.039,19.49,2.0
108,0.642,0.1198,8.629,4.858,4.613,18.32,2.0
109,0.644,0.12,6.147,5.7,0.0,17.16,2.0
110,0.6506,0.1202,8.878,4.917,4.886,16.06,2.0
111,0.6535,0.1204,8.956,5.722,4.345,15.01,2.0
112,0.6606,0.1205,8.697,4.871,5.346,14.02,2.0
113,0.6639,0.1206,6.762,6.329,0.0,13.2,2.0
114,0.6713,0.1207,9.705,6.011,5.007,12.49,2.0
115,0.6774,0.1208,9.537,6.117,4.831,11.84,2.0
116,0.6852,0.1209,9.672,5.936,5.184,11.23,2.0
117,0.6934,0.1209,9.841,5.803,5.518,10.67,2.0
