step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0018,0.0124,10.333,10.451,1.603,60.34,2.0
1,0.0009,0.0124,3.498,4.156,0.0,60.36,2.0
2,0.0008,0.0124,3.051,4.263,0.229,60.37,2.0
3,0.0007,0.0124,2.687,4.299,0.247,60.37,2.0
4,0.0008,0.0124,2.626,4.459,0.257,60.37,2.0
5,0.0008,0.0124,2.754,4.633,0.277,60.37,2.0
6,0.0008,0.0124,3.117,4.964,0.396,60.38,2.0
7,0.0009,0.0124,3.42,5.291,0.466,60.39,2.0
8,0.0009,0.0124,3.687,5.59,0.519,60.4,2.0
9,0.0009,0.0124,3.932,5.88,0.559,60.41,2.0
10,0.0009,0.0124,4.151,6.151,0.552,60.42,2.0
11,0.001,0.0124,4.394,6.482,0.634,60.43,2.0
12,0.001,0.0124,4.631,6.782,0.66,60.44,2.0
13,0.0011,0.0124,4.862,7.081,0.688,60.45,2.0
14,0.0011,0.0124,5.046,7.344,0.648,60.46,2.0
15,0.0011,0.0124,5.252,7.661,0.706,60.47,2.0
16,0.0011,0.0124,5.454,7.943,0.736,60.49,2.0
17,0.0011,0.0124,5.642,8.213,0.751,60.49,2.0
18,0.0011,0.0124,5.819,8.468,0.747,60.5,2.0
19,0.0011,0.0124,5.973,8.669,0.727,60.51,2.0
20,0.0011,0.0124,6.092,8.828,0.694,60.51,2.0
21,0.0011,0.0124,6.225,8.883,0.645,60.5,2.0
22,0.001,0.0124,6.336,8.919,0.603,60.49,2.0
23,0.001,0.0124,6.428,8.957,0.598,60.48,2.0
24,0.0007,0.0143,2.134,1.64,0.59,60.51,2.0
25,0.0023,0.0223,1.744,1.291,0.537,60.51,2.0
26,0.0041,0.0331,1.866,1.319,0.545,60.51,2.0
27,0.0059,0.0449,1.987,1.395,0.576,60.51,2.0
28,0.0077,0.0571,2.055,1.424,0.617,60.52,2.0
29,0.0095,0.0695,2.071,1.434,0.623,60.52,2.0
30,0.0111,0.0819,2.073,1.42,0.64,60.53,2.0
31,0.0128,0.0943,2.067,1.401,0.654,60.54,2.0
32,0.0147,0.1034,2.716,1.96,0.842,60.58,2.0
33,0.0168,0.1069,2.38,1.803,0.566,60.62,2.0
34,0.0186,0.1081,2.151,1.619,0.522,60.64,2.0
35,0.0201,0.1085,2.056,1.533,0.522,60.66,2.0
36,0.0216,0.1086,2.02,1.486,0.53,60.66,2.0
37,0.023,0.1086,2.006,1.455,0.546,60.67,2.0
38,0.0243,0.1086,1.995,1.448,0.542,60.68,2.0
39,0.0256,0.1085,1.99,1.43,0.555,60.68,2.0
40,0.0268,0.1085,1.986,1.412,0.569,60.69,2.0
41,0.028,0.1084,1.983,1.396,0.582,60.69,2.0
42,0.0291,0.1084,1.979,1.381,0.593,60.7,2.0
43,0.0301,0.1083,1.977,1.366,0.605,60.7,2.0
44,0.0311,0.1083,1.972,1.354,0.613,60.71,2.0
45,0.0321,0.1082,1.966,1.347,0.614,60.71,2.0
46,0.033,0.1082,1.961,1.339,0.617,60.72,2.0
47,0.0339,0.1081,1.956,1.33,0.621,60.72,2.0
48,0.0355,0.1081,2.093,1.392,0.691,60.73,2.0
49,0.0363,0.108,1.98,1.343,0.631,60.74,2.0
50,0.0371,0.108,1.948,1.315,0.628,60.74,2.0
51,0.038,0.108,1.932,1.327,0.602,60.75,2.0
52,0.0387,0.1079,1.937,1.302,0.63,60.75,2.0
53,0.0394,0.1079,1.93,1.293,0.632,60.76,2.0
54,0.0401,0.1078,1.927,1.286,0.637,60.76,2.0
55,0.0408,0.1078,1.924,1.278,0.64,60.76,2.0
56,0.0414,0.1078,1.916,1.296,0.617,60.77,2.0
57,0.0421,0.1077,1.902,1.316,0.584,60.77,2.0
58,0.0559,0.1076,3.469,1.673,1.986,60.92,2.0
59,0.0716,0.1075,0.869,0.0,0.562,60.36,2.0
60,0.0877,0.1075,7.337,5.602,3.224,59.68,2.0
61,0.1033,0.1076,7.434,5.78,3.094,59.16,2.0
62,0.1185,0.1076,6.969,5.35,2.891,58.74,2.0
63,0.1344,0.1077,7.183,5.513,2.849,58.29,2.0
64,0.1497,0.1078,6.511,4.981,2.812,57.96,2.0
65,0.1649,0.108,6.248,4.708,3.039,57.68,2.0
66,0.1799,0.1082,6.216,4.486,3.326,57.46,2.0
67,0.1949,0.1084,6.215,4.114,3.566,57.25,2.0
68,0.2097,0.1086,6.265,3.707,3.876,57.04,2.0
69,0.2243,0.1089,6.42,3.332,4.203,56.81,2.0
70,0.2389,0.1092,6.704,2.977,4.603,56.58,2.0
71,0.2534,0.1095,6.907,2.76,4.789,56.35,2.0
72,0.2678,0.1099,6.719,2.734,4.483,56.13,2.0
73,0.282,0.1102,6.529,2.708,4.185,55.91,2.0
74,0.2961,0.1106,6.342,2.684,3.903,55.69,2.0
75,0.3098,0.1111,6.171,2.671,3.648,55.49,2.0
76,0.3232,0.1115,6.002,2.654,3.411,55.29,2.0
77,0.3362,0.112,5.854,2.648,3.209,55.11,2.0
78,0.3487,0.1125,5.713,2.638,3.027,54.93,2.0
79,0.3608,0.113,5.598,2.637,2.887,54.77,2.0
80,0.3723,0.1135,5.493,2.634,2.769,54.56,2.0
81,0.3832,0.114,5.401,2.633,2.67,54.27,2.0
82,0.394,0.1146,6.527,2.615,3.829,53.92,2.0
83,0.4052,0.1151,6.43,2.636,3.686,53.5,2.0
84,0.4158,0.1156,6.23,2.613,3.503,53.02,2.0
85,0.4259,0.1162,6.105,2.61,3.391,52.47,2.0
86,0.4353,0.1167,6.004,2.612,3.317,51.87,2.0
87,0.4439,0.1173,5.917,2.618,3.27,51.22,2.0
88,0.4519,0.1178,5.844,2.625,3.246,50.52,2.0
89,0.4591,0.1184,5.784,2.629,3.231,49.78,2.0
90,0.4653,0.119,5.538,2.742,3.028,49.03,2.0
91,0.471,0.1194,5.563,3.163,2.439,48.43,2.0
92,0.4778,0.1197,5.308,3.763,1.662,47.99,2.0
93,0.488,0.1198,7.049,5.3,1.901,47.49,2.0
94,0.4943,0.1196,3.216,2.965,0.0,46.68,2.0
95,0.5024,0.1194,6.24,4.79,2.782,45.78,2.0
96,0.5115,0.1191,6.066,4.582,3.108,44.9,2.0
97,0.521,0.1189,6.355,4.622,3.353,44.03,2.0
98,0.5303,0.1188,5.766,4.241,3.977,43.18,2.0
99,0.5386,0.1187,5.044,0.0,4.41,42.36,2.0
100,0.5461,0.1187,4.033,3.687,0.0,41.55,2.0
101,0.5551,0.1187,4.024,3.798,0.0,40.73,2.0
102,0.5641,0.1187,6.638,3.826,5.549,39.92,2.0
103,0.5716,0.1188,7.358,4.363,5.711,39.12,2.0
