step,cos,z,f_thumb,f_index,f_middle
0,0.004,0.0122,4.116,3.822,0.427
1,0.0062,0.012,3.662,3.509,0.522
2,0.0076,0.0118,3.36,3.259,0.567
3,0.0086,0.0118,3.17,3.116,0.588
4,0.0095,0.0117,3.067,3.076,0.603
5,0.0103,0.0116,3.065,3.146,0.617
6,0.0111,0.0115,3.115,3.266,0.627
7,0.0119,0.0115,3.178,3.39,0.631
8,0.0127,0.0114,3.223,3.499,0.629
9,0.0134,0.0113,3.27,3.601,0.628
10,0.0141,0.0113,3.303,3.692,0.625
11,0.0148,0.0112,3.341,3.781,0.624
12,0.0155,0.0111,3.367,3.861,0.621
13,0.0161,0.0111,3.391,3.937,0.618
14,0.0167,0.011,3.41,4.007,0.615
15,0.0173,0.011,3.435,4.073,0.612
16,0.0178,0.011,3.451,4.133,0.608
17,0.0183,0.0109,3.465,4.193,0.605
18,0.0188,0.0109,3.477,4.251,0.602
19,0.0193,0.0108,3.504,4.308,0.609
20,0.0196,0.0108,3.517,4.36,0.61
21,0.0199,0.0108,3.526,4.407,0.601
22,0.0202,0.0107,3.539,4.453,0.601
23,0.0205,0.0107,3.554,4.497,0.603
24,0.0214,0.0144,2.303,1.706,0.719
25,0.0224,0.0238,1.675,1.1,0.672
26,0.0234,0.0352,1.465,0.945,0.548
27,0.0246,0.0473,1.532,0.959,0.575
28,0.0258,0.0596,1.65,1.031,0.613
29,0.027,0.072,1.747,1.107,0.63
30,0.0282,0.0844,1.816,1.162,0.643
31,0.0297,0.0968,0.556,0.0,0.385
32,0.0327,0.1048,2.729,2.128,0.761
33,0.0353,0.1075,2.755,2.321,0.467
34,0.0373,0.1084,2.565,2.138,0.406
35,0.039,0.1087,2.326,1.903,0.409
36,0.0405,0.1088,2.132,1.698,0.427
37,0.0418,0.1088,2.015,1.566,0.443
38,0.043,0.1087,1.949,1.489,0.455
39,0.0441,0.1087,1.914,1.439,0.47
40,0.0451,0.1087,1.895,1.405,0.485
41,0.0461,0.1086,1.885,1.38,0.5
42,0.047,0.1086,1.878,1.36,0.513
43,0.0479,0.1086,1.876,1.338,0.532
44,0.0487,0.1085,1.873,1.326,0.54
45,0.0495,0.1085,1.866,1.328,0.531
46,0.0503,0.1085,1.866,1.318,0.54
47,0.051,0.1084,1.863,1.31,0.545
48,0.0517,0.1084,1.86,1.304,0.548
49,0.0524,0.1084,1.851,1.314,0.529
50,0.0531,0.1083,1.852,1.302,0.541
51,0.0537,0.1083,1.851,1.287,0.555
52,0.0543,0.1083,1.846,1.284,0.553
53,0.0549,0.1083,1.845,1.274,0.561
54,0.0555,0.1082,1.837,1.28,0.548
55,0.056,0.1082,1.838,1.27,0.558
56,0.0565,0.1082,1.837,1.258,0.57
57,0.057,0.1082,1.833,1.258,0.564
58,0.0755,0.1081,2.324,1.511,1.59
59,0.0919,0.1081,3.179,2.462,1.26
60,0.1073,0.1082,5.188,3.943,2.286
61,0.1228,0.1083,5.625,4.281,2.387
62,0.1385,0.1085,5.963,4.569,2.388
63,0.1544,0.1086,6.182,4.748,2.311
64,0.1705,0.1088,6.31,4.872,2.182
65,0.1866,0.109,6.388,4.937,2.034
66,0.2027,0.1093,6.438,4.968,1.884
67,0.2187,0.1095,6.47,4.981,1.751
68,0.2345,0.1098,6.51,4.935,1.695
69,0.25,0.1101,6.531,4.847,1.716
70,0.2654,0.1105,5.56,3.609,2.424
71,0.2804,0.1108,5.556,3.28,2.707
72,0.2948,0.1112,5.562,3.305,2.522
73,0.3096,0.1116,5.958,2.576,3.615
74,0.3239,0.1121,6.002,2.592,3.539
75,0.3376,0.1125,5.959,2.641,3.372
76,0.351,0.113,5.886,2.676,3.207
77,0.3639,0.1135,5.793,2.699,3.054
