step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0031,0.0124,10.26,10.134,2.303,60.34,2.0
1,0.0003,0.0124,3.058,4.129,0.0,60.35,2.0
2,0.0007,0.0124,0.0,4.074,0.162,60.36,2.0
3,0.0007,0.0124,0.0,3.797,0.248,60.36,2.0
4,0.0006,0.0124,0.521,3.518,0.449,60.35,2.0
5,0.0005,0.0124,0.601,3.434,0.535,60.35,2.0
6,0.0005,0.0124,0.792,3.488,0.553,60.34,2.0
7,0.0006,0.0124,0.969,3.623,0.501,60.34,2.0
8,0.0006,0.0124,1.136,3.797,0.42,60.34,2.0
9,0.0007,0.0124,1.303,3.842,0.384,60.33,2.0
10,0.0007,0.0124,1.456,3.895,0.372,60.32,2.0
11,0.0007,0.0124,1.612,3.968,0.358,60.32,2.0
12,0.0008,0.0124,1.769,4.017,0.35,60.31,2.0
13,0.0008,0.0124,1.91,4.078,0.355,60.3,2.0
14,0.0008,0.0124,2.061,4.197,0.348,60.3,2.0
15,0.0008,0.0124,2.205,4.233,0.349,60.29,2.0
16,0.0008,0.0124,2.361,4.114,0.341,60.28,2.0
17,0.0008,0.0124,2.484,3.986,0.41,60.27,2.0
18,0.0007,0.0124,2.613,3.954,0.446,60.26,2.0
19,0.0007,0.0124,2.736,3.945,0.46,60.25,2.0
20,0.0007,0.0124,2.864,3.909,0.488,60.23,2.0
21,0.0007,0.0124,2.962,3.782,0.56,60.22,2.0
22,0.0006,0.0124,3.057,3.708,0.625,60.21,2.0
23,0.0006,0.0124,3.113,3.675,0.665,60.2,2.0
24,-0.0044,0.0149,0.934,0.652,0.437,60.24,2.0
25,-0.0085,0.0233,0.655,0.456,0.323,60.3,2.0
26,-0.0081,0.0343,0.763,0.53,0.293,60.32,2.0
27,-0.0071,0.0462,0.89,0.6,0.315,60.32,2.0
28,-0.0061,0.0585,0.965,0.65,0.328,60.32,2.0
29,-0.0051,0.0708,0.999,0.669,0.342,60.33,2.0
30,-0.004,0.0832,1.01,0.676,0.345,60.33,2.0
31,-0.003,0.0957,1.012,0.68,0.345,60.34,2.0
32,-0.0016,0.1048,1.724,1.213,0.598,60.38,2.0
33,-0.0001,0.1083,1.486,1.133,0.346,60.42,2.0
34,0.0012,0.1095,1.206,0.949,0.28,60.44,2.0
35,0.0024,0.11,1.066,0.845,0.256,60.46,2.0
36,0.0035,0.1101,1.006,0.794,0.239,60.46,2.0
37,0.0045,0.1101,0.981,0.771,0.234,60.47,2.0
38,0.0056,0.1101,0.968,0.758,0.234,60.48,2.0
39,0.0066,0.1101,0.962,0.751,0.235,60.48,2.0
40,0.0076,0.11,0.96,0.748,0.237,60.49,2.0
41,0.0085,0.11,0.956,0.739,0.242,60.49,2.0
42,0.0095,0.1099,0.953,0.744,0.234,60.5,2.0
43,0.0104,0.1099,0.951,0.732,0.244,60.51,2.0
44,0.0114,0.1099,0.948,0.736,0.238,60.51,2.0
45,0.0123,0.1098,0.944,0.724,0.248,60.52,2.0
46,0.0132,0.1098,0.942,0.728,0.242,60.52,2.0
47,0.014,0.1097,0.936,0.726,0.239,60.53,2.0
48,0.0147,0.1097,0.944,0.754,0.303,60.54,2.0
49,0.0153,0.1096,0.997,0.768,0.256,60.55,2.0
50,0.0162,0.1096,0.95,0.733,0.245,60.56,2.0
51,0.017,0.1096,0.935,0.717,0.247,60.56,2.0
52,0.0178,0.1095,0.93,0.712,0.248,60.57,2.0
53,0.0186,0.1095,0.927,0.707,0.25,60.57,2.0
54,0.0194,0.1095,0.925,0.704,0.251,60.58,2.0
55,0.0202,0.1094,0.923,0.699,0.254,60.58,2.0
56,0.0209,0.1094,0.92,0.701,0.25,60.59,2.0
57,0.0217,0.1094,0.919,0.697,0.253,60.59,2.0
58,0.0281,0.1095,6.573,2.67,4.882,60.04,2.0
59,0.0363,0.1095,6.878,2.807,5.541,59.66,2.0
60,0.044,0.1096,7.131,2.823,6.051,59.41,2.0
61,0.0513,0.1096,7.336,2.864,6.271,59.25,2.0
62,0.0586,0.1097,7.399,2.87,6.371,59.12,2.0
63,0.066,0.1097,7.443,2.866,6.421,59.02,2.0
64,0.0734,0.1097,7.444,2.843,6.385,58.92,2.0
65,0.081,0.1098,7.422,2.821,6.322,58.82,2.0
66,0.0887,0.1099,7.396,2.799,6.253,58.72,2.0
67,0.0966,0.1099,7.34,2.756,6.136,58.61,2.0
68,0.1045,0.11,7.291,2.724,6.042,58.5,2.0
69,0.1127,0.1101,7.237,2.702,5.938,58.38,2.0
70,0.1209,0.1102,7.191,2.678,5.842,58.25,2.0
71,0.1293,0.1103,7.12,2.642,5.73,58.12,2.0
72,0.1378,0.1104,7.054,2.614,5.612,57.98,2.0
73,0.1465,0.1105,6.979,2.593,5.48,57.84,2.0
74,0.1553,0.1107,6.898,2.564,5.348,57.69,2.0
75,0.1643,0.1108,6.81,2.534,5.208,57.54,2.0
76,0.1733,0.111,6.718,2.506,5.064,57.38,2.0
77,0.1824,0.1112,6.625,2.479,4.917,57.21,2.0
78,0.1916,0.1114,6.524,2.459,4.763,57.05,2.0
79,0.2008,0.1116,6.426,2.431,4.614,56.88,2.0
80,0.21,0.1118,6.322,2.413,4.46,56.7,2.0
81,0.2193,0.112,6.214,2.388,4.307,56.53,2.0
82,0.2285,0.1123,6.104,2.362,4.155,56.36,2.0
83,0.2377,0.1125,5.999,2.34,4.008,56.18,2.0
84,0.2468,0.1128,5.89,2.315,3.863,56.01,2.0
85,0.2558,0.113,5.776,2.293,3.718,55.84,2.0
86,0.2647,0.1133,5.666,2.27,3.581,55.67,2.0
87,0.2734,0.1136,5.559,2.247,3.45,55.51,2.0
88,0.282,0.1139,5.462,2.229,3.329,55.35,2.0
89,0.2904,0.1142,5.362,2.208,3.212,55.19,2.0
90,0.2987,0.1145,5.276,2.195,3.107,55.04,2.0
91,0.3068,0.1148,5.194,2.183,3.01,54.89,2.0
92,0.3146,0.1151,5.121,2.174,2.923,54.74,2.0
93,0.3222,0.1154,5.047,2.165,2.84,54.57,2.0
94,0.3296,0.1158,4.978,2.153,2.765,54.39,2.0
95,0.3368,0.1161,4.914,2.146,2.697,54.19,2.0
96,0.3437,0.1164,4.859,2.141,2.639,53.97,2.0
97,0.3512,0.1167,5.741,1.92,3.768,53.74,2.0
98,0.3586,0.117,5.637,1.911,3.655,53.5,2.0
99,0.3659,0.1173,5.548,1.908,3.555,53.23,2.0
100,0.373,0.1176,5.469,1.909,3.467,52.95,2.0
101,0.3798,0.118,5.387,1.908,3.38,52.65,2.0
102,0.3864,0.1183,5.317,1.909,3.307,52.33,2.0
103,0.3927,0.1186,5.242,1.907,3.236,52.0,2.0
104,0.3989,0.1189,5.177,1.907,3.174,51.66,2.0
105,0.4049,0.1192,5.338,2.075,3.167,51.3,2.0
106,0.4108,0.1195,5.486,2.228,3.164,50.93,2.0
107,0.4167,0.1199,5.534,2.301,3.141,50.56,2.0
108,0.4224,0.1202,5.515,2.319,3.102,50.19,2.0
109,0.4278,0.1205,5.428,2.426,2.919,49.82,2.0
110,0.4328,0.1207,5.343,2.619,2.667,49.46,2.0
111,0.4372,0.121,5.428,2.962,2.466,49.14,2.0
112,0.441,0.1212,2.92,2.682,0.0,48.92,2.0
113,0.4462,0.1214,5.075,3.238,2.042,48.79,2.0
114,0.4505,0.1217,4.912,3.412,1.518,48.69,2.0
115,0.4544,0.1219,5.117,3.661,1.428,48.55,2.0
116,0.4592,0.1222,0.0,0.069,0.085,48.45,2.0
117,0.4624,0.1223,4.896,3.597,1.289,48.28,2.0
118,0.4667,0.1226,4.681,3.217,1.636,48.13,2.0
119,0.4701,0.1228,0.0,0.109,0.071,47.98,2.0
120,0.4719,0.123,4.619,3.627,1.007,47.79,2.0
121,0.4734,0.1231,4.372,4.035,0.765,47.71,2.0
122,0.4747,0.1232,4.829,4.992,1.16,47.62,2.0
123,0.4752,0.1232,5.448,5.595,1.701,47.58,2.0
124,0.4754,0.1232,5.791,5.942,1.834,47.51,2.0
125,0.4769,0.1232,5.207,5.628,2.252,47.42,2.0
126,0.4777,0.1232,5.439,5.63,2.001,47.31,2.0
127,0.4778,0.1232,5.715,5.85,1.875,47.19,2.0
128,0.4782,0.1232,4.613,4.399,0.0,47.05,2.0
129,0.4805,0.1233,5.224,5.423,2.41,46.88,2.0
130,0.4832,0.1233,4.982,3.61,2.474,46.64,2.0
131,0.4872,0.1232,5.516,3.681,3.021,46.09,2.0
132,0.4924,0.1231,3.179,0.0,2.871,45.53,2.0
133,0.497,0.123,5.293,3.569,3.328,44.96,2.0
134,0.5021,0.123,5.419,3.735,3.005,44.4,2.0
135,0.5078,0.1229,5.523,3.656,3.268,43.83,2.0
136,0.5136,0.1228,3.784,0.0,3.482,43.26,2.0
137,0.5194,0.1228,4.371,0.0,4.063,42.71,2.0
138,0.5251,0.1228,4.301,0.0,3.998,42.17,2.0
139,0.531,0.1228,4.465,0.0,4.164,41.62,2.0
140,0.5369,0.1228,5.85,3.602,3.969,41.08,2.0
141,0.5429,0.1227,5.631,3.653,3.594,40.52,2.0
142,0.5491,0.1227,5.735,3.611,3.841,39.96,2.0
143,0.5555,0.1227,5.755,3.658,3.828,39.4,2.0
144,0.5619,0.1227,5.803,3.662,3.916,38.85,2.0
145,0.5684,0.1227,5.737,3.623,3.922,38.3,2.0
146,0.5749,0.1227,5.708,3.626,3.982,37.75,2.0
147,0.5816,0.1227,5.565,3.532,4.073,37.21,2.0
148,0.5887,0.1227,5.975,3.555,4.344,36.69,2.0
149,0.5954,0.1227,5.831,3.687,4.013,36.14,2.0
150,0.6021,0.1227,5.728,3.619,4.076,35.6,2.0
151,0.6096,0.1227,5.126,0.0,4.852,35.08,2.0
152,0.6162,0.1227,6.103,3.6,4.534,34.55,2.0
153,0.6232,0.1227,5.679,3.693,3.96,34.01,2.0
154,0.6308,0.1227,5.25,0.0,4.982,33.49,2.0
155,0.6377,0.1228,6.085,3.643,4.505,32.96,2.0
156,0.6417,0.1228,5.489,4.078,3.549,32.5,2.0
157,0.6438,0.1229,5.671,4.169,3.514,32.04,2.0
158,0.646,0.123,5.778,4.251,3.487,31.58,2.0
159,0.6481,0.1231,5.823,4.354,3.429,31.13,2.0
160,0.6505,0.1231,5.805,4.359,3.411,30.69,2.0
161,0.6528,0.1232,5.823,4.452,3.348,30.24,2.0
162,0.6553,0.1233,5.803,4.461,3.321,29.79,2.0
163,0.6579,0.1234,5.806,4.467,3.326,29.35,2.0
164,0.6605,0.1235,5.809,4.474,3.328,28.91,2.0
165,0.6632,0.1236,5.812,4.483,3.331,28.46,2.0
166,0.6659,0.1237,5.812,4.49,3.33,28.02,2.0
167,0.6686,0.1237,5.812,4.5,3.327,27.58,2.0
168,0.6714,0.1238,5.81,4.505,3.326,27.14,2.0
169,0.6745,0.1239,6.223,5.078,3.311,26.69,2.0
170,0.678,0.124,6.494,5.368,3.379,26.26,2.0
171,0.6814,0.124,6.425,5.452,3.218,25.86,2.0
172,0.6855,0.1241,6.279,5.4,3.024,25.44,2.0
173,0.6897,0.1241,6.27,5.408,2.998,25.01,2.0
174,0.694,0.1242,6.22,5.392,2.93,24.59,2.0
175,0.6977,0.1243,6.547,5.803,2.846,24.13,2.0
176,0.7016,0.1243,6.602,5.868,2.844,23.7,2.0
177,0.7055,0.1244,6.6,5.883,2.812,23.27,2.0
178,0.7094,0.1245,6.597,5.894,2.786,22.84,2.0
179,0.7133,0.1245,6.585,5.899,2.754,22.42,2.0
180,0.7173,0.1246,6.569,5.898,2.726,21.99,2.0
181,0.7214,0.1247,6.565,5.906,2.703,21.57,2.0
182,0.7254,0.1248,6.554,5.908,2.677,21.15,2.0
183,0.7295,0.1248,6.536,5.908,2.642,20.74,2.0
184,0.7336,0.1249,6.531,5.915,2.619,20.32,2.0
185,0.7378,0.125,6.522,5.916,2.598,19.91,2.0
186,0.742,0.1251,6.508,5.914,2.573,19.5,2.0
187,0.7462,0.1252,6.499,5.915,2.551,19.09,2.0
188,0.7505,0.1253,6.487,5.914,2.525,18.68,2.0
189,0.7547,0.1254,6.477,5.915,2.499,18.27,2.0
190,0.759,0.1255,6.641,6.545,0.0,17.87,2.0
191,0.7636,0.1256,6.22,5.771,2.415,17.45,2.0
192,0.7679,0.1257,6.347,5.773,2.621,17.06,2.0
193,0.7721,0.1258,6.388,5.835,2.591,16.7,2.0
194,0.7758,0.1259,6.656,6.17,2.387,16.39,2.0
195,0.7802,0.126,6.615,6.011,2.614,16.12,2.0
196,0.7843,0.1261,6.598,5.986,2.638,15.91,2.0
197,0.7887,0.1261,6.613,5.911,2.679,15.75,2.0
198,0.793,0.1262,6.7,5.808,2.622,15.6,2.0
199,0.7974,0.1262,6.764,5.735,2.539,15.46,2.0
200,0.8019,0.1262,6.811,5.662,2.448,15.32,2.0
201,0.8065,0.1262,6.853,5.588,2.365,15.19,2.0
202,0.8111,0.1261,6.897,5.515,2.304,15.07,2.0
203,0.8157,0.1261,6.937,5.454,2.263,14.96,2.0
204,0.8204,0.1261,6.967,5.403,2.238,14.85,2.0
205,0.825,0.126,6.981,5.353,2.222,14.75,2.0
206,0.8296,0.126,6.997,5.312,2.212,14.66,2.0
207,0.8341,0.126,7.003,5.271,2.203,14.57,2.0
208,0.8386,0.1259,7.01,5.231,2.2,14.49,2.0
209,0.843,0.1259,7.008,5.186,2.201,14.42,2.0
210,0.8474,0.1258,7.015,5.15,2.206,14.36,2.0
211,0.8517,0.1258,7.009,5.108,2.209,14.3,2.0
212,0.8559,0.1258,7.009,5.071,2.217,14.26,2.0
213,0.86,0.1257,7.008,5.035,2.227,14.22,2.0
214,0.864,0.1257,6.995,4.991,2.234,14.19,2.0
215,0.8678,0.1256,6.988,4.955,2.24,14.17,2.0
216,0.8716,0.1256,6.971,4.912,2.246,14.16,2.0
217,0.8752,0.1256,6.955,4.871,2.252,14.16,2.0
218,0.8787,0.1256,6.939,4.832,2.26,14.16,2.0
219,0.8821,0.1255,6.915,4.786,2.269,14.18,2.0
220,0.8853,0.1255,6.895,4.744,2.277,14.21,2.0
221,0.8884,0.1255,6.872,4.702,2.284,14.24,2.0
222,0.8914,0.1255,6.738,4.545,2.293,14.29,2.0
223,0.8942,0.1255,6.522,4.302,2.308,14.34,2.0
224,0.8969,0.1255,6.351,4.109,2.319,14.39,2.0
225,0.8995,0.1255,6.184,3.926,2.325,14.46,2.0
226,0.9019,0.1255,5.989,3.719,2.326,14.52,2.0
227,0.9043,0.1255,5.81,3.529,2.327,14.59,2.0
228,0.9065,0.1255,5.632,3.345,2.323,14.67,2.0
229,0.9086,0.1256,5.441,3.154,2.315,14.74,2.0
230,0.9107,0.1256,5.268,2.98,2.307,14.82,2.0
231,0.9127,0.1257,5.097,2.813,2.295,14.9,2.0
232,0.9145,0.1257,4.916,2.637,2.279,14.99,2.0
233,0.9163,0.1258,4.743,2.475,2.258,15.07,2.0
234,0.9181,0.1258,4.569,2.316,2.232,15.15,2.0
235,0.9199,0.1259,5.296,4.653,0.602,15.23,2.0
236,0.9218,0.1259,5.753,5.36,0.409,15.29,2.0
237,0.9237,0.126,5.681,5.297,0.419,15.34,2.0
238,0.9255,0.126,5.539,5.057,0.492,15.4,2.0
239,0.9272,0.126,5.503,4.952,0.548,15.44,2.0
240,0.9288,0.126,5.497,4.871,0.618,15.48,2.0
241,0.9302,0.1261,5.505,4.819,0.675,15.51,2.0
242,0.9316,0.1261,5.501,4.755,0.734,15.54,2.0
243,0.9328,0.1261,5.496,4.691,0.791,15.57,2.0
244,0.934,0.1262,5.495,4.635,0.844,15.59,2.0
245,0.9352,0.1262,5.498,4.591,0.891,15.61,2.0
246,0.9362,0.1262,5.499,4.547,0.936,15.62,2.0
247,0.9372,0.1263,5.498,4.5,0.983,15.63,2.0
248,0.9382,0.1263,5.496,4.453,1.028,15.64,2.0
249,0.9391,0.1263,5.49,4.404,1.073,15.65,2.0
