step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0008,0.0124,3.12,3.237,0.0,40.4,2.0
1,0.0007,0.0124,2.3,1.242,0.0,40.4,2.0
2,0.0004,0.0125,0.0,0.0,0.0,40.4,2.0
3,0.0001,0.0125,0.0,0.0,0.0,40.4,2.0
4,0.0001,0.0125,0.68,0.593,0.0,40.4,2.0
5,0.0001,0.0125,0.868,0.78,0.0,40.4,2.0
6,0.0001,0.0125,0.986,0.908,0.0,40.4,2.0
7,0.0001,0.0125,1.094,1.027,0.0,40.4,2.0
8,0.0001,0.0125,1.196,1.139,0.0,40.4,2.0
9,0.0001,0.0125,1.293,1.243,0.0,40.4,2.0
10,0.0002,0.0125,1.376,1.332,0.0,40.4,2.0
11,0.0002,0.0125,0.842,1.263,0.0,40.4,2.0
12,-0.0001,0.0125,1.661,1.281,0.61,40.4,2.0
13,0.0002,0.0125,1.787,1.474,0.656,40.4,2.0
14,0.0003,0.0125,1.844,1.608,0.689,40.4,2.0
15,0.0005,0.0125,1.892,1.7,0.713,40.4,2.0
16,0.0007,0.0125,1.937,1.786,0.734,40.4,2.0
17,0.0009,0.0125,1.978,1.865,0.752,40.4,2.0
18,0.0011,0.0125,2.016,1.936,0.769,40.4,2.0
19,0.0013,0.0125,2.046,1.998,0.782,40.4,2.0
20,0.0016,0.0125,2.073,2.054,0.794,40.4,2.0
21,0.0018,0.0126,2.084,2.1,0.8,40.4,2.0
22,0.0021,0.0126,2.098,2.14,0.807,40.4,2.0
23,0.0023,0.0126,2.1,2.172,0.809,40.4,2.0
24,0.0001,0.0157,0.0,0.133,0.316,40.4,2.0
25,-0.0127,0.024,1.653,1.015,0.669,40.4,2.0
26,-0.0125,0.0351,1.798,1.127,0.673,40.4,2.0
27,-0.0123,0.0472,1.96,1.242,0.722,40.4,2.0
28,-0.0121,0.0595,2.048,1.304,0.749,40.4,2.0
29,-0.0119,0.0719,2.086,1.33,0.761,40.4,2.0
30,-0.0117,0.0844,2.095,1.336,0.763,40.4,2.0
31,-0.0115,0.0969,2.097,1.337,0.764,40.4,2.0
32,-0.0108,0.1061,3.267,2.141,1.139,40.4,2.0
33,-0.0102,0.1096,2.887,1.888,0.996,40.4,2.0
34,-0.0099,0.1109,2.426,1.572,0.855,40.4,2.0
35,-0.0097,0.1114,2.236,1.439,0.803,40.4,2.0
36,-0.0095,0.1116,2.162,1.385,0.782,40.4,2.0
37,-0.0093,0.1116,2.135,1.364,0.775,40.4,2.0
38,-0.0091,0.1117,2.121,1.354,0.771,40.4,2.0
39,-0.0089,0.1117,2.116,1.35,0.769,40.4,2.0
40,-0.0087,0.1117,2.116,1.349,0.769,40.4,2.0
41,-0.0086,0.1117,2.11,1.345,0.767,40.4,2.0
42,-0.0084,0.1117,2.11,1.345,0.767,40.4,2.0
43,-0.0082,0.1117,2.105,1.341,0.765,40.4,2.0
44,-0.0081,0.1117,2.104,1.34,0.765,40.4,2.0
45,-0.0079,0.1117,2.103,1.339,0.765,40.4,2.0
46,-0.0078,0.1117,2.103,1.338,0.764,40.4,2.0
47,-0.0076,0.1117,2.1,1.336,0.764,40.4,2.0
48,-0.0075,0.1117,2.098,1.335,0.763,40.4,2.0
49,-0.0074,0.1117,2.097,1.334,0.762,40.4,2.0
50,-0.0072,0.1117,2.093,1.331,0.761,40.4,2.0
51,-0.0071,0.1117,2.094,1.331,0.761,40.4,2.0
52,-0.007,0.1117,2.092,1.329,0.761,40.4,2.0
53,-0.0069,0.1117,2.091,1.328,0.76,40.4,2.0
