step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0,0.0124,2.282,2.113,1.402,40.4,2.0
1,0.0001,0.0124,1.451,1.075,1.718,40.4,2.0
2,-0.0,0.0124,0.0,0.474,2.135,40.4,2.0
3,-0.0001,0.0125,0.906,0.724,1.906,40.4,2.0
4,-0.0001,0.0125,1.073,0.863,1.879,40.4,2.0
5,-0.0,0.0125,1.233,1.032,1.849,40.4,2.0
6,0.0,0.0125,1.356,1.199,1.796,40.4,2.0
7,0.0001,0.0125,1.473,1.358,1.748,40.4,2.0
8,0.0001,0.0125,1.578,1.503,1.71,40.4,2.0
9,0.0002,0.0125,1.675,1.637,1.68,40.4,2.0
10,0.0002,0.0125,1.767,1.763,1.657,40.4,2.0
11,0.0002,0.0125,1.846,1.878,1.64,40.4,2.0
12,0.0003,0.0125,1.927,1.987,1.629,40.4,2.0
13,0.0003,0.0125,1.992,2.084,1.621,40.4,2.0
14,0.0003,0.0125,2.053,2.173,1.618,40.4,2.0
15,0.0003,0.0125,2.105,2.253,1.617,40.4,2.0
16,0.0004,0.0125,2.151,2.325,1.619,40.4,2.0
17,0.0004,0.0125,2.189,2.388,1.623,40.4,2.0
18,0.0004,0.0125,2.218,2.441,1.627,40.4,2.0
19,0.0004,0.0125,2.241,2.486,1.633,40.4,2.0
20,0.0004,0.0125,2.257,2.522,1.64,40.4,2.0
21,0.0004,0.0125,2.267,2.549,1.648,40.4,2.0
22,0.0004,0.0125,2.268,2.567,1.655,40.4,2.0
23,0.0004,0.0125,2.264,2.577,1.663,40.4,2.0
24,-0.0087,0.015,1.384,0.936,0.0,40.4,2.0
25,-0.1146,0.0197,0.0,0.198,0.0,40.4,2.0
26,-0.2585,0.026,1.497,1.509,0.0,40.4,2.0
27,-0.4279,0.0336,1.57,1.553,0.0,40.4,2.0
28,-0.594,0.0414,1.586,1.561,0.0,40.4,2.0
29,-0.7237,0.0504,1.615,1.568,0.0,40.4,2.0
30,-0.8481,0.0595,1.667,1.582,0.0,40.4,2.0
31,-0.9352,0.0697,1.783,1.639,0.0,40.4,2.0
32,-0.9647,0.0785,2.049,2.097,0.0,40.4,2.0
33,-0.9355,0.0833,0.0,0.078,0.0,40.4,2.0
34,-0.8599,0.0859,0.0,0.0,0.0,40.4,2.0
35,-0.7519,0.0856,0.0,0.0,0.0,40.4,2.0
36,-0.6551,0.0851,1.476,1.55,0.0,40.4,2.0
37,-0.6094,0.0869,1.382,1.411,0.0,40.4,2.0
38,-0.6021,0.0872,1.393,1.421,0.0,40.4,2.0
39,-0.6345,0.086,1.387,1.412,0.0,40.4,2.0
40,-0.7016,0.0835,1.378,1.397,0.0,40.4,2.0
41,-0.791,0.0801,1.361,1.382,0.0,40.4,2.0
42,-0.8838,0.0765,1.317,1.354,0.0,40.4,2.0
43,-0.9576,0.0736,1.281,1.324,0.0,40.4,2.0
44,-0.9914,0.0721,1.264,1.307,0.0,40.4,2.0
45,-0.9756,0.0723,1.255,1.298,0.0,40.4,2.0
46,-0.9151,0.0742,1.254,1.296,0.0,40.4,2.0
