step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0015,0.0124,11.186,5.757,7.168,43.17,2.0
1,-0.0003,0.0124,3.522,2.426,2.984,43.21,2.0
2,-0.0003,0.0124,3.068,2.636,2.321,43.21,2.0
3,-0.0002,0.0124,3.21,3.022,2.121,43.21,2.0
4,-0.0001,0.0124,3.469,3.476,2.02,43.21,2.0
5,-0.0001,0.0124,3.769,3.964,1.957,43.22,2.0
6,0.0,0.0124,4.072,4.476,1.909,43.22,2.0
7,0.0001,0.0124,4.372,5.004,1.871,43.22,2.0
8,0.0001,0.0124,4.67,5.539,1.842,43.23,2.0
9,0.0002,0.0124,4.96,6.078,1.819,43.23,2.0
10,0.0003,0.0124,5.239,6.615,1.801,43.24,2.0
11,0.0003,0.0124,5.504,7.146,1.789,43.24,2.0
12,0.0004,0.0124,5.755,7.668,1.781,43.25,2.0
13,0.0005,0.0124,5.99,8.176,1.777,43.25,2.0
14,0.0005,0.0124,6.21,8.668,1.777,43.26,2.0
15,0.0006,0.0124,6.412,9.143,1.781,43.27,2.0
16,0.0007,0.0124,6.597,9.598,1.787,43.27,2.0
17,0.0007,0.0124,6.971,10.0,1.844,43.28,2.0
18,0.0007,0.0124,7.148,10.397,1.894,43.29,2.0
19,0.0006,0.0124,7.288,10.759,1.94,43.3,2.0
20,0.0006,0.0124,7.4,11.077,1.99,43.3,2.0
21,0.0006,0.0124,7.499,11.434,2.005,43.31,2.0
22,0.0006,0.0124,7.567,11.742,2.018,43.31,2.0
23,0.0006,0.0124,7.615,12.05,2.01,43.32,2.0
24,0.0014,0.0142,3.976,2.543,1.386,43.33,2.0
25,0.0015,0.0218,3.52,2.383,1.133,43.35,2.0
26,0.0019,0.0325,3.197,2.269,0.947,43.37,2.0
27,0.0026,0.0442,3.004,2.177,0.854,43.39,2.0
28,0.0035,0.0564,2.9,2.118,0.812,43.41,2.0
29,0.0045,0.0687,2.841,2.078,0.792,43.43,2.0
30,0.0055,0.081,2.799,2.049,0.779,43.45,2.0
31,0.0065,0.0934,2.769,2.025,0.773,43.47,2.0
32,0.0094,0.1025,2.811,2.212,0.699,43.52,2.0
33,0.0102,0.1061,2.42,1.751,0.757,43.58,2.0
34,0.011,0.1073,2.532,1.795,0.758,43.6,2.0
35,0.0119,0.1077,2.575,1.796,0.8,43.62,2.0
36,0.0126,0.1078,2.606,1.803,0.823,43.64,2.0
37,0.0134,0.1077,2.614,1.801,0.831,43.66,2.0
38,0.014,0.1077,2.607,1.793,0.833,43.67,2.0
39,0.0147,0.1076,2.595,1.781,0.831,43.69,2.0
40,0.0153,0.1075,2.581,1.769,0.829,43.7,2.0
41,0.0159,0.1074,2.566,1.757,0.826,43.72,2.0
42,0.0165,0.1073,2.551,1.745,0.823,43.73,2.0
43,0.0171,0.1072,2.537,1.733,0.82,43.75,2.0
44,0.0176,0.1072,2.524,1.722,0.817,43.76,2.0
45,0.0181,0.1071,2.511,1.709,0.816,43.77,2.0
46,0.0187,0.107,2.498,1.699,0.814,43.79,2.0
47,0.0192,0.1069,2.486,1.688,0.811,43.8,2.0
48,0.0196,0.1069,2.474,1.679,0.809,43.81,2.0
49,0.0201,0.1068,2.463,1.67,0.807,43.83,2.0
50,0.0206,0.1067,2.453,1.661,0.805,43.84,2.0
51,0.021,0.1067,2.442,1.652,0.803,43.85,2.0
52,0.0215,0.1066,2.433,1.644,0.801,43.86,2.0
53,0.0219,0.1066,2.423,1.636,0.799,43.87,2.0
54,0.0223,0.1065,2.414,1.628,0.798,43.88,2.0
55,0.0227,0.1064,2.406,1.621,0.796,43.89,2.0
56,0.0231,0.1064,2.397,1.614,0.794,43.9,2.0
57,0.0235,0.1063,2.389,1.607,0.793,43.91,2.0
58,0.0146,0.106,0.83,0.0,0.367,44.94,2.0
59,0.0046,0.1056,5.078,4.102,2.539,46.35,2.0
60,-0.0042,0.1052,5.279,4.328,2.681,47.77,2.0
61,-0.0102,0.1048,5.153,4.325,2.49,49.12,2.0
