step,cos,z,f_thumb,f_index,f_middle
0,0.0009,0.0125,4.049,7.707,1.33
1,0.0005,0.0124,1.843,4.997,0.457
2,0.0004,0.0124,1.689,5.163,0.0
3,0.0005,0.0124,2.066,5.744,0.532
4,0.0005,0.0124,2.299,6.22,0.585
5,0.0006,0.0124,2.492,6.696,0.673
6,0.0006,0.0124,2.351,6.872,0.0
7,0.0007,0.0124,2.682,7.441,0.749
8,0.0007,0.0124,2.408,7.467,0.0
9,0.0007,0.0124,2.681,7.947,0.704
10,0.0008,0.0124,2.677,8.178,0.701
11,0.0008,0.0124,2.672,8.391,0.703
12,0.0008,0.0124,2.682,8.6,0.74
13,0.0008,0.0124,2.681,8.797,0.756
14,0.0009,0.0124,2.399,8.706,0.0
15,0.0009,0.0124,2.675,9.13,0.761
16,0.0009,0.0124,2.673,9.277,0.741
17,0.0009,0.0124,2.661,9.415,0.706
18,0.0009,0.0124,2.67,9.567,0.753
19,0.0009,0.0124,2.671,9.688,0.767
20,0.001,0.0124,2.67,9.802,0.769
21,0.001,0.0124,2.667,9.908,0.756
22,0.001,0.0124,2.397,9.725,0.0
23,0.001,0.0124,2.659,10.066,0.747
24,-0.0027,0.0153,1.832,1.347,0.511
25,-0.0015,0.024,1.554,1.083,0.519
26,-0.0003,0.0351,1.62,1.081,0.564
27,0.0008,0.0471,1.706,1.115,0.613
28,0.0019,0.0593,1.749,1.136,0.638
29,0.0029,0.0718,1.766,1.146,0.647
30,0.004,0.0842,1.77,1.148,0.649
31,0.005,0.0967,1.77,1.148,0.649
32,0.0058,0.1051,2.468,1.466,1.003
33,0.0069,0.1083,2.091,1.393,0.707
34,0.008,0.1095,1.876,1.311,0.603
35,0.0091,0.1099,1.777,1.261,0.564
36,0.0101,0.11,1.741,1.235,0.549
37,0.0112,0.1101,1.728,1.224,0.543
38,0.0121,0.1101,1.72,1.221,0.537
39,0.0131,0.1101,1.716,1.218,0.536
40,0.0141,0.1101,1.712,1.214,0.535
41,0.015,0.11,1.708,1.211,0.534
42,0.0159,0.11,1.704,1.208,0.533
43,0.0167,0.11,1.701,1.205,0.532
44,0.0176,0.11,1.697,1.203,0.532
45,0.0184,0.11,1.694,1.2,0.53
46,0.0192,0.11,1.691,1.202,0.527
47,0.02,0.11,1.687,1.199,0.526
48,0.0208,0.11,1.683,1.195,0.525
49,0.0216,0.1099,1.679,1.194,0.523
50,0.0223,0.1099,1.677,1.191,0.523
51,0.023,0.1099,1.674,1.189,0.522
52,0.0237,0.1099,1.671,1.187,0.521
53,0.0235,0.1099,1.754,1.228,0.548
54,0.0242,0.1099,1.703,1.208,0.531
55,0.0248,0.1099,1.677,1.19,0.523
56,0.0245,0.1098,1.755,1.225,0.549
57,0.0252,0.1098,1.701,1.206,0.53
58,0.0412,0.1098,2.244,1.918,1.22
59,0.0575,0.1099,0.0,0.237,0.206
60,0.0729,0.1099,5.5,3.798,2.719
61,0.0903,0.1099,5.333,3.45,2.695
62,0.1075,0.11,5.688,3.418,2.992
63,0.1248,0.1099,5.945,3.342,3.067
64,0.1421,0.1099,5.784,3.286,3.066
65,0.1597,0.11,5.675,3.194,2.882
66,0.1743,0.1101,7.401,4.436,3.001
67,0.1954,0.1103,8.739,3.247,6.023
68,0.2125,0.1105,6.926,2.839,5.333
69,0.227,0.1107,8.218,4.329,5.754
70,0.24,0.1109,9.34,5.47,6.02
71,0.2533,0.1111,9.054,5.403,5.656
72,0.2657,0.1114,8.915,4.946,5.178
73,0.2792,0.1117,8.426,5.212,4.935
74,0.2927,0.112,8.139,5.118,4.597
75,0.3078,0.1123,7.374,4.544,4.559
76,0.325,0.1125,6.089,3.197,3.387
77,0.341,0.1129,5.538,3.065,2.99
78,0.3545,0.1133,6.717,4.273,3.276
79,0.3672,0.1137,7.205,4.752,3.296
80,0.3829,0.1141,5.026,2.798,2.435
81,0.3949,0.1146,6.526,4.321,2.886
82,0.4105,0.115,4.322,2.286,2.068
83,0.4217,0.1155,6.155,4.087,2.622
84,0.4298,0.1159,7.123,4.208,2.942
85,0.4366,0.1164,7.249,4.146,3.078
86,0.442,0.1168,7.341,4.179,3.266
87,0.4501,0.1173,7.576,4.056,3.658
88,0.4593,0.1177,6.757,3.479,3.308
89,0.4666,0.1182,7.254,3.977,3.401
90,0.4722,0.1187,7.318,3.793,3.486
91,0.4763,0.1191,7.353,3.77,3.617
92,0.4796,0.1195,6.95,3.834,3.215
93,0.4879,0.1199,8.204,4.459,3.821
94,0.5011,0.1203,4.976,2.413,2.508
95,0.5136,0.1207,5.583,2.759,2.771
96,0.5259,0.1211,6.961,3.512,3.403
97,0.5373,0.1215,7.093,3.496,3.561
98,0.5486,0.1219,7.042,3.543,3.468
99,0.5573,0.1221,7.439,3.508,4.904
100,0.5652,0.1223,7.556,3.429,4.882
101,0.5708,0.1225,8.081,3.24,4.81
102,0.5693,0.1227,10.355,4.731,5.609
103,0.5683,0.1229,10.195,4.746,5.449
104,0.5667,0.123,9.222,5.104,4.185
105,0.5634,0.123,9.22,4.951,4.234
106,0.5586,0.123,9.081,4.959,4.225
107,0.5557,0.123,8.841,5.059,3.765
108,0.5551,0.1231,8.965,5.181,4.292
109,0.5552,0.1231,7.41,4.527,2.868
110,0.5563,0.1227,6.046,3.618,2.835
111,0.5585,0.122,4.49,2.144,2.277
112,0.5573,0.1214,4.713,2.544,2.256
113,0.559,0.1208,4.255,2.03,2.155
114,0.5524,0.1205,6.589,4.3,3.436
115,0.5544,0.1199,4.251,2.042,2.135
116,0.5555,0.1193,3.984,1.885,2.024
117,0.5564,0.1188,3.868,1.819,1.973
118,0.5512,0.1186,7.105,3.806,4.207
119,0.5516,0.1188,9.719,5.068,5.001
120,0.5577,0.1189,7.911,3.423,4.433
121,0.5633,0.1191,8.811,5.483,5.012
122,0.5709,0.1193,4.809,2.338,3.68
123,0.5761,0.1196,8.677,5.322,4.906
124,0.5832,0.1197,5.911,2.814,3.987
125,0.5893,0.12,8.161,4.764,4.758
126,0.5955,0.1201,7.579,3.481,4.403
127,0.6024,0.1202,8.433,3.905,4.595
128,0.6053,0.1204,5.495,2.022,3.453
129,0.6021,0.1205,9.416,4.983,4.378
130,0.6019,0.1202,6.208,3.658,3.238
131,0.6033,0.1197,4.063,2.064,2.018
132,0.599,0.1194,5.04,3.402,2.015
133,0.6002,0.1189,4.353,2.222,2.152
134,0.6009,0.1185,3.777,1.899,1.881
135,0.6013,0.1181,3.627,1.807,1.811
136,0.6002,0.1178,4.322,2.392,1.903
137,0.6001,0.1175,3.931,2.216,1.78
138,0.5982,0.1172,5.026,3.255,1.866
139,0.5956,0.1169,6.075,4.228,2.187
140,0.5972,0.1168,7.524,3.914,4.91
141,0.6009,0.117,7.971,5.957,3.608
142,0.6032,0.1172,7.807,5.23,3.38
143,0.605,0.1174,9.928,6.116,4.018
144,0.6077,0.1175,6.524,4.935,3.251
145,0.6094,0.1177,9.729,6.073,3.974
146,0.612,0.1179,6.531,5.031,3.358
147,0.616,0.1181,7.721,4.173,3.495
148,0.6239,0.1182,8.256,4.166,4.467
