step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0018,0.0125,7.866,9.839,2.342,59.25,2.0
1,0.0003,0.0124,2.422,4.247,0.0,59.27,2.0
2,0.0002,0.0124,2.427,4.192,0.29,59.28,2.0
3,0.0003,0.0124,2.53,4.42,0.333,59.28,2.0
4,0.0003,0.0124,2.659,4.696,0.424,59.28,2.0
5,0.0004,0.0124,2.8,4.923,0.487,59.28,2.0
6,0.0004,0.0124,2.943,5.174,0.582,59.28,2.0
7,0.0004,0.0124,3.079,5.436,0.651,59.29,2.0
8,0.0005,0.0124,3.22,5.705,0.716,59.29,2.0
9,0.0005,0.0124,3.366,5.975,0.783,59.3,2.0
10,0.0005,0.0124,3.502,6.244,0.835,59.3,2.0
11,0.0006,0.0124,3.635,6.518,0.886,59.31,2.0
12,0.0006,0.0124,3.764,6.79,0.934,59.31,2.0
13,0.0006,0.0124,3.889,7.06,0.98,59.32,2.0
14,0.0007,0.0124,4.009,7.324,1.023,59.32,2.0
15,0.0007,0.0124,4.111,7.562,1.021,59.33,2.0
16,0.0007,0.0124,4.202,7.738,0.966,59.33,2.0
17,0.0008,0.0124,4.337,8.048,1.106,59.34,2.0
18,0.0008,0.0124,4.455,8.272,1.165,59.34,2.0
19,0.0008,0.0124,4.543,8.491,1.203,59.35,2.0
20,0.0008,0.0124,4.591,8.656,1.143,59.36,2.0
21,0.0009,0.0124,4.701,8.855,1.211,59.36,2.0
22,0.0009,0.0124,4.763,9.025,1.249,59.36,2.0
23,0.001,0.0124,4.829,9.153,1.222,59.37,2.0
24,-0.001,0.0145,1.887,1.408,0.689,59.38,2.0
25,0.0005,0.0227,1.625,1.11,0.603,59.35,2.0
26,0.0019,0.0336,1.757,1.15,0.648,59.33,2.0
27,0.0033,0.0454,1.886,1.202,0.713,59.31,2.0
28,0.0046,0.0577,1.943,1.234,0.74,59.29,2.0
29,0.0059,0.0701,1.958,1.251,0.74,59.27,2.0
30,0.0072,0.0825,1.963,1.254,0.744,59.25,2.0
31,0.0085,0.0949,1.961,1.257,0.739,59.24,2.0
32,0.0099,0.1041,2.681,1.705,0.979,59.23,2.0
33,0.0115,0.1076,2.405,1.718,0.698,59.23,2.0
34,0.0131,0.1088,2.13,1.58,0.59,59.22,2.0
35,0.0146,0.1093,1.994,1.495,0.552,59.2,2.0
36,0.016,0.1094,1.933,1.451,0.538,59.19,2.0
37,0.0174,0.1094,1.907,1.429,0.533,59.18,2.0
38,0.0188,0.1094,1.895,1.416,0.533,59.16,2.0
39,0.0201,0.1094,1.888,1.406,0.535,59.15,2.0
40,0.0213,0.1094,1.881,1.395,0.539,59.13,2.0
41,0.0225,0.1093,1.879,1.391,0.54,59.12,2.0
42,0.0237,0.1093,1.872,1.388,0.537,59.11,2.0
43,0.0249,0.1093,1.869,1.38,0.541,59.1,2.0
44,0.026,0.1092,1.866,1.376,0.542,59.08,2.0
45,0.0269,0.1092,2.027,1.48,0.578,59.07,2.0
