step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,-0.0002,0.0125,0.0,0.0,0.0,59.77,2.0
1,-0.0001,0.0125,0.0,0.0,0.0,59.79,2.0
2,-0.0,0.0125,0.0,0.0,0.0,59.81,2.0
3,-0.0,0.0125,0.0,0.0,0.0,59.82,2.0
4,-0.0,0.0125,0.0,0.0,0.0,59.84,2.0
5,-0.0,0.0125,0.0,0.0,0.0,59.86,2.0
6,-0.0,0.0125,0.566,0.549,0.0,59.87,2.0
7,-0.0,0.0125,0.635,0.618,0.0,59.89,2.0
8,-0.0,0.0125,0.878,0.546,0.456,59.9,2.0
9,-0.0,0.0125,0.936,0.619,0.499,59.9,2.0
10,-0.0,0.0125,0.996,0.7,0.542,59.9,2.0
11,0.0,0.0125,1.051,0.776,0.586,59.9,2.0
12,0.0,0.0125,1.107,0.847,0.632,59.9,2.0
13,0.0,0.0125,1.154,0.912,0.674,59.9,2.0
14,0.0,0.0125,1.195,0.971,0.715,59.9,2.0
15,0.0,0.0125,1.234,1.026,0.755,59.9,2.0
16,0.0,0.0125,1.265,1.074,0.792,59.9,2.0
17,0.0,0.0125,1.291,1.117,0.827,59.9,2.0
18,0.0,0.0125,1.313,1.156,0.86,59.91,2.0
19,0.0,0.0125,1.33,1.19,0.889,59.91,2.0
20,0.0,0.0125,1.341,1.219,0.916,59.91,2.0
21,0.0,0.0125,1.347,1.242,0.94,59.91,2.0
22,0.0,0.0125,1.347,1.26,0.962,59.91,2.0
23,0.0,0.0125,1.343,1.272,0.98,59.91,2.0
24,-0.0008,0.0155,1.277,0.486,0.609,59.93,2.0
25,-0.0015,0.0243,1.252,0.544,0.715,59.95,2.0
26,-0.0007,0.0355,1.397,0.606,0.776,59.95,2.0
27,-0.001,0.0475,1.405,0.597,0.796,59.95,2.0
28,-0.0012,0.0598,1.447,0.623,0.814,59.95,2.0
29,-0.0014,0.0723,1.471,0.635,0.826,59.95,2.0
30,-0.0017,0.0847,1.482,0.64,0.832,59.95,2.0
31,-0.0019,0.0972,1.486,0.643,0.834,59.95,2.0
32,-0.0023,0.1064,2.418,0.997,1.443,59.97,2.0
33,-0.003,0.11,2.183,0.965,1.217,59.99,2.0
34,-0.0034,0.1113,1.817,0.823,0.995,60.0,2.0
35,-0.0036,0.1117,1.637,0.751,0.893,60.01,2.0
