step,cos,z,f_thumb,f_index,f_middle
0,-0.0016,0.0124,11.395,3.156,9.813
1,-0.0009,0.0124,3.829,2.102,2.992
2,-0.0003,0.0124,3.924,3.681,1.652
3,0.0001,0.0124,4.296,5.16,0.933
4,0.0004,0.0124,4.734,6.433,0.817
5,0.0006,0.0124,5.099,6.99,0.822
6,0.0005,0.0124,5.363,7.394,0.76
7,0.0005,0.0124,5.583,7.804,0.825
8,0.0006,0.0124,5.736,8.107,0.822
9,0.0006,0.0124,5.689,8.08,0.0
10,0.0005,0.0124,5.972,8.677,0.746
11,0.0005,0.0124,6.083,8.933,0.75
12,0.0005,0.0124,6.201,9.186,0.741
13,0.0005,0.0124,6.113,9.126,0.0
14,0.0005,0.0124,6.329,9.656,0.702
15,0.0004,0.0124,6.367,9.883,0.67
16,0.0004,0.0124,6.377,10.151,0.691
17,0.0004,0.0124,6.175,10.377,0.664
18,0.0005,0.0124,5.875,10.673,0.681
19,0.0005,0.0124,5.505,10.861,0.669
20,0.0004,0.0124,5.073,11.038,0.678
21,0.0005,0.0124,4.719,11.2,0.771
22,0.0005,0.0124,4.577,11.412,0.724
23,0.0005,0.0124,4.357,11.032,0.669
24,-0.0018,0.0149,1.912,1.595,0.326
25,-0.0049,0.0231,1.705,1.442,0.326
26,-0.003,0.034,1.702,1.414,0.286
27,-0.001,0.0459,1.816,1.477,0.314
28,0.0009,0.0582,1.896,1.525,0.345
29,0.0028,0.0706,1.925,1.548,0.355
30,0.0047,0.083,1.937,1.546,0.37
31,0.0065,0.0954,1.938,1.536,0.384
32,0.0088,0.1038,2.739,2.25,0.633
33,0.011,0.107,2.393,2.047,0.342
34,0.013,0.1082,2.083,1.796,0.266
35,0.0141,0.1085,1.943,1.668,0.312
36,0.0157,0.1087,1.939,1.615,0.314
37,0.0173,0.1087,1.91,1.571,0.328
38,0.0188,0.1087,1.905,1.537,0.357
39,0.0202,0.1086,1.91,1.496,0.404
40,0.0215,0.1086,1.916,1.464,0.442
41,0.0227,0.1086,1.92,1.446,0.463
42,0.0239,0.1085,1.92,1.427,0.483
43,0.025,0.1085,1.921,1.41,0.501
44,0.0261,0.1084,1.921,1.395,0.516
45,0.0271,0.1084,1.919,1.39,0.518
46,0.0281,0.1084,1.917,1.378,0.529
47,0.0291,0.1083,1.919,1.351,0.557
48,0.03,0.1083,1.914,1.357,0.547
49,0.0309,0.1083,1.912,1.344,0.558
50,0.0317,0.1082,1.91,1.332,0.568
51,0.0325,0.1082,1.908,1.323,0.575
52,0.0333,0.1082,1.909,1.296,0.602
53,0.034,0.1081,1.903,1.311,0.582
54,0.0348,0.1081,1.904,1.297,0.596
55,0.0354,0.1081,1.901,1.289,0.6
56,0.0361,0.1081,1.897,1.287,0.6
57,0.0368,0.108,1.895,1.282,0.602
58,0.0533,0.1079,2.692,1.722,1.621
59,0.0671,0.1078,2.743,1.833,1.815
60,0.0807,0.1078,3.189,2.092,2.119
61,0.0951,0.1079,6.564,5.016,2.85
62,0.1083,0.108,7.838,3.083,6.297
63,0.1219,0.1081,7.709,3.024,6.243
64,0.1356,0.1083,7.713,3.026,6.282
65,0.148,0.1085,8.69,3.638,6.932
66,0.1619,0.1087,7.792,3.067,6.396
67,0.176,0.1089,7.654,3.013,6.177
68,0.1884,0.1092,8.573,3.605,6.26
69,0.1997,0.1095,8.361,14.856,5.981
70,0.214,0.1098,7.203,6.845,5.29
71,0.2284,0.1102,6.975,5.69,4.964
72,0.2428,0.1105,6.78,4.929,4.661
73,0.2571,0.1109,6.58,4.339,4.362
74,0.2711,0.1113,6.388,3.883,4.079
75,0.2848,0.1118,6.831,1.992,4.072
76,0.2984,0.1122,6.049,1.713,3.592
77,0.3115,0.1127,5.863,1.7,3.36
78,0.3243,0.1132,5.721,1.723,3.169
79,0.3364,0.1137,7.809,2.599,3.775
80,0.3482,0.1141,7.768,2.615,3.648
81,0.3598,0.1146,7.685,2.599,3.528
82,0.3712,0.1151,8.102,2.471,4.478
83,0.3836,0.1155,8.444,2.515,4.566
84,0.3957,0.116,8.362,2.501,4.426
85,0.4074,0.1164,8.341,2.521,4.336
86,0.4188,0.1169,8.339,2.531,4.265
87,0.4297,0.1174,8.242,3.546,4.178
88,0.4401,0.1179,8.291,3.744,4.145
89,0.45,0.1184,8.284,3.785,4.103
90,0.4593,0.1189,8.267,4.115,4.065
91,0.4682,0.1194,8.287,4.253,4.049
92,0.4766,0.1199,8.296,4.247,4.034
93,0.4838,0.1203,8.239,5.042,3.215
94,0.4935,0.1206,6.994,4.741,2.716
95,0.4988,0.1204,8.2,5.753,2.458
96,0.5039,0.1201,7.204,5.212,3.199
97,0.5094,0.1198,7.294,5.205,3.744
98,0.514,0.1199,8.946,5.333,7.337
99,0.5235,0.1199,9.028,4.908,6.942
