step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,-0.0002,0.0124,12.094,6.721,1.079,60.3,2.0
1,0.0002,0.0124,5.431,2.3,0.307,60.32,2.0
2,0.0002,0.0124,4.776,2.518,0.185,60.33,2.0
3,0.0003,0.0124,4.17,2.704,0.166,60.33,2.0
4,0.0002,0.0124,3.665,2.854,0.168,60.35,2.0
5,0.0002,0.0124,3.404,3.031,0.183,60.36,2.0
6,0.0002,0.0124,3.434,3.242,0.209,60.37,2.0
7,0.0002,0.0124,3.788,3.578,0.31,60.38,2.0
8,0.0003,0.0124,4.16,4.01,0.431,60.4,2.0
9,0.0003,0.0124,4.408,4.355,0.476,60.41,2.0
10,0.0003,0.0124,4.643,4.677,0.522,60.42,2.0
11,0.0003,0.0124,4.848,4.968,0.514,60.43,2.0
12,0.0003,0.0124,5.073,5.311,0.589,60.44,2.0
13,0.0003,0.0124,5.291,5.621,0.624,60.45,2.0
14,0.0003,0.0124,5.466,5.897,0.587,60.46,2.0
15,0.0003,0.0124,5.665,6.23,0.658,60.47,2.0
16,0.0003,0.0124,5.848,6.517,0.673,60.48,2.0
17,0.0003,0.0124,6.026,6.795,0.696,60.48,2.0
18,0.0003,0.0124,6.188,7.063,0.711,60.49,2.0
19,0.0003,0.0124,6.332,7.321,0.691,60.5,2.0
20,0.0003,0.0124,6.47,7.511,0.668,60.5,2.0
21,0.0003,0.0124,6.576,7.602,0.614,60.5,2.0
22,0.0002,0.0124,6.688,7.683,0.588,60.49,2.0
23,0.0002,0.0124,6.777,7.475,0.502,60.47,2.0
24,0.0016,0.0144,2.145,1.526,0.788,60.47,2.0
25,0.0031,0.0225,1.816,1.195,0.681,60.46,2.0
26,0.0046,0.0333,1.925,1.197,0.731,60.45,2.0
27,0.0061,0.0452,2.041,1.261,0.772,60.45,2.0
28,0.0075,0.0574,2.092,1.294,0.791,60.46,2.0
29,0.009,0.0697,2.108,1.306,0.795,60.47,2.0
30,0.0104,0.0821,2.105,1.311,0.788,60.48,2.0
31,0.0118,0.0945,2.095,1.322,0.766,60.49,2.0
32,0.0136,0.1036,2.772,1.859,0.978,60.53,2.0
33,0.0154,0.1071,2.457,1.752,0.697,60.57,2.0
34,0.0171,0.1083,2.193,1.595,0.591,60.59,2.0
35,0.0187,0.1088,2.086,1.512,0.574,60.6,2.0
36,0.0201,0.1089,2.046,1.46,0.583,60.61,2.0
37,0.0214,0.1089,2.022,1.455,0.562,60.62,2.0
38,0.0227,0.1088,2.013,1.435,0.573,60.63,2.0
39,0.0239,0.1088,2.008,1.414,0.59,60.63,2.0
40,0.0251,0.1087,2.002,1.406,0.592,60.64,2.0
41,0.0263,0.1087,1.998,1.39,0.603,60.65,2.0
42,0.0273,0.1086,1.993,1.376,0.613,60.65,2.0
43,0.0284,0.1086,1.991,1.36,0.628,60.66,2.0
44,0.0294,0.1085,1.987,1.347,0.636,60.66,2.0
45,0.0303,0.1085,1.982,1.337,0.641,60.67,2.0
46,0.0312,0.1084,1.976,1.332,0.64,60.67,2.0
47,0.0321,0.1084,1.971,1.324,0.643,60.68,2.0
48,0.0329,0.1084,1.966,1.317,0.645,60.69,2.0
49,0.0337,0.1083,1.961,1.311,0.647,60.69,2.0
50,0.0345,0.1083,1.955,1.312,0.64,60.69,2.0
51,0.0353,0.1082,1.95,1.307,0.64,60.7,2.0
52,0.036,0.1082,1.948,1.298,0.647,60.7,2.0
53,0.0368,0.1082,1.943,1.293,0.647,60.71,2.0
54,0.0375,0.1081,1.938,1.289,0.646,60.71,2.0
55,0.0381,0.1081,1.928,1.301,0.625,60.72,2.0
56,0.0388,0.1081,1.927,1.293,0.631,60.72,2.0
57,0.0394,0.108,1.93,1.263,0.664,60.72,2.0
58,0.0498,0.1082,8.576,3.242,6.844,59.97,2.0
59,0.0607,0.1083,9.003,3.242,7.457,59.33,2.0
60,0.0723,0.1084,8.439,3.275,7.035,58.83,2.0
61,0.0843,0.1085,8.28,3.206,6.992,58.38,2.0
62,0.0965,0.1086,8.342,3.213,7.127,57.98,2.0
63,0.1089,0.1088,8.436,3.236,7.265,57.63,2.0
64,0.1215,0.109,8.504,3.259,7.361,57.35,2.0
65,0.1343,0.1092,8.53,3.274,7.41,57.13,2.0
66,0.1475,0.1094,8.524,3.247,7.263,56.94,2.0
67,0.1609,0.1097,8.389,3.188,6.99,56.75,2.0
68,0.1747,0.1099,8.23,3.131,6.693,56.54,2.0
69,0.1887,0.1103,8.044,3.068,6.373,56.33,2.0
70,0.2029,0.1106,7.845,3.008,6.04,56.11,2.0
71,0.2172,0.111,7.62,2.944,5.694,55.88,2.0
72,0.2317,0.1114,7.352,2.864,5.33,55.64,2.0
73,0.2462,0.1118,7.111,2.807,4.98,55.4,2.0
74,0.2603,0.1123,7.371,3.175,4.857,55.16,2.0
75,0.2739,0.1127,8.806,4.549,5.182,54.9,2.0
76,0.2874,0.1131,8.662,4.569,4.915,54.65,2.0
77,0.3009,0.1136,8.494,4.546,4.666,54.42,2.0
78,0.3142,0.114,8.31,4.499,4.416,54.2,2.0
79,0.3274,0.1145,8.162,4.471,4.216,53.99,2.0
80,0.3403,0.115,8.019,4.442,4.029,53.77,2.0
81,0.3528,0.1155,7.889,4.413,3.859,53.52,2.0
82,0.365,0.116,7.769,4.386,3.705,53.23,2.0
83,0.3773,0.1166,8.651,4.174,5.044,52.92,2.0
84,0.3906,0.1171,8.481,4.143,4.802,52.57,2.0
85,0.4036,0.1176,8.434,4.136,4.672,52.18,2.0
86,0.4161,0.1181,8.397,4.124,4.558,51.76,2.0
87,0.4282,0.1186,8.384,4.119,4.477,51.31,2.0
88,0.4398,0.1192,8.362,4.114,4.408,50.82,2.0
89,0.4509,0.1197,8.341,4.111,4.352,50.3,2.0
90,0.4616,0.1203,8.322,4.107,4.306,49.75,2.0
91,0.4718,0.1208,8.308,4.105,4.268,49.18,2.0
92,0.4815,0.1214,8.296,4.101,4.238,48.58,2.0
93,0.4907,0.1219,8.296,4.099,4.218,47.96,2.0
94,0.4989,0.1224,8.184,4.485,3.679,47.37,2.0
95,0.5057,0.1228,8.377,5.481,2.901,46.91,2.0
96,0.5098,0.1229,7.081,7.162,1.9,46.72,2.0
97,0.5144,0.123,6.659,7.176,4.291,46.46,2.0
98,0.5174,0.1231,6.574,6.248,5.674,46.27,2.0
99,0.5206,0.1231,6.853,7.137,3.995,46.12,2.0
100,0.5234,0.1232,6.983,6.797,4.284,45.91,2.0
101,0.5261,0.1232,4.91,6.984,0.0,45.68,2.0
102,0.5314,0.1234,6.835,6.735,4.288,45.38,2.0
103,0.5344,0.1234,7.218,7.338,3.516,45.09,2.0
104,0.5402,0.1237,6.311,6.774,3.619,44.74,2.0
105,0.5453,0.1238,6.374,6.856,3.856,44.35,2.0
106,0.5496,0.124,7.002,7.179,3.175,43.93,2.0
107,0.5568,0.1243,7.647,7.936,3.574,43.25,2.0
108,0.5636,0.1245,6.539,7.122,3.307,42.84,2.0
109,0.5694,0.1246,5.003,4.989,0.0,42.19,2.0
110,0.5777,0.125,7.018,7.106,3.524,41.57,2.0
111,0.5861,0.1253,6.2,5.839,2.384,40.94,2.0
112,0.5987,0.1253,6.094,4.17,3.146,39.69,2.0
113,0.6109,0.1251,6.105,4.601,2.643,38.31,2.0
114,0.6233,0.125,6.528,5.294,2.823,36.95,2.0
115,0.6349,0.1248,2.89,0.0,2.599,35.75,2.0
116,0.6456,0.1247,3.761,0.0,3.372,34.63,2.0
117,0.6531,0.1246,5.109,4.903,0.0,33.5,2.0
118,0.6659,0.1247,6.617,5.393,3.467,32.33,2.0
119,0.6747,0.1246,6.028,5.865,0.0,31.18,2.0
120,0.6867,0.1247,6.368,6.073,0.0,30.06,2.0
121,0.6991,0.1247,6.183,6.075,0.0,28.99,2.0
122,0.7096,0.1248,7.01,5.416,4.07,28.21,2.0
123,0.7155,0.1247,6.68,5.94,2.549,27.79,2.0
124,0.7207,0.1245,7.018,4.829,2.595,27.57,2.0
125,0.7263,0.1243,7.2,4.888,2.657,27.41,2.0
126,0.7319,0.1241,7.117,4.798,2.657,27.26,2.0
127,0.7374,0.124,7.016,4.697,2.647,27.11,2.0
128,0.7427,0.1238,6.945,4.61,2.649,26.97,2.0
129,0.748,0.1237,6.878,4.525,2.654,26.83,2.0
130,0.753,0.1236,6.804,4.435,2.653,26.7,2.0
131,0.7579,0.1235,6.723,4.339,2.647,26.58,2.0
132,0.7626,0.1234,6.642,4.244,2.638,26.46,2.0
133,0.7671,0.1233,6.574,4.167,2.62,26.35,2.0
134,0.7713,0.1233,6.508,4.099,2.596,26.25,2.0
135,0.7753,0.1233,6.442,4.029,2.571,26.16,2.0
136,0.7789,0.1233,6.369,3.955,2.539,26.08,2.0
137,0.7822,0.1233,6.324,3.896,2.497,26.02,2.0
138,0.7851,0.1233,6.303,3.876,2.446,25.98,2.0
139,0.7876,0.1233,6.332,3.928,2.387,25.95,2.0
140,0.7898,0.1234,6.372,3.985,2.359,25.94,2.0
