step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,-0.001,0.0123,6.884,13.756,0.0,60.19,2.0
1,-0.0,0.0124,1.206,6.794,0.0,60.2,2.0
2,0.0003,0.0124,0.0,6.76,0.0,60.2,2.0
3,0.0003,0.0124,0.0,6.431,0.356,60.2,2.0
4,0.0001,0.0124,0.778,5.741,1.106,60.19,2.0
5,0.0001,0.0124,1.121,5.748,1.241,60.18,2.0
6,0.0001,0.0124,1.447,5.977,1.14,60.18,2.0
7,0.0001,0.0124,1.767,6.3,0.966,60.17,2.0
8,0.0002,0.0124,2.089,6.612,0.828,60.17,2.0
9,0.0002,0.0124,2.407,6.877,0.756,60.16,2.0
10,0.0003,0.0124,2.721,7.088,0.734,60.15,2.0
11,0.0003,0.0124,3.031,7.258,0.74,60.14,2.0
12,0.0003,0.0124,3.332,7.392,0.754,60.13,2.0
13,0.0003,0.0124,3.624,7.487,0.769,60.12,2.0
14,0.0003,0.0124,3.905,7.55,0.779,60.11,2.0
15,0.0003,0.0124,4.175,7.581,0.785,60.1,2.0
16,0.0002,0.0124,4.431,7.579,0.789,60.08,2.0
17,0.0002,0.0124,4.675,7.548,0.797,60.06,2.0
18,0.0002,0.0124,4.933,7.403,0.805,60.04,2.0
19,0.0001,0.0124,5.15,7.114,0.937,60.02,2.0
20,0.0,0.0124,5.372,6.954,1.044,60.0,2.0
21,-0.0001,0.0124,5.564,6.681,1.222,59.98,2.0
22,-0.0001,0.0124,5.754,6.466,1.376,59.96,2.0
23,-0.0002,0.0124,5.928,6.204,1.562,59.93,2.0
24,0.0013,0.0145,2.063,1.369,0.953,59.92,2.0
25,0.0027,0.0227,1.811,1.143,0.757,59.9,2.0
26,0.0042,0.0335,1.926,1.184,0.766,59.89,2.0
27,0.0057,0.0454,2.038,1.248,0.8,59.89,2.0
28,0.0072,0.0576,2.09,1.286,0.816,59.89,2.0
29,0.0087,0.0699,2.104,1.299,0.819,59.9,2.0
30,0.0101,0.0823,2.102,1.299,0.817,59.91,2.0
31,0.0115,0.0947,2.094,1.296,0.813,59.92,2.0
32,0.0132,0.1038,2.844,1.72,1.163,59.96,2.0
33,0.015,0.1073,2.484,1.664,0.813,60.0,2.0
34,0.0166,0.1085,2.21,1.531,0.687,60.02,2.0
35,0.0181,0.1089,2.096,1.462,0.65,60.03,2.0
36,0.0195,0.109,2.049,1.423,0.643,60.04,2.0
