step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0035,0.0125,6.403,13.001,0.0,60.21,2.0
1,0.0003,0.0124,1.162,6.555,0.0,60.2,2.0
2,0.0004,0.0124,1.122,6.56,0.0,60.21,2.0
3,0.0004,0.0124,1.319,6.582,0.0,60.23,2.0
4,0.0004,0.0124,1.694,6.66,0.482,60.23,2.0
5,0.0005,0.0124,1.996,6.916,0.543,60.24,2.0
6,0.0006,0.0124,2.285,7.271,0.631,60.24,2.0
7,0.0006,0.0124,2.584,7.485,0.684,60.24,2.0
8,0.0006,0.0124,2.876,7.688,0.72,60.25,2.0
9,0.0006,0.0124,3.174,7.916,0.814,60.26,2.0
10,0.0007,0.0124,3.47,8.126,0.83,60.26,2.0
11,0.0006,0.0124,3.757,8.374,0.897,60.27,2.0
12,0.0006,0.0124,4.032,8.62,0.942,60.29,2.0
13,0.0007,0.0124,4.094,8.349,0.0,60.3,2.0
14,0.0007,0.0124,4.569,9.068,0.988,60.31,2.0
15,0.0007,0.0124,4.835,9.284,1.046,60.32,2.0
16,0.0006,0.0124,5.058,9.515,1.043,60.33,2.0
17,0.0007,0.0124,5.078,9.147,0.0,60.34,2.0
18,0.0007,0.0124,5.524,9.918,1.088,60.35,2.0
19,0.0006,0.0124,5.713,10.122,1.107,60.37,2.0
20,0.0006,0.0124,5.854,10.224,0.957,60.37,2.0
21,0.0006,0.0124,6.067,10.472,1.092,60.38,2.0
22,0.0005,0.0124,6.203,10.632,1.088,60.39,2.0
23,0.0006,0.0124,6.356,10.768,1.069,60.4,2.0
24,0.0014,0.0142,2.356,1.833,0.788,60.41,2.0
25,0.0032,0.0221,2.002,1.411,0.659,60.39,2.0
26,0.0049,0.0329,2.042,1.364,0.687,60.38,2.0
27,0.0066,0.0447,2.113,1.383,0.73,60.38,2.0
28,0.0083,0.0569,2.143,1.395,0.75,60.39,2.0
29,0.0099,0.0692,2.146,1.403,0.745,60.39,2.0
30,0.0115,0.0816,2.14,1.395,0.749,60.4,2.0
31,0.0131,0.094,2.13,1.388,0.748,60.41,2.0
32,0.015,0.1031,2.6,1.793,0.868,60.45,2.0
33,0.0169,0.1066,2.332,1.69,0.637,60.49,2.0
34,0.0185,0.1078,2.16,1.593,0.572,60.51,2.0
35,0.02,0.1082,2.101,1.517,0.597,60.52,2.0
36,0.0214,0.1084,2.074,1.477,0.611,60.53,2.0
37,0.0227,0.1084,2.061,1.451,0.621,60.53,2.0
38,0.024,0.1083,2.053,1.431,0.632,60.54,2.0
39,0.0251,0.1083,2.048,1.412,0.646,60.55,2.0
40,0.0263,0.1082,2.035,1.412,0.634,60.55,2.0
41,0.0273,0.1082,2.033,1.396,0.649,60.56,2.0
42,0.0283,0.1081,2.035,1.36,0.685,60.56,2.0
43,0.0293,0.1081,2.026,1.358,0.678,60.57,2.0
44,0.0302,0.108,2.015,1.354,0.673,60.57,2.0
45,0.0311,0.108,2.017,1.34,0.687,60.58,2.0
46,0.032,0.1079,2.007,1.337,0.68,60.58,2.0
47,0.0328,0.1079,2.001,1.329,0.682,60.58,2.0
48,0.0337,0.1078,1.996,1.319,0.687,60.59,2.0
49,0.0344,0.1078,1.98,1.338,0.654,60.59,2.0
50,0.0352,0.1077,1.979,1.328,0.663,60.6,2.0
51,0.036,0.1077,1.978,1.311,0.678,60.6,2.0
52,0.0367,0.1077,1.975,1.296,0.69,60.61,2.0
53,0.0374,0.1076,1.972,1.279,0.703,60.61,2.0
54,0.038,0.1076,1.969,1.263,0.715,60.61,2.0
55,0.0386,0.1075,1.959,1.284,0.685,60.62,2.0
56,0.0392,0.1075,1.952,1.29,0.674,60.62,2.0
57,0.0399,0.1075,1.948,1.283,0.675,60.62,2.0
58,0.0496,0.1076,8.258,3.506,8.103,60.27,2.0
59,0.0602,0.1076,8.858,3.599,8.402,60.14,2.0
60,0.071,0.1077,8.851,3.536,8.324,60.02,2.0
61,0.0819,0.1078,8.866,3.497,8.237,59.9,2.0
62,0.0931,0.1078,8.875,3.457,8.138,59.76,2.0
63,0.1046,0.108,8.849,3.413,8.002,59.61,2.0
64,0.1164,0.1081,8.782,3.352,7.791,59.46,2.0
65,0.1285,0.1082,8.721,3.311,7.606,59.29,2.0
66,0.1409,0.1084,8.633,3.268,7.392,59.11,2.0
67,0.1536,0.1086,8.524,3.222,7.153,58.92,2.0
68,0.1667,0.1089,8.386,3.175,6.885,58.71,2.0
69,0.1801,0.1091,8.225,3.126,6.596,58.49,2.0
70,0.1937,0.1094,8.053,3.086,6.292,58.26,2.0
71,0.2075,0.1097,7.859,3.042,5.972,58.03,2.0
72,0.2215,0.1101,7.644,2.995,5.641,57.79,2.0
73,0.2355,0.1105,7.381,2.926,5.29,57.54,2.0
74,0.2496,0.1109,7.159,2.879,4.959,57.29,2.0
75,0.2637,0.1113,6.943,2.845,4.644,57.05,2.0
76,0.2775,0.1118,6.738,2.812,4.343,56.81,2.0
77,0.2912,0.1123,6.651,2.883,4.104,56.58,2.0
78,0.3045,0.1128,7.76,3.96,4.33,56.34,2.0
79,0.3176,0.1132,8.355,4.558,4.359,56.06,2.0
80,0.3306,0.1137,8.225,4.539,4.163,55.75,2.0
81,0.3433,0.1142,8.072,4.501,3.976,55.41,2.0
82,0.3561,0.1147,9.01,4.256,5.41,55.04,2.0
83,0.3697,0.1151,8.858,4.231,5.17,54.64,2.0
84,0.3831,0.1156,8.629,4.186,4.891,54.19,2.0
85,0.3963,0.1161,8.447,4.138,4.658,53.71,2.0
86,0.4091,0.1166,8.29,4.089,4.459,53.19,2.0
87,0.4216,0.1171,8.138,4.039,4.279,52.64,2.0
88,0.4337,0.1176,8.032,4.002,4.144,52.06,2.0
89,0.4453,0.1181,8.011,3.996,4.087,51.45,2.0
90,0.4565,0.1187,8.005,3.996,4.053,50.81,2.0
91,0.4671,0.1192,7.999,3.995,4.025,50.14,2.0
92,0.4772,0.1198,8.011,4.0,4.013,49.46,2.0
93,0.4868,0.1203,7.905,3.951,3.977,48.76,2.0
94,0.4947,0.1207,7.495,3.997,4.549,48.12,2.0
95,0.5007,0.121,7.349,4.958,5.959,47.63,2.0
96,0.5059,0.1207,3.333,0.0,2.96,47.1,2.0
97,0.511,0.1204,6.534,5.489,4.694,46.43,2.0
98,0.5167,0.1201,6.429,5.607,4.451,45.8,2.0
99,0.5229,0.1199,6.485,5.536,4.805,45.16,2.0
100,0.5282,0.1197,6.364,5.55,4.729,44.55,2.0
101,0.5347,0.1194,6.329,5.485,4.881,43.91,2.0
102,0.5414,0.1192,6.287,5.487,4.942,43.27,2.0
103,0.5483,0.1191,6.289,5.454,5.064,42.62,2.0
104,0.556,0.1189,5.278,0.0,4.995,42.01,2.0
105,0.5636,0.1187,5.519,0.0,5.244,41.36,2.0
106,0.5713,0.1186,5.587,0.0,5.333,40.72,2.0
107,0.5794,0.1185,5.83,0.0,5.581,40.07,2.0
108,0.5878,0.1184,6.85,5.443,5.966,39.42,2.0
109,0.5963,0.1183,6.432,5.552,5.392,38.78,2.0
110,0.6052,0.1182,6.721,5.202,6.142,38.14,2.0
111,0.6142,0.1181,6.519,5.036,6.128,37.52,2.0
112,0.6233,0.118,6.82,0.0,6.588,36.93,2.0
113,0.6322,0.118,7.238,5.005,7.002,36.33,2.0
114,0.6414,0.1179,6.314,5.085,5.922,35.74,2.0
115,0.6509,0.1179,7.326,0.0,7.103,35.15,2.0
116,0.66,0.1179,7.197,4.764,7.151,34.58,2.0
117,0.6693,0.1179,6.465,0.0,6.243,34.03,2.0
118,0.6761,0.1179,7.503,4.507,7.581,33.73,2.0
119,0.6811,0.1179,5.907,5.652,3.839,33.72,2.0
120,0.687,0.1177,6.067,5.172,2.636,33.76,2.0
121,0.6935,0.1175,6.353,4.226,2.574,33.78,2.0
122,0.6984,0.1172,7.0,4.576,2.698,33.7,2.0
123,0.7023,0.1169,6.884,4.507,2.668,33.55,2.0
124,0.7062,0.1166,7.362,5.02,2.711,33.36,2.0
125,0.7101,0.1164,7.547,5.192,2.743,33.18,2.0
126,0.7141,0.1161,7.58,5.212,2.765,33.0,2.0
127,0.718,0.1159,7.555,5.17,2.786,32.82,2.0
128,0.7219,0.1157,7.511,5.108,2.804,32.64,2.0
129,0.7258,0.1155,7.461,5.042,2.82,32.45,2.0
130,0.7295,0.1153,7.413,4.98,2.837,32.27,2.0
131,0.7332,0.1152,7.366,4.917,2.853,32.09,2.0
132,0.7368,0.115,7.317,4.853,2.865,31.91,2.0
133,0.7403,0.1149,7.268,4.789,2.877,31.73,2.0
134,0.7436,0.1148,7.206,4.72,2.879,31.55,2.0
135,0.7468,0.1147,7.12,4.636,2.87,31.38,2.0
136,0.7499,0.1146,7.039,4.553,2.861,31.21,2.0
137,0.7528,0.1146,6.981,4.464,2.883,31.04,2.0
138,0.7556,0.1146,6.92,4.365,2.912,30.88,2.0
139,0.7582,0.1145,6.847,4.257,2.932,30.72,2.0
140,0.7607,0.1145,6.777,4.152,2.948,30.56,2.0
141,0.763,0.1146,6.699,4.043,2.955,30.42,2.0
142,0.765,0.1146,6.642,3.993,2.92,30.27,2.0
143,0.767,0.1146,6.608,3.961,2.872,30.14,2.0
144,0.7687,0.1147,6.581,3.958,2.792,30.02,2.0
145,0.7707,0.1148,6.597,4.323,2.771,29.89,2.0
146,0.7734,0.1149,6.678,4.928,2.866,29.74,2.0
147,0.7769,0.115,6.828,5.755,3.108,29.57,2.0
148,0.7814,0.1152,7.078,6.869,3.545,29.34,2.0
149,0.7881,0.1154,7.811,7.768,3.552,28.96,2.0
150,0.7961,0.1157,7.525,7.372,4.312,28.52,2.0
151,0.8032,0.1158,8.407,6.87,4.683,28.17,2.0
152,0.8093,0.1159,8.831,7.664,3.662,27.89,2.0
153,0.815,0.116,8.97,7.648,3.533,27.63,2.0
154,0.8194,0.1162,9.357,7.616,2.697,27.43,2.0
155,0.8221,0.1163,9.46,6.65,2.823,27.32,2.0
156,0.8228,0.1163,9.747,6.48,3.585,27.32,2.0
157,0.8153,0.1162,9.766,6.061,4.147,27.64,2.0
158,0.8188,0.1163,7.85,7.283,3.114,27.55,2.0
159,0.8226,0.1165,8.849,7.339,2.47,27.36,2.0
160,0.8251,0.1166,9.883,6.688,3.209,27.26,2.0
161,0.826,0.1166,9.73,6.301,3.617,27.25,2.0
162,0.8212,0.1165,9.879,6.479,3.928,27.47,2.0
163,0.8206,0.1165,9.076,7.04,3.392,27.54,2.0
164,0.8238,0.1166,9.645,6.88,3.082,27.43,2.0
165,0.8261,0.1166,9.595,5.923,3.647,27.35,2.0
166,0.8269,0.1166,10.204,6.93,3.472,27.33,2.0
167,0.8233,0.1166,9.685,5.869,4.167,27.51,2.0
