step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,-0.0002,0.0125,2.463,1.503,0.0,40.4,2.0
1,0.0001,0.0125,1.739,0.981,0.0,40.4,2.0
2,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
3,-0.0,0.0125,0.0,0.24,0.0,40.4,2.0
4,-0.0,0.0125,0.668,0.594,0.0,40.4,2.0
5,0.0,0.0125,0.809,0.752,0.0,40.4,2.0
6,0.0,0.0125,0.925,0.88,0.0,40.4,2.0
7,0.0001,0.0125,1.156,0.963,0.443,40.4,2.0
8,0.0001,0.0125,1.276,1.08,0.496,40.4,2.0
9,0.0002,0.0125,1.377,1.201,0.538,40.4,2.0
10,0.0003,0.0125,1.472,1.317,0.577,40.4,2.0
11,0.0004,0.0125,1.562,1.427,0.614,40.4,2.0
12,0.0006,0.0125,1.644,1.53,0.648,40.4,2.0
13,0.0008,0.0125,1.722,1.628,0.681,40.4,2.0
14,0.001,0.0125,1.794,1.719,0.712,40.4,2.0
15,0.0013,0.0125,1.86,1.805,0.74,40.4,2.0
16,0.0015,0.0126,1.92,1.884,0.767,40.4,2.0
17,0.0018,0.0126,1.971,1.956,0.79,40.4,2.0
18,0.0016,0.0126,2.314,2.041,0.921,40.4,2.0
19,0.0018,0.0126,2.137,2.065,0.859,40.4,2.0
20,0.002,0.0126,2.116,2.103,0.853,40.4,2.0
21,0.0022,0.0126,2.125,2.15,0.858,40.4,2.0
22,0.0025,0.0126,2.13,2.192,0.863,40.4,2.0
23,0.0027,0.0126,2.131,2.227,0.864,40.4,2.0
24,0.0005,0.0157,1.39,0.912,0.625,40.4,2.0
25,-0.0031,0.0243,1.653,0.984,0.696,40.4,2.0
26,-0.0029,0.0355,1.778,1.093,0.687,40.4,2.0
27,-0.0026,0.0475,1.953,1.215,0.742,40.4,2.0
28,-0.0023,0.0598,2.047,1.277,0.773,40.4,2.0
29,-0.002,0.0723,2.083,1.3,0.786,40.4,2.0
30,-0.0018,0.0848,2.096,1.307,0.791,40.4,2.0
31,-0.0015,0.0973,2.102,1.309,0.795,40.4,2.0
32,-0.0009,0.1064,3.375,2.128,1.259,40.4,2.0
33,-0.0005,0.11,2.977,1.871,1.102,40.4,2.0
34,-0.0002,0.1113,2.469,1.543,0.925,40.4,2.0
35,-0.0,0.1117,2.261,1.406,0.859,40.4,2.0
36,0.0002,0.1119,2.178,1.349,0.833,40.4,2.0
37,0.0004,0.112,2.149,1.328,0.823,40.4,2.0
38,0.0006,0.112,2.135,1.318,0.819,40.4,2.0
39,0.0008,0.112,2.127,1.312,0.816,40.4,2.0
40,0.001,0.112,2.126,1.311,0.815,40.4,2.0
41,0.0012,0.112,2.121,1.308,0.813,40.4,2.0
42,0.0014,0.112,2.118,1.305,0.812,40.4,2.0
43,0.0016,0.112,2.118,1.305,0.812,40.4,2.0
44,0.0018,0.112,2.116,1.303,0.811,40.4,2.0
45,0.0019,0.112,2.115,1.301,0.811,40.4,2.0
46,0.0021,0.112,2.114,1.3,0.81,40.4,2.0
47,0.0023,0.112,2.112,1.299,0.81,40.4,2.0
48,0.0024,0.112,2.109,1.296,0.808,40.4,2.0
49,0.0026,0.112,2.107,1.295,0.808,40.4,2.0
50,0.0027,0.112,2.105,1.293,0.807,40.4,2.0
51,0.0029,0.112,2.106,1.293,0.807,40.4,2.0
52,0.003,0.112,2.103,1.291,0.806,40.4,2.0
53,0.0032,0.112,2.105,1.291,0.806,40.4,2.0
54,0.0033,0.112,2.101,1.288,0.805,40.4,2.0
55,0.0034,0.112,2.098,1.286,0.804,40.4,2.0
56,0.0035,0.112,2.1,1.287,0.804,40.4,2.0
57,0.0037,0.112,2.095,1.284,0.803,40.4,2.0
58,0.0197,0.1123,5.381,3.176,2.185,40.4,2.0
59,0.0384,0.1126,5.559,3.521,2.067,40.4,2.0
60,0.0551,0.1128,8.586,4.645,3.944,40.4,2.0
61,0.0693,0.1129,7.961,3.862,4.074,40.4,2.0
62,0.082,0.113,7.462,3.695,4.07,40.4,2.0
63,0.0953,0.1131,7.627,3.995,3.816,40.4,2.0
64,0.1088,0.1132,7.592,4.135,3.693,40.4,2.0
65,0.1224,0.1134,7.481,4.434,3.63,40.4,2.0
66,0.1365,0.1136,7.292,4.437,3.69,40.4,2.0
