# thumb-opposition grasp sweep  iters=60  40 candidates  2026-06-22 22:36
# baseline thumb (0.0,0.020,0.0); index/middle fixed. Want: cube_lift>0 (grasps), contacts->3, imbalance LOW, fc_min HIGH (weak finger contributes).
     tx      ty   tlen |   score    lift contacts   imbal      persist_t/i/m  fc_min fc_mean
 -0.020  +0.000  0.000 |  -0.014  0.0000      0.0   0.000  0.00/0.00/0.00     0.000   0.000   (28s, 1/40)
 -0.020  +0.000  0.020 |   0.182  0.0001      1.0   0.019  0.00/0.02/0.00     0.000   0.000   (27s, 2/40)
 -0.020  +0.010  0.000 |   0.154  0.0000      1.0   0.006  0.00/0.01/0.00     0.000   0.000   (27s, 3/40)
 -0.020  +0.010  0.020 |   0.184  0.0001      1.0   0.019  0.00/0.02/0.00     0.000   0.000   (27s, 4/40)
 -0.020  +0.020  0.000 |   0.134  0.0000      1.0   0.003  0.00/0.00/0.00     0.000   0.000   (28s, 5/40)
 -0.020  +0.020  0.020 |   0.185  0.0001      1.0   0.019  0.00/0.02/0.00     0.000   0.000   (27s, 6/40)
 -0.020  +0.030  0.000 |   0.068  0.0000      1.0   0.003  0.00/0.00/0.00     0.000   0.000   (27s, 7/40)
 -0.020  +0.030  0.020 |   0.185  0.0001      1.0   0.019  0.00/0.02/0.00     0.000   0.000   (27s, 8/40)
 -0.010  +0.000  0.000 |   0.378  0.0000      1.0   0.003  0.00/0.00/0.00     0.000   0.000   (28s, 9/40)
 -0.010  +0.000  0.020 |   0.092  0.0000      1.0   0.003  0.00/0.00/0.00     0.000   0.000   (28s, 10/40)
 -0.010  +0.010  0.000 |   0.697  0.0001      2.0   0.006  0.01/0.01/0.00     0.000   0.000   (28s, 11/40)
 -0.010  +0.010  0.020 |   0.095  0.0000      1.0   0.003  0.00/0.00/0.00     0.000   0.000   (27s, 12/40)
 -0.010  +0.020  0.000 |   0.585  0.0000      2.0   0.003  0.00/0.00/0.00     0.000   0.000   (28s, 13/40)
 -0.010  +0.020  0.020 |   0.100  0.0000      1.0   0.003  0.00/0.00/0.00     0.000   0.000   (27s, 14/40)
 -0.010  +0.030  0.000 |   0.777  0.0352      2.0   0.297  0.29/0.00/0.30     0.000   0.000   (28s, 15/40)
 -0.010  +0.030  0.020 |   0.107  0.0000      1.0   0.003  0.00/0.00/0.00     0.000   0.000   (27s, 16/40)
 +0.000  +0.000  0.000 |   0.834  0.0215      2.0   0.128  0.11/0.13/0.00     0.000   0.000   (28s, 17/40)
 +0.000  +0.000  0.020 |   0.150  0.0000      1.0   0.003  0.00/0.00/0.00     0.000   0.000   (28s, 18/40)
 +0.000  +0.010  0.000 |   0.575  0.0420      2.0   0.728  0.72/0.00/0.73     0.000   0.000   (28s, 19/40)
 +0.000  +0.010  0.020 |   0.145  0.0000      1.0   0.003  0.00/0.00/0.00     0.000   0.000   (27s, 20/40)
 +0.000  +0.020  0.000 |   0.565  0.0334      2.0   0.211  0.20/0.21/0.00     0.000   0.000   (27s, 21/40)
 +0.000  +0.020  0.020 |   0.152  0.0000      1.0   0.003  0.00/0.00/0.00     0.000   0.000   (27s, 22/40)
 +0.000  +0.030  0.000 |   2.750  0.0470      2.0   0.061  1.00/0.94/1.00     0.000   0.000   (27s, 23/40)
 +0.000  +0.030  0.020 |   0.488  0.0000      2.0   0.003  0.00/0.00/0.00     0.000   0.000   (28s, 24/40)
 +0.010  +0.000  0.000 |   3.951  0.0471      3.0   0.011  0.64/0.64/0.65     0.000   0.000   (32s, 25/40)
 +0.010  +0.000  0.020 |   0.509  0.0001      2.0   0.014  0.00/0.01/0.00     0.000   0.000   (28s, 26/40)
 +0.010  +0.010  0.000 |   1.606  0.0301      3.0   0.650  0.79/0.14/0.79     0.000   0.000   (28s, 27/40)
 +0.010  +0.010  0.020 |   0.509  0.0001      2.0   0.014  0.00/0.01/0.00     0.000   0.000   (28s, 28/40)
 +0.010  +0.020  0.000 |   0.994  0.0404      3.0   0.531  0.77/0.24/0.77     0.000   0.000   (28s, 29/40)
 +0.010  +0.020  0.020 |   0.509  0.0001      2.0   0.014  0.00/0.01/0.00     0.000   0.000   (28s, 30/40)
 +0.010  +0.030  0.000 |   1.639  0.0461      2.0   0.028  0.62/0.59/0.61     0.000   0.000   (28s, 31/40)
 +0.010  +0.030  0.020 |   4.222  0.0431      3.0   0.072  1.00/0.93/1.00     0.000   0.000   (28s, 32/40)
